FPGA idle power [mW]:,3730.8

Program energy [mJ]:,7.83

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,19.8
20000,0.001,25.6
40000,0.002,24.1
60000,0.003,14.0
80000,0.004,41.4
100000,0.005,42.8
120000,0.006,35.6
140000,0.007,42.8
160000,0.008,42.8
180000,0.009,29.9
200000,0.010,24.1
220000,0.011,27.0
240000,0.012,29.4
260000,0.013,24.1
280000,0.014,37.1
300000,0.015,28.4
320000,0.016,19.8
340000,0.017,27.0
360000,0.018,29.9
380000,0.019,25.6
400000,0.020,19.8
420000,0.021,32.5
440000,0.022,32.8
460000,0.023,25.6
480000,0.024,24.1
500000,0.025,34.2
520000,0.026,29.9
540000,0.027,32.8
560000,0.028,32.8
580000,0.029,31.3
600000,0.030,21.7
620000,0.031,18.4
640000,0.032,31.3
660000,0.033,25.6
680000,0.034,19.8
700000,0.035,28.4
720000,0.036,32.8
740000,0.037,24.1
760000,0.038,27.0
780000,0.039,23.2
800000,0.040,25.6
820000,0.041,15.5
840000,0.042,27.0
860000,0.043,28.4
880000,0.044,28.4
900000,0.045,29.9
920000,0.046,32.8
940000,0.047,25.6
960000,0.048,27.9
980000,0.049,21.3
1000000,0.050,22.7
1020000,0.051,24.1
1040000,0.052,27.0
1060000,0.053,31.3
1080000,0.054,19.8
1100000,0.055,24.1
1120000,0.056,28.4
1140000,0.057,29.4
1160000,0.058,27.0
1180000,0.059,22.7
1200000,0.060,29.9
1220000,0.061,24.1
1240000,0.062,29.9
1260000,0.063,32.8
1280000,0.064,25.6
1300000,0.065,28.4
1320000,0.066,27.9
1340000,0.067,28.4
1360000,0.068,28.4
1380000,0.069,28.4
1400000,0.070,29.9
1420000,0.071,32.8
1440000,0.072,28.4
1460000,0.073,29.9
1480000,0.074,25.6
1500000,0.075,26.3
1520000,0.076,37.1
1540000,0.077,12.6
1560000,0.078,32.8
1580000,0.079,34.2
1600000,0.080,22.7
1620000,0.081,28.4
1640000,0.082,28.4
1660000,0.083,31.3
1680000,0.084,17.1
1700000,0.085,24.1
