FPGA idle power [mW]:,3704.7

Program energy [mJ]:,10.64

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,14.3
20000,0.001,37.3
40000,0.002,30.1
60000,0.003,21.5
80000,0.004,40.2
100000,0.005,51.7
120000,0.006,38.7
140000,0.007,43.0
160000,0.008,56.0
180000,0.009,51.7
200000,0.010,28.7
220000,0.011,37.3
240000,0.012,37.0
260000,0.013,28.7
280000,0.014,28.7
300000,0.015,41.6
320000,0.016,38.7
340000,0.017,24.3
360000,0.018,44.5
380000,0.019,41.6
400000,0.020,38.7
420000,0.021,35.4
440000,0.022,41.6
460000,0.023,35.8
480000,0.024,28.7
500000,0.025,45.9
520000,0.026,37.3
540000,0.027,38.7
560000,0.028,34.4
580000,0.029,35.8
600000,0.030,35.4
620000,0.031,35.8
640000,0.032,41.6
660000,0.033,38.7
680000,0.034,43.0
700000,0.035,33.0
720000,0.036,35.8
740000,0.037,34.4
760000,0.038,27.2
780000,0.039,40.1
800000,0.040,37.3
820000,0.041,31.5
840000,0.042,35.8
860000,0.043,41.6
880000,0.044,40.2
900000,0.045,24.3
920000,0.046,40.2
940000,0.047,35.8
960000,0.048,32.3
980000,0.049,35.8
1000000,0.050,35.8
1020000,0.051,37.3
1040000,0.052,28.7
1060000,0.053,35.8
1080000,0.054,34.4
1100000,0.055,34.4
1120000,0.056,37.3
1140000,0.057,40.1
1160000,0.058,38.7
1180000,0.059,35.8
1200000,0.060,40.2
1220000,0.061,43.0
1240000,0.062,40.2
1260000,0.063,40.2
1280000,0.064,34.4
1300000,0.065,35.8
1320000,0.066,40.1
1340000,0.067,31.5
1360000,0.068,35.8
1380000,0.069,40.2
1400000,0.070,28.7
1420000,0.071,40.2
1440000,0.072,41.6
1460000,0.073,30.1
1480000,0.074,38.7
1500000,0.075,41.6
1520000,0.076,40.2
1540000,0.077,31.5
1560000,0.078,40.2
1580000,0.079,41.6
1600000,0.080,34.4
1620000,0.081,38.7
1640000,0.082,38.7
1660000,0.083,40.2
1680000,0.084,35.4
1700000,0.085,31.5
1720000,0.086,33.0
1740000,0.087,31.5
1760000,0.088,35.8
