FPGA idle power [mW]:,3741.4

Program energy [mJ]:,7.29

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,6.3
20000,0.001,25.0
40000,0.002,19.3
60000,0.003,16.4
80000,0.004,26.6
100000,0.005,38.0
120000,0.006,29.4
140000,0.007,43.7
160000,0.008,38.0
180000,0.009,32.2
200000,0.010,27.9
220000,0.011,30.8
240000,0.012,32.2
260000,0.013,23.5
280000,0.014,27.9
300000,0.015,29.4
320000,0.016,26.5
340000,0.017,22.2
360000,0.018,30.8
380000,0.019,23.6
400000,0.020,23.6
420000,0.021,23.6
440000,0.022,26.6
460000,0.023,25.0
480000,0.024,26.5
500000,0.025,25.0
520000,0.026,22.2
540000,0.027,27.9
560000,0.028,29.4
580000,0.029,27.9
600000,0.030,23.6
620000,0.031,21.9
640000,0.032,33.7
660000,0.033,25.0
680000,0.034,17.8
700000,0.035,22.2
720000,0.036,26.5
740000,0.037,25.0
760000,0.038,19.3
780000,0.039,26.5
800000,0.040,26.6
820000,0.041,25.0
840000,0.042,25.0
860000,0.043,23.6
880000,0.044,20.7
900000,0.045,19.3
920000,0.046,26.5
940000,0.047,22.2
960000,0.048,32.2
980000,0.049,18.8
1000000,0.050,23.6
1020000,0.051,27.9
1040000,0.052,27.9
1060000,0.053,25.0
1080000,0.054,25.0
1100000,0.055,23.6
1120000,0.056,30.8
1140000,0.057,22.2
1160000,0.058,25.0
1180000,0.059,29.4
1200000,0.060,25.0
1220000,0.061,27.9
1240000,0.062,27.9
1260000,0.063,27.9
1280000,0.064,26.5
1300000,0.065,25.0
1320000,0.066,27.9
1340000,0.067,28.1
1360000,0.068,25.0
1380000,0.069,27.9
1400000,0.070,19.3
1420000,0.071,25.0
1440000,0.072,25.0
1460000,0.073,20.7
1480000,0.074,20.7
1500000,0.075,27.9
1520000,0.076,26.6
1540000,0.077,13.5
1560000,0.078,23.6
1580000,0.079,27.9
1600000,0.080,22.2
1620000,0.081,16.4
1640000,0.082,29.4
1660000,0.083,27.9
1680000,0.084,20.7
1700000,0.085,25.0
1720000,0.086,26.5
1740000,0.087,19.3
1760000,0.088,17.8
1780000,0.089,23.6
1800000,0.090,26.5
1820000,0.091,16.4
1840000,0.092,27.9
1860000,0.093,25.0
1880000,0.094,26.6
1900000,0.095,23.6
1920000,0.096,29.4
1940000,0.097,27.9
1960000,0.098,30.8
1980000,0.099,22.2
2000000,0.100,20.7
2020000,0.101,22.2
2040000,0.102,22.2
2060000,0.103,26.6
2080000,0.104,23.6
2100000,0.105,19.3
2120000,0.106,29.4
2140000,0.107,26.5
2160000,0.108,26.5
2180000,0.109,19.3
2200000,0.110,26.5
2220000,0.111,26.5
2240000,0.112,21.9
2260000,0.113,29.4
2280000,0.114,25.0
2300000,0.115,20.7
2320000,0.116,22.2
2340000,0.117,33.7
2360000,0.118,27.9
2380000,0.119,25.0
2400000,0.120,29.4
2420000,0.121,23.5
2440000,0.122,27.9
2460000,0.123,29.4
2480000,0.124,27.9
2500000,0.125,20.7
2520000,0.126,17.8
2540000,0.127,26.5
2560000,0.128,25.0
2580000,0.129,22.2
2600000,0.130,29.7
2620000,0.131,25.0
2640000,0.132,26.5
2660000,0.133,22.2
2680000,0.134,25.0
2700000,0.135,26.5
2720000,0.136,16.4
2740000,0.137,19.3
2760000,0.138,26.5
2780000,0.139,21.9
2800000,0.140,20.7
2820000,0.141,26.5
2840000,0.142,23.6
2860000,0.143,23.6
2880000,0.144,23.6
2900000,0.145,33.7
2920000,0.146,23.6
2940000,0.147,22.2
2960000,0.148,23.5
2980000,0.149,23.6
3000000,0.150,22.2
3020000,0.151,20.7
3040000,0.152,23.6
3060000,0.153,19.3
3080000,0.154,20.7
3100000,0.155,23.6
3120000,0.156,20.7
3140000,0.157,31.2
3160000,0.158,25.0
3180000,0.159,22.2
3200000,0.160,23.6
3220000,0.161,26.5
3240000,0.162,32.2
3260000,0.163,25.0
3280000,0.164,23.6
3300000,0.165,19.3
3320000,0.166,28.1
3340000,0.167,26.5
3360000,0.168,25.0
3380000,0.169,25.0
3400000,0.170,22.2
3420000,0.171,22.2
3440000,0.172,22.2
3460000,0.173,43.7
3480000,0.174,49.5
3500000,0.175,59.1
3520000,0.176,46.6
