FPGA idle power [mW]:,3754.5

Program energy [mJ]:,6.12

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-1.0
20000,0.001,16.3
40000,0.002,19.1
60000,0.003,19.1
80000,0.004,19.1
100000,0.005,22.0
120000,0.006,9.1
140000,0.007,14.8
160000,0.008,18.1
180000,0.009,13.4
200000,0.010,26.3
220000,0.011,26.3
240000,0.012,23.5
260000,0.013,23.5
280000,0.014,24.9
300000,0.015,26.3
320000,0.016,17.7
340000,0.017,16.6
360000,0.018,13.4
380000,0.019,19.1
400000,0.020,16.3
420000,0.021,11.9
440000,0.022,16.3
460000,0.023,16.3
480000,0.024,4.7
500000,0.025,14.8
520000,0.026,18.1
540000,0.027,13.4
560000,0.028,9.1
580000,0.029,23.5
600000,0.030,13.4
620000,0.031,9.1
640000,0.032,22.0
660000,0.033,19.1
680000,0.034,17.7
700000,0.035,16.6
720000,0.036,17.7
740000,0.037,17.7
760000,0.038,9.1
780000,0.039,16.3
800000,0.040,16.3
820000,0.041,11.9
840000,0.042,7.6
860000,0.043,14.8
880000,0.044,16.6
900000,0.045,13.4
920000,0.046,20.6
940000,0.047,19.1
960000,0.048,10.5
980000,0.049,17.7
1000000,0.050,17.7
1020000,0.051,16.3
1040000,0.052,11.9
1060000,0.053,15.0
1080000,0.054,20.6
1100000,0.055,13.4
1120000,0.056,10.5
1140000,0.057,14.8
1160000,0.058,20.6
1180000,0.059,17.7
1200000,0.060,10.5
1220000,0.061,17.7
1240000,0.062,10.4
1260000,0.063,13.4
1280000,0.064,11.9
1300000,0.065,16.3
1320000,0.066,16.3
1340000,0.067,11.9
1360000,0.068,16.3
1380000,0.069,22.0
1400000,0.070,13.4
1420000,0.071,22.8
1440000,0.072,19.1
1460000,0.073,13.4
1480000,0.074,20.6
1500000,0.075,24.9
1520000,0.076,17.7
1540000,0.077,7.6
1560000,0.078,22.0
1580000,0.079,16.3
1600000,0.080,15.0
1620000,0.081,19.1
1640000,0.082,20.6
1660000,0.083,13.4
1680000,0.084,9.1
1700000,0.085,22.0
1720000,0.086,16.3
1740000,0.087,9.1
1760000,0.088,16.3
1780000,0.089,11.9
1800000,0.090,10.5
1820000,0.091,4.7
1840000,0.092,13.4
1860000,0.093,9.1
1880000,0.094,6.2
1900000,0.095,13.4
1920000,0.096,9.1
1940000,0.097,16.3
1960000,0.098,10.4
1980000,0.099,19.1
2000000,0.100,9.1
2020000,0.101,6.2
2040000,0.102,1.9
2060000,0.103,16.3
2080000,0.104,10.5
2100000,0.105,14.8
2120000,0.106,14.8
2140000,0.107,10.4
2160000,0.108,10.5
2180000,0.109,13.4
2200000,0.110,9.1
2220000,0.111,10.5
2240000,0.112,6.2
2260000,0.113,14.8
2280000,0.114,11.9
2300000,0.115,22.0
2320000,0.116,22.8
2340000,0.117,13.4
2360000,0.118,17.7
2380000,0.119,11.9
2400000,0.120,10.5
2420000,0.121,19.1
2440000,0.122,19.1
2460000,0.123,14.8
2480000,0.124,16.3
2500000,0.125,18.1
2520000,0.126,17.7
2540000,0.127,19.1
2560000,0.128,16.3
2580000,0.129,16.3
2600000,0.130,7.6
2620000,0.131,11.9
2640000,0.132,22.0
2660000,0.133,14.8
2680000,0.134,4.2
2700000,0.135,24.9
2720000,0.136,20.6
2740000,0.137,11.9
2760000,0.138,24.9
2780000,0.139,23.5
2800000,0.140,14.8
2820000,0.141,13.4
2840000,0.142,24.9
2860000,0.143,16.6
2880000,0.144,17.7
2900000,0.145,19.1
2920000,0.146,20.6
2940000,0.147,14.8
2960000,0.148,14.8
2980000,0.149,17.7
3000000,0.150,17.7
3020000,0.151,13.4
3040000,0.152,15.0
3060000,0.153,16.3
3080000,0.154,19.1
3100000,0.155,10.5
3120000,0.156,22.0
3140000,0.157,19.1
3160000,0.158,11.9
3180000,0.159,13.4
3200000,0.160,17.7
3220000,0.161,16.6
3240000,0.162,11.9
3260000,0.163,17.7
3280000,0.164,16.3
3300000,0.165,13.4
3320000,0.166,14.8
3340000,0.167,17.7
3360000,0.168,20.6
3380000,0.169,16.3
3400000,0.170,18.1
3420000,0.171,17.7
3440000,0.172,16.3
3460000,0.173,9.1
3480000,0.174,16.3
3500000,0.175,16.3
3520000,0.176,6.2
3540000,0.177,13.4
3560000,0.178,22.0
3580000,0.179,7.3
3600000,0.180,10.5
3620000,0.181,13.4
3640000,0.182,14.8
3660000,0.183,10.5
3680000,0.184,16.3
3700000,0.185,13.4
3720000,0.186,13.4
3740000,0.187,7.6
3760000,0.188,11.9
3780000,0.189,16.3
3800000,0.190,1.9
3820000,0.191,7.6
3840000,0.192,9.1
3860000,0.193,6.2
3880000,0.194,6.2
3900000,0.195,7.6
3920000,0.196,6.2
3940000,0.197,-0.5
3960000,0.198,13.4
3980000,0.199,1.9
4000000,0.200,-2.4
4020000,0.201,0.4
4040000,0.202,7.6
4060000,0.203,7.6
4080000,0.204,-2.4
4100000,0.205,7.6
4120000,0.206,5.7
4140000,0.207,4.7
4160000,0.208,0.4
4180000,0.209,3.3
4200000,0.210,-5.3
4220000,0.211,-1.0
4240000,0.212,9.1
4260000,0.213,10.5
4280000,0.214,19.1
4300000,0.215,13.5
4320000,0.216,20.6
4340000,0.217,16.3
4360000,0.218,10.5
4380000,0.219,16.3
4400000,0.220,14.8
4420000,0.221,16.3
4440000,0.222,19.1
4460000,0.223,17.7
4480000,0.224,16.6
4500000,0.225,16.3
4520000,0.226,11.9
