FPGA idle power [mW]:,3740.1

Program energy [mJ]:,6.65

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,7.6
20000,0.001,22.0
40000,0.002,22.0
60000,0.003,22.0
80000,0.004,20.6
100000,0.005,17.7
120000,0.006,15.5
140000,0.007,17.7
160000,0.008,22.0
180000,0.009,33.5
200000,0.010,26.3
220000,0.011,23.5
240000,0.012,29.2
260000,0.013,26.3
280000,0.014,20.6
300000,0.015,13.9
320000,0.016,17.7
340000,0.017,12.0
360000,0.018,12.0
380000,0.019,20.6
400000,0.020,7.6
420000,0.021,7.6
440000,0.022,12.0
460000,0.023,19.1
480000,0.024,18.6
500000,0.025,16.3
520000,0.026,12.0
540000,0.027,14.8
560000,0.028,13.4
580000,0.029,9.1
600000,0.030,20.6
620000,0.031,13.4
640000,0.032,14.8
660000,0.033,18.6
680000,0.034,17.7
700000,0.035,17.7
720000,0.036,9.1
740000,0.037,13.4
760000,0.038,20.6
780000,0.039,10.5
800000,0.040,22.0
820000,0.041,17.7
840000,0.042,18.6
860000,0.043,16.3
880000,0.044,20.6
900000,0.045,17.7
920000,0.046,19.1
940000,0.047,14.8
960000,0.048,20.6
980000,0.049,14.8
1000000,0.050,14.8
1020000,0.051,17.0
1040000,0.052,17.7
1060000,0.053,24.9
1080000,0.054,16.3
1100000,0.055,19.1
1120000,0.056,20.6
1140000,0.057,13.4
1160000,0.058,17.7
1180000,0.059,23.5
1200000,0.060,17.0
1220000,0.061,10.5
1240000,0.062,16.3
1260000,0.063,12.0
1280000,0.064,7.6
1300000,0.065,17.7
1320000,0.066,20.6
1340000,0.067,12.0
1360000,0.068,19.1
1380000,0.069,21.7
1400000,0.070,17.7
1420000,0.071,16.3
1440000,0.072,23.5
1460000,0.073,19.1
1480000,0.074,16.3
1500000,0.075,20.6
1520000,0.076,20.6
1540000,0.077,20.6
1560000,0.078,7.8
1580000,0.079,22.0
1600000,0.080,13.4
1620000,0.081,16.3
1640000,0.082,14.8
1660000,0.083,16.3
1680000,0.084,16.3
1700000,0.085,10.5
1720000,0.086,12.0
1740000,0.087,7.8
1760000,0.088,16.3
1780000,0.089,13.4
1800000,0.090,10.5
1820000,0.091,10.5
1840000,0.092,14.8
1860000,0.093,7.6
1880000,0.094,12.0
1900000,0.095,12.0
1920000,0.096,1.6
1940000,0.097,17.7
1960000,0.098,10.5
1980000,0.099,12.0
2000000,0.100,7.6
2020000,0.101,10.5
2040000,0.102,13.4
2060000,0.103,9.1
2080000,0.104,13.4
2100000,0.105,18.6
2120000,0.106,16.3
2140000,0.107,14.8
2160000,0.108,9.1
2180000,0.109,14.8
2200000,0.110,3.3
2220000,0.111,17.7
2240000,0.112,16.3
2260000,0.113,13.4
2280000,0.114,12.4
2300000,0.115,13.4
2320000,0.116,23.5
2340000,0.117,12.0
2360000,0.118,14.8
2380000,0.119,24.9
2400000,0.120,17.7
2420000,0.121,9.1
2440000,0.122,16.3
2460000,0.123,20.1
2480000,0.124,9.1
2500000,0.125,19.1
2520000,0.126,20.6
2540000,0.127,17.7
2560000,0.128,23.5
2580000,0.129,27.8
2600000,0.130,16.3
2620000,0.131,14.8
2640000,0.132,20.1
2660000,0.133,13.4
2680000,0.134,20.6
2700000,0.135,20.6
2720000,0.136,20.6
2740000,0.137,16.3
2760000,0.138,20.6
2780000,0.139,17.7
2800000,0.140,23.5
2820000,0.141,24.8
2840000,0.142,20.6
2860000,0.143,13.4
2880000,0.144,19.1
2900000,0.145,16.3
2920000,0.146,14.8
2940000,0.147,26.3
2960000,0.148,10.5
2980000,0.149,12.0
3000000,0.150,23.2
3020000,0.151,14.8
3040000,0.152,12.0
3060000,0.153,14.8
3080000,0.154,17.7
3100000,0.155,16.3
3120000,0.156,17.7
3140000,0.157,19.1
3160000,0.158,12.0
3180000,0.159,24.8
3200000,0.160,13.4
3220000,0.161,17.7
3240000,0.162,22.0
3260000,0.163,7.6
3280000,0.164,19.1
3300000,0.165,16.3
3320000,0.166,14.8
