FPGA idle power [mW]:,3754.3

Program energy [mJ]:,6.58

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-0.8
20000,0.001,16.8
40000,0.002,16.5
60000,0.003,25.1
80000,0.004,13.6
100000,0.005,13.6
120000,0.006,13.6
140000,0.007,20.8
160000,0.008,10.7
180000,0.009,19.3
200000,0.010,12.1
220000,0.011,12.1
240000,0.012,-0.8
260000,0.013,10.7
280000,0.014,-0.8
300000,0.015,9.3
320000,0.016,10.7
340000,0.017,3.5
360000,0.018,4.9
380000,0.019,2.8
400000,0.020,2.1
420000,0.021,12.1
440000,0.022,4.9
460000,0.023,6.4
480000,0.024,9.3
500000,0.025,2.1
520000,0.026,9.3
540000,0.027,6.4
560000,0.028,5.9
580000,0.029,0.6
600000,0.030,7.8
620000,0.031,3.5
640000,0.032,9.3
660000,0.033,3.5
680000,0.034,6.4
700000,0.035,9.3
720000,0.036,9.3
740000,0.037,5.9
760000,0.038,7.8
780000,0.039,10.7
800000,0.040,-0.8
820000,0.041,9.3
840000,0.042,12.1
860000,0.043,-5.1
880000,0.044,7.8
900000,0.045,6.4
920000,0.046,2.8
940000,0.047,-2.2
960000,0.048,12.1
980000,0.049,10.7
1000000,0.050,4.9
1020000,0.051,4.9
1040000,0.052,10.7
1060000,0.053,9.3
1080000,0.054,-0.8
1100000,0.055,4.4
1120000,0.056,6.4
1140000,0.057,0.6
1160000,0.058,4.9
1180000,0.059,6.4
1200000,0.060,2.1
1220000,0.061,6.4
1240000,0.062,7.8
1260000,0.063,10.7
1280000,0.064,-3.4
1300000,0.065,4.9
1320000,0.066,9.3
1340000,0.067,6.4
1360000,0.068,3.5
1380000,0.069,10.7
1400000,0.070,6.4
1420000,0.071,2.1
1440000,0.072,9.3
1460000,0.073,9.0
1480000,0.074,7.8
1500000,0.075,0.6
1520000,0.076,9.3
1540000,0.077,9.3
1560000,0.078,6.4
1580000,0.079,2.1
1600000,0.080,4.9
1620000,0.081,2.1
1640000,0.082,5.9
1660000,0.083,10.7
1680000,0.084,9.3
1700000,0.085,3.5
1720000,0.086,0.6
1740000,0.087,4.9
1760000,0.088,2.1
1780000,0.089,3.5
1800000,0.090,13.6
1820000,0.091,9.0
1840000,0.092,4.9
1860000,0.093,6.4
1880000,0.094,3.5
1900000,0.095,0.6
1920000,0.096,6.4
1940000,0.097,10.7
1960000,0.098,6.4
1980000,0.099,0.6
2000000,0.100,9.0
2020000,0.101,13.6
2040000,0.102,12.1
2060000,0.103,10.7
2080000,0.104,9.3
2100000,0.105,4.9
2120000,0.106,3.5
2140000,0.107,2.1
2160000,0.108,6.4
2180000,0.109,4.4
2200000,0.110,10.7
2220000,0.111,2.1
2240000,0.112,6.4
2260000,0.113,7.8
2280000,0.114,-0.8
2300000,0.115,7.8
2320000,0.116,9.3
2340000,0.117,10.7
2360000,0.118,5.9
2380000,0.119,3.5
2400000,0.120,4.9
2420000,0.121,10.7
2440000,0.122,7.8
2460000,0.123,12.1
2480000,0.124,-0.8
2500000,0.125,10.7
2520000,0.126,7.8
2540000,0.127,9.0
2560000,0.128,0.6
2580000,0.129,7.8
2600000,0.130,7.8
2620000,0.131,3.5
2640000,0.132,6.4
2660000,0.133,10.7
2680000,0.134,10.7
2700000,0.135,-2.2
2720000,0.136,7.5
2740000,0.137,10.7
2760000,0.138,-0.8
2780000,0.139,7.8
2800000,0.140,6.4
2820000,0.141,10.7
2840000,0.142,0.6
2860000,0.143,10.7
2880000,0.144,0.6
2900000,0.145,-3.4
2920000,0.146,7.8
2940000,0.147,10.7
2960000,0.148,6.4
2980000,0.149,-0.8
3000000,0.150,6.4
3020000,0.151,4.9
3040000,0.152,2.1
3060000,0.153,4.9
3080000,0.154,9.0
3100000,0.155,6.4
3120000,0.156,3.5
3140000,0.157,9.3
3160000,0.158,4.9
3180000,0.159,3.5
3200000,0.160,-2.2
3220000,0.161,4.9
3240000,0.162,6.4
3260000,0.163,2.8
3280000,0.164,4.9
3300000,0.165,-3.7
3320000,0.166,0.6
3340000,0.167,10.7
3360000,0.168,16.5
3380000,0.169,17.9
3400000,0.170,17.9
3420000,0.171,17.9
3440000,0.172,13.7
3460000,0.173,19.3
3480000,0.174,15.0
3500000,0.175,19.3
3520000,0.176,26.5
3540000,0.177,17.9
3560000,0.178,16.5
3580000,0.179,19.3
3600000,0.180,16.5
3620000,0.181,16.8
3640000,0.182,20.8
3660000,0.183,19.3
3680000,0.184,16.5
3700000,0.185,10.7
3720000,0.186,13.6
3740000,0.187,19.3
3760000,0.188,15.0
3780000,0.189,13.6
3800000,0.190,21.4
3820000,0.191,22.2
3840000,0.192,15.0
3860000,0.193,16.5
3880000,0.194,25.1
3900000,0.195,10.7
3920000,0.196,15.0
3940000,0.197,19.3
3960000,0.198,22.2
3980000,0.199,15.2
4000000,0.200,16.5
4020000,0.201,22.2
4040000,0.202,6.4
4060000,0.203,17.9
4080000,0.204,22.2
4100000,0.205,19.3
4120000,0.206,10.7
4140000,0.207,17.9
4160000,0.208,19.9
4180000,0.209,7.8
4200000,0.210,20.8
4220000,0.211,23.7
4240000,0.212,13.6
4260000,0.213,13.6
4280000,0.214,22.2
4300000,0.215,16.5
4320000,0.216,16.5
4340000,0.217,18.3
4360000,0.218,23.7
4380000,0.219,10.7
4400000,0.220,20.8
4420000,0.221,20.8
4440000,0.222,12.1
4460000,0.223,9.3
4480000,0.224,19.3
4500000,0.225,19.3
4520000,0.226,19.9
4540000,0.227,13.6
4560000,0.228,20.8
4580000,0.229,23.7
4600000,0.230,17.9
4620000,0.231,17.9
4640000,0.232,23.7
4660000,0.233,19.3
4680000,0.234,17.9
4700000,0.235,23.0
4720000,0.236,16.5
4740000,0.237,16.5
4760000,0.238,20.8
4780000,0.239,22.2
4800000,0.240,19.3
4820000,0.241,20.8
4840000,0.242,20.8
4860000,0.243,17.9
4880000,0.244,13.7
4900000,0.245,10.7
4920000,0.246,17.9
4940000,0.247,15.0
4960000,0.248,10.7
4980000,0.249,20.8
5000000,0.250,17.9
