FPGA idle power [mW]:,3801.9

Program energy [mJ]:,11.33

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-3.8
20000,0.001,35.0
40000,0.002,35.0
60000,0.003,27.8
80000,0.004,25.0
100000,0.005,29.6
120000,0.006,26.4
140000,0.007,52.3
160000,0.008,56.6
180000,0.009,55.2
200000,0.010,52.3
220000,0.011,72.4
240000,0.012,78.2
260000,0.013,91.1
280000,0.014,91.6
300000,0.015,89.7
320000,0.016,79.6
340000,0.017,81.1
360000,0.018,65.3
380000,0.019,60.9
400000,0.020,55.2
420000,0.021,52.3
440000,0.022,68.1
460000,0.023,52.9
480000,0.024,62.4
500000,0.025,62.4
520000,0.026,52.3
540000,0.027,53.7
560000,0.028,50.9
580000,0.029,63.8
600000,0.030,66.7
620000,0.031,63.8
640000,0.032,62.2
660000,0.033,65.3
680000,0.034,62.4
700000,0.035,63.8
720000,0.036,60.9
740000,0.037,66.7
760000,0.038,52.3
780000,0.039,55.2
800000,0.040,58.1
820000,0.041,51.3
840000,0.042,58.1
860000,0.043,58.1
880000,0.044,59.5
900000,0.045,63.8
920000,0.046,56.6
940000,0.047,58.1
960000,0.048,58.1
980000,0.049,62.4
1000000,0.050,46.7
1020000,0.051,52.3
1040000,0.052,65.3
1060000,0.053,60.9
1080000,0.054,48.0
1100000,0.055,63.8
1120000,0.056,53.7
1140000,0.057,52.3
1160000,0.058,55.2
1180000,0.059,66.8
1200000,0.060,52.3
1220000,0.061,58.1
1240000,0.062,60.9
1260000,0.063,66.7
1280000,0.064,63.8
1300000,0.065,62.4
1320000,0.066,65.3
1340000,0.067,63.8
1360000,0.068,59.1
1380000,0.069,65.3
1400000,0.070,68.1
1420000,0.071,55.2
1440000,0.072,55.2
1460000,0.073,66.7
1480000,0.074,66.7
1500000,0.075,63.8
1520000,0.076,65.3
1540000,0.077,65.3
1560000,0.078,59.5
1580000,0.079,60.9
1600000,0.080,68.1
1620000,0.081,59.5
1640000,0.082,60.9
1660000,0.083,62.4
1680000,0.084,62.4
1700000,0.085,59.5
1720000,0.086,59.1
1740000,0.087,71.0
1760000,0.088,52.3
1780000,0.089,69.6
1800000,0.090,53.7
1820000,0.091,37.9
1840000,0.092,48.0
1860000,0.093,42.2
1880000,0.094,52.3
1900000,0.095,42.0
1920000,0.096,48.0
1940000,0.097,46.5
1960000,0.098,40.8
1980000,0.099,48.0
2000000,0.100,42.2
2020000,0.101,45.1
2040000,0.102,46.5
2060000,0.103,48.0
2080000,0.104,40.5
2100000,0.105,46.5
2120000,0.106,43.7
2140000,0.107,46.5
2160000,0.108,49.4
2180000,0.109,43.7
2200000,0.110,53.7
2220000,0.111,58.1
2240000,0.112,49.4
2260000,0.113,46.7
2280000,0.114,48.0
2300000,0.115,53.7
2320000,0.116,49.4
2340000,0.117,49.4
2360000,0.118,58.1
2380000,0.119,49.4
2400000,0.120,66.7
2420000,0.121,65.3
2440000,0.122,66.8
2460000,0.123,59.5
2480000,0.124,58.1
2500000,0.125,55.2
2520000,0.126,56.6
2540000,0.127,59.5
2560000,0.128,63.8
2580000,0.129,55.2
2600000,0.130,56.6
2620000,0.131,62.2
2640000,0.132,63.8
2660000,0.133,50.9
2680000,0.134,78.2
2700000,0.135,68.1
2720000,0.136,55.2
2740000,0.137,62.4
2760000,0.138,72.4
2780000,0.139,68.1
2800000,0.140,56.0
2820000,0.141,69.6
2840000,0.142,66.7
2860000,0.143,49.4
2880000,0.144,66.7
2900000,0.145,72.4
2920000,0.146,53.7
2940000,0.147,53.7
2960000,0.148,73.9
2980000,0.149,52.9
3000000,0.150,56.6
3020000,0.151,63.8
3040000,0.152,63.8
3060000,0.153,56.6
3080000,0.154,53.7
3100000,0.155,52.3
3120000,0.156,58.1
3140000,0.157,53.7
3160000,0.158,73.0
3180000,0.159,56.6
3200000,0.160,62.4
3220000,0.161,75.3
3240000,0.162,66.7
3260000,0.163,59.5
3280000,0.164,68.1
3300000,0.165,65.3
3320000,0.166,63.8
3340000,0.167,69.9
3360000,0.168,60.9
3380000,0.169,66.7
3400000,0.170,65.3
3420000,0.171,62.4
3440000,0.172,71.0
3460000,0.173,63.8
3480000,0.174,62.4
3500000,0.175,75.3
3520000,0.176,73.0
3540000,0.177,60.9
3560000,0.178,75.3
3580000,0.179,68.1
3600000,0.180,59.5
3620000,0.181,66.7
3640000,0.182,65.3
3660000,0.183,58.1
3680000,0.184,58.1
3700000,0.185,69.9
3720000,0.186,33.6
3740000,0.187,9.1
3760000,0.188,14.9
3780000,0.189,17.8
3800000,0.190,20.7
3820000,0.191,27.8
3840000,0.192,22.1
3860000,0.193,12.0
3880000,0.194,11.0
3900000,0.195,16.3
3920000,0.196,17.8
3940000,0.197,13.5
3960000,0.198,23.5
3980000,0.199,29.3
4000000,0.200,19.2
4020000,0.201,12.0
4040000,0.202,6.3
4060000,0.203,9.5
4080000,0.204,0.5
4100000,0.205,-0.9
4120000,0.206,10.6
4140000,0.207,10.6
4160000,0.208,7.7
4180000,0.209,9.1
4200000,0.210,17.8
4220000,0.211,1.9
4240000,0.212,1.7
4260000,0.213,0.5
4280000,0.214,-0.9
4300000,0.215,3.4
4320000,0.216,9.1
4340000,0.217,1.9
4360000,0.218,-0.9
4380000,0.219,1.9
4400000,0.220,22.1
4420000,0.221,0.2
4440000,0.222,3.4
4460000,0.223,7.7
