FPGA idle power [mW]:,3816.7

Program energy [mJ]:,12.50

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,13.0
20000,0.001,30.3
40000,0.002,36.1
60000,0.003,41.8
80000,0.004,27.4
100000,0.005,30.3
120000,0.006,51.9
140000,0.007,60.5
160000,0.008,54.8
180000,0.009,70.6
200000,0.010,60.5
220000,0.011,80.7
240000,0.012,89.3
260000,0.013,93.6
280000,0.014,86.1
300000,0.015,85.0
320000,0.016,90.7
340000,0.017,83.5
360000,0.018,60.5
380000,0.019,49.0
400000,0.020,66.3
420000,0.021,67.7
440000,0.022,63.4
460000,0.023,52.0
480000,0.024,62.0
500000,0.025,64.8
520000,0.026,63.4
540000,0.027,60.5
560000,0.028,66.3
580000,0.029,51.9
600000,0.030,63.4
620000,0.031,63.4
640000,0.032,67.5
660000,0.033,82.1
680000,0.034,74.9
700000,0.035,63.4
720000,0.036,69.2
740000,0.037,73.5
760000,0.038,56.2
780000,0.039,66.3
800000,0.040,72.0
820000,0.041,53.5
840000,0.042,49.0
860000,0.043,70.6
880000,0.044,64.8
900000,0.045,70.6
920000,0.046,60.5
940000,0.047,69.2
960000,0.048,72.0
980000,0.049,60.5
1000000,0.050,64.4
1020000,0.051,56.2
1040000,0.052,67.7
1060000,0.053,60.5
1080000,0.054,54.8
1100000,0.055,62.0
1120000,0.056,56.2
1140000,0.057,69.2
1160000,0.058,62.0
1180000,0.059,55.1
1200000,0.060,67.7
1220000,0.061,76.3
1240000,0.062,57.6
1260000,0.063,66.3
1280000,0.064,72.0
1300000,0.065,62.0
1320000,0.066,62.0
1340000,0.067,73.5
1360000,0.068,64.4
1380000,0.069,69.2
1400000,0.070,64.8
1420000,0.071,70.6
1440000,0.072,66.3
1460000,0.073,67.7
1480000,0.074,86.4
1500000,0.075,76.3
1520000,0.076,62.0
1540000,0.077,65.9
1560000,0.078,72.0
1580000,0.079,72.0
1600000,0.080,66.3
1620000,0.081,72.0
1640000,0.082,62.0
1660000,0.083,63.4
1680000,0.084,74.9
1700000,0.085,69.2
1720000,0.086,50.5
1740000,0.087,62.0
1760000,0.088,69.2
1780000,0.089,66.3
1800000,0.090,47.6
1820000,0.091,49.0
1840000,0.092,50.5
1860000,0.093,46.1
1880000,0.094,40.4
1900000,0.095,50.5
1920000,0.096,46.1
1940000,0.097,44.7
1960000,0.098,51.9
1980000,0.099,44.7
2000000,0.100,37.5
2020000,0.101,56.2
2040000,0.102,44.7
2060000,0.103,46.1
2080000,0.104,52.0
2100000,0.105,53.3
2120000,0.106,44.7
2140000,0.107,50.5
2160000,0.108,53.3
2180000,0.109,59.1
2200000,0.110,49.0
2220000,0.111,63.4
2240000,0.112,62.0
2260000,0.113,53.5
2280000,0.114,51.9
2300000,0.115,64.8
2320000,0.116,57.6
2340000,0.117,60.5
2360000,0.118,50.5
2380000,0.119,69.2
2400000,0.120,69.2
2420000,0.121,60.5
2440000,0.122,72.1
2460000,0.123,62.0
2480000,0.124,63.4
2500000,0.125,67.7
2520000,0.126,60.5
2540000,0.127,67.7
2560000,0.128,67.7
2580000,0.129,67.7
2600000,0.130,70.6
2620000,0.131,59.7
2640000,0.132,67.7
2660000,0.133,72.0
2680000,0.134,69.2
2700000,0.135,76.3
2720000,0.136,63.4
2740000,0.137,66.3
2760000,0.138,64.8
2780000,0.139,64.8
2800000,0.140,65.9
2820000,0.141,74.9
2840000,0.142,59.1
2860000,0.143,69.2
2880000,0.144,73.5
2900000,0.145,77.8
2920000,0.146,63.4
2940000,0.147,72.0
2960000,0.148,72.0
2980000,0.149,65.9
3000000,0.150,56.2
3020000,0.151,70.6
3040000,0.152,70.6
3060000,0.153,57.6
3080000,0.154,67.7
3100000,0.155,60.5
3120000,0.156,67.7
3140000,0.157,66.3
3160000,0.158,67.5
3180000,0.159,79.2
3200000,0.160,72.0
3220000,0.161,74.9
3240000,0.162,69.2
3260000,0.163,85.0
3280000,0.164,73.5
3300000,0.165,66.3
3320000,0.166,72.0
3340000,0.167,65.9
3360000,0.168,73.5
3380000,0.169,74.9
3400000,0.170,74.9
3420000,0.171,74.9
3440000,0.172,76.3
3460000,0.173,76.3
3480000,0.174,67.7
3500000,0.175,66.3
3520000,0.176,72.1
3540000,0.177,66.3
3560000,0.178,73.5
3580000,0.179,72.0
3600000,0.180,73.5
3620000,0.181,73.5
3640000,0.182,63.4
3660000,0.183,77.8
3680000,0.184,77.8
3700000,0.185,52.0
3720000,0.186,26.0
3740000,0.187,24.6
3760000,0.188,28.9
3780000,0.189,23.1
3800000,0.190,26.0
3820000,0.191,30.3
3840000,0.192,23.1
3860000,0.193,20.2
3880000,0.194,30.3
3900000,0.195,24.6
3920000,0.196,20.2
3940000,0.197,34.6
3960000,0.198,24.6
3980000,0.199,24.6
4000000,0.200,28.9
4020000,0.201,10.2
4040000,0.202,3.0
4060000,0.203,10.2
4080000,0.204,10.2
4100000,0.205,3.0
4120000,0.206,10.2
4140000,0.207,10.2
4160000,0.208,14.5
4180000,0.209,8.7
4200000,0.210,10.2
4220000,0.211,15.9
4240000,0.212,11.7
4260000,0.213,13.0
4280000,0.214,13.0
4300000,0.215,7.3
4320000,0.216,5.9
4340000,0.217,4.4
4360000,0.218,-4.2
4380000,0.219,8.7
4400000,0.220,7.3
4420000,0.221,24.1
4440000,0.222,10.2
4460000,0.223,21.7
