FPGA idle power [mW]:,3800.4

Program energy [mJ]:,13.38

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,12.1
20000,0.001,42.3
40000,0.002,32.2
60000,0.003,31.1
80000,0.004,17.8
100000,0.005,25.0
120000,0.006,33.7
140000,0.007,56.7
160000,0.008,59.6
180000,0.009,53.8
200000,0.010,68.2
220000,0.011,68.2
240000,0.012,60.6
260000,0.013,53.8
280000,0.014,59.6
300000,0.015,55.2
320000,0.016,55.2
340000,0.017,53.8
360000,0.018,53.8
380000,0.019,49.5
400000,0.020,62.4
420000,0.021,76.0
440000,0.022,84.0
460000,0.023,89.8
480000,0.024,89.8
500000,0.025,91.2
520000,0.026,84.0
540000,0.027,91.2
560000,0.028,78.3
580000,0.029,62.4
600000,0.030,54.4
620000,0.031,72.5
640000,0.032,72.5
660000,0.033,58.1
680000,0.034,68.2
700000,0.035,73.9
720000,0.036,53.8
740000,0.037,62.4
760000,0.038,63.9
780000,0.039,71.4
800000,0.040,58.1
820000,0.041,68.2
840000,0.042,68.2
860000,0.043,69.6
880000,0.044,82.6
900000,0.045,72.5
920000,0.046,66.8
940000,0.047,71.1
960000,0.048,69.8
980000,0.049,66.8
1000000,0.050,48.0
1020000,0.051,71.1
1040000,0.052,69.6
1060000,0.053,56.7
1080000,0.054,68.2
1100000,0.055,71.1
1120000,0.056,66.8
1140000,0.057,59.0
1160000,0.058,66.8
1180000,0.059,85.5
1200000,0.060,71.1
1220000,0.061,65.3
1240000,0.062,73.9
1260000,0.063,82.6
1280000,0.064,65.3
1300000,0.065,69.6
1320000,0.066,65.2
1340000,0.067,68.2
1360000,0.068,66.8
1380000,0.069,78.3
1400000,0.070,62.4
1420000,0.071,73.9
1440000,0.072,82.6
1460000,0.073,75.4
1480000,0.074,71.1
1500000,0.075,88.4
1520000,0.076,76.8
1540000,0.077,71.1
1560000,0.078,68.2
1580000,0.079,76.8
1600000,0.080,76.8
1620000,0.081,73.9
1640000,0.082,78.3
1660000,0.083,81.1
1680000,0.084,82.2
1700000,0.085,85.5
1720000,0.086,78.3
1740000,0.087,63.9
1760000,0.088,63.9
1780000,0.089,81.1
1800000,0.090,72.5
1820000,0.091,59.6
1840000,0.092,72.5
1860000,0.093,66.8
1880000,0.094,65.3
1900000,0.095,68.2
1920000,0.096,76.8
1940000,0.097,73.9
1960000,0.098,65.3
1980000,0.099,73.9
2000000,0.100,73.9
2020000,0.101,55.2
2040000,0.102,48.2
2060000,0.103,49.5
2080000,0.104,53.8
2100000,0.105,55.2
2120000,0.106,46.6
2140000,0.107,61.0
2160000,0.108,55.2
2180000,0.109,52.4
2200000,0.110,66.8
2220000,0.111,59.0
2240000,0.112,50.9
2260000,0.113,59.6
2280000,0.114,61.0
2300000,0.115,59.6
2320000,0.116,62.4
2340000,0.117,62.4
2360000,0.118,59.6
2380000,0.119,59.6
2400000,0.120,63.7
2420000,0.121,63.9
2440000,0.122,50.9
2460000,0.123,66.8
2480000,0.124,66.8
2500000,0.125,65.3
2520000,0.126,55.2
2540000,0.127,58.1
2560000,0.128,62.4
2580000,0.129,65.2
2600000,0.130,68.2
2620000,0.131,78.3
2640000,0.132,81.1
2660000,0.133,73.9
2680000,0.134,71.1
2700000,0.135,68.2
2720000,0.136,59.6
2740000,0.137,65.3
2760000,0.138,62.1
2780000,0.139,65.3
2800000,0.140,59.6
2820000,0.141,69.6
2840000,0.142,66.8
2860000,0.143,53.8
2880000,0.144,73.9
2900000,0.145,75.4
2920000,0.146,72.5
2940000,0.147,71.4
2960000,0.148,78.3
2980000,0.149,78.3
3000000,0.150,56.7
3020000,0.151,73.9
3040000,0.152,79.7
3060000,0.153,62.4
3080000,0.154,61.0
3100000,0.155,86.9
3120000,0.156,72.9
3140000,0.157,63.9
3160000,0.158,82.6
3180000,0.159,84.0
3200000,0.160,63.9
3220000,0.161,76.8
3240000,0.162,82.6
3260000,0.163,79.7
3280000,0.164,69.6
3300000,0.165,76.0
3320000,0.166,59.6
3340000,0.167,73.9
3360000,0.168,84.0
3380000,0.169,71.1
3400000,0.170,68.2
3420000,0.171,86.9
3440000,0.172,76.8
3460000,0.173,72.5
3480000,0.174,79.1
3500000,0.175,69.6
3520000,0.176,73.9
3540000,0.177,73.9
3560000,0.178,75.4
3580000,0.179,73.9
3600000,0.180,78.3
3620000,0.181,69.6
3640000,0.182,82.6
3660000,0.183,85.3
3680000,0.184,72.5
3700000,0.185,69.6
3720000,0.186,48.0
3740000,0.187,38.0
3760000,0.188,38.0
3780000,0.189,45.2
3800000,0.190,36.5
3820000,0.191,38.0
3840000,0.192,42.0
3860000,0.193,42.3
3880000,0.194,32.2
3900000,0.195,43.7
3920000,0.196,43.7
3940000,0.197,22.2
3960000,0.198,7.8
3980000,0.199,30.8
4000000,0.200,32.2
4020000,0.201,17.2
4040000,0.202,20.7
4060000,0.203,26.5
4080000,0.204,17.8
4100000,0.205,25.0
4120000,0.206,26.5
4140000,0.207,30.8
4160000,0.208,23.6
4180000,0.209,25.0
4200000,0.210,20.3
4220000,0.211,15.0
4240000,0.212,15.0
4260000,0.213,15.0
4280000,0.214,12.1
4300000,0.215,0.6
4320000,0.216,17.8
4340000,0.217,20.7
4360000,0.218,7.8
4380000,0.219,-3.0
