FPGA idle power [mW]:,3785.1

Program energy [mJ]:,10.94

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,18.7
20000,0.001,28.8
40000,0.002,27.8
60000,0.003,24.5
80000,0.004,14.4
100000,0.005,15.9
120000,0.006,30.3
140000,0.007,30.3
160000,0.008,38.9
180000,0.009,47.5
200000,0.010,44.6
220000,0.011,54.2
240000,0.012,50.4
260000,0.013,51.8
280000,0.014,44.6
300000,0.015,43.2
320000,0.016,44.6
340000,0.017,40.3
360000,0.018,46.1
380000,0.019,46.1
400000,0.020,51.1
420000,0.021,63.3
440000,0.022,66.2
460000,0.023,79.2
480000,0.024,69.1
500000,0.025,73.4
520000,0.026,70.5
540000,0.027,69.1
560000,0.028,63.3
580000,0.029,55.7
600000,0.030,50.4
620000,0.031,50.4
640000,0.032,53.3
660000,0.033,50.4
680000,0.034,60.5
700000,0.035,50.4
720000,0.036,53.3
740000,0.037,56.2
760000,0.038,44.9
780000,0.039,46.1
800000,0.040,49.0
820000,0.041,47.5
840000,0.042,56.2
860000,0.043,53.3
880000,0.044,56.2
900000,0.045,60.5
920000,0.046,50.4
940000,0.047,58.8
960000,0.048,47.5
980000,0.049,49.0
1000000,0.050,51.8
1020000,0.051,61.9
1040000,0.052,50.4
1060000,0.053,53.3
1080000,0.054,63.3
1100000,0.055,53.3
1120000,0.056,54.2
1140000,0.057,47.5
1160000,0.058,51.8
1180000,0.059,57.6
1200000,0.060,60.5
1220000,0.061,61.9
1240000,0.062,59.0
1260000,0.063,59.0
1280000,0.064,64.8
1300000,0.065,54.2
1320000,0.066,51.8
1340000,0.067,53.3
1360000,0.068,60.5
1380000,0.069,53.3
1400000,0.070,56.2
1420000,0.071,63.3
1440000,0.072,64.8
1460000,0.073,59.0
1480000,0.074,66.6
1500000,0.075,66.2
1520000,0.076,56.2
1540000,0.077,63.3
1560000,0.078,67.7
1580000,0.079,57.6
1600000,0.080,54.7
1620000,0.081,70.5
1640000,0.082,61.9
1660000,0.083,55.7
1680000,0.084,73.4
1700000,0.085,64.8
1720000,0.086,56.2
1740000,0.087,51.8
1760000,0.088,61.9
1780000,0.089,60.5
1800000,0.090,50.4
1820000,0.091,54.7
1840000,0.092,61.9
1860000,0.093,56.2
1880000,0.094,54.7
1900000,0.095,54.7
1920000,0.096,57.6
1940000,0.097,59.0
1960000,0.098,54.7
1980000,0.099,57.6
2000000,0.100,50.4
2020000,0.101,54.2
2040000,0.102,44.6
2060000,0.103,41.8
2080000,0.104,46.1
2100000,0.105,49.0
2120000,0.106,40.3
2140000,0.107,38.9
2160000,0.108,43.2
2180000,0.109,47.5
2200000,0.110,51.1
2220000,0.111,51.8
2240000,0.112,59.0
2260000,0.113,53.3
2280000,0.114,37.5
2300000,0.115,46.1
2320000,0.116,56.2
2340000,0.117,43.2
2360000,0.118,47.5
2380000,0.119,51.1
2400000,0.120,50.4
2420000,0.121,46.1
2440000,0.122,57.6
2460000,0.123,49.0
2480000,0.124,51.8
2500000,0.125,53.3
2520000,0.126,46.1
2540000,0.127,46.1
2560000,0.128,51.1
2580000,0.129,60.5
2600000,0.130,60.5
2620000,0.131,51.8
2640000,0.132,72.0
2660000,0.133,67.7
2680000,0.134,60.5
2700000,0.135,60.5
2720000,0.136,61.9
2740000,0.137,52.6
2760000,0.138,49.0
2780000,0.139,57.6
2800000,0.140,56.2
2820000,0.141,53.3
2840000,0.142,54.7
2860000,0.143,59.0
2880000,0.144,66.2
2900000,0.145,61.9
2920000,0.146,68.1
2940000,0.147,50.4
2960000,0.148,64.8
2980000,0.149,61.9
3000000,0.150,67.7
3020000,0.151,57.6
3040000,0.152,54.7
3060000,0.153,57.6
3080000,0.154,56.2
3100000,0.155,65.0
3120000,0.156,59.0
3140000,0.157,54.7
3160000,0.158,66.2
3180000,0.159,72.0
3200000,0.160,64.8
3220000,0.161,63.3
3240000,0.162,66.2
3260000,0.163,56.2
3280000,0.164,57.3
3300000,0.165,61.9
3320000,0.166,61.9
3340000,0.167,73.4
3360000,0.168,66.2
3380000,0.169,61.9
3400000,0.170,66.2
3420000,0.171,72.0
3440000,0.172,54.7
3460000,0.173,61.9
3480000,0.174,73.4
3500000,0.175,57.6
3520000,0.176,53.3
3540000,0.177,76.3
3560000,0.178,64.8
3580000,0.179,60.5
3600000,0.180,60.5
3620000,0.181,66.2
3640000,0.182,65.0
3660000,0.183,56.2
3680000,0.184,66.2
3700000,0.185,49.0
3720000,0.186,27.4
3740000,0.187,36.0
3760000,0.188,40.3
3780000,0.189,30.3
3800000,0.190,25.9
3820000,0.191,34.0
3840000,0.192,27.4
3860000,0.193,34.6
3880000,0.194,31.7
3900000,0.195,31.7
3920000,0.196,27.4
3940000,0.197,13.0
3960000,0.198,18.7
3980000,0.199,23.1
4000000,0.200,9.2
4020000,0.201,25.9
4040000,0.202,31.7
4060000,0.203,14.4
4080000,0.204,15.9
4100000,0.205,20.2
4120000,0.206,23.1
4140000,0.207,7.2
4160000,0.208,15.9
4180000,0.209,21.6
4200000,0.210,20.2
4220000,0.211,14.4
4240000,0.212,11.6
4260000,0.213,7.2
4280000,0.214,10.1
4300000,0.215,8.7
4320000,0.216,14.4
4340000,0.217,2.9
4360000,0.218,1.5
4380000,0.219,7.2
