FPGA idle power [mW]:,3750.0

Program energy [mJ]:,4.99

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,15.0
20000,0.001,19.3
40000,0.002,16.4
60000,0.003,16.4
80000,0.004,19.5
100000,0.005,19.3
120000,0.006,19.3
140000,0.007,10.7
160000,0.008,3.5
180000,0.009,7.8
200000,0.010,7.8
220000,0.011,4.9
240000,0.012,3.5
260000,0.013,5.6
280000,0.014,7.8
300000,0.015,-2.3
320000,0.016,2.1
340000,0.017,6.4
360000,0.018,-2.3
380000,0.019,3.5
400000,0.020,4.9
420000,0.021,6.4
440000,0.022,-0.6
460000,0.023,-2.3
480000,0.024,7.8
500000,0.025,3.5
520000,0.026,0.6
540000,0.027,9.2
560000,0.028,10.7
580000,0.029,-5.1
600000,0.030,3.5
620000,0.031,13.3
640000,0.032,-2.3
660000,0.033,7.8
680000,0.034,4.9
700000,0.035,4.9
720000,0.036,-2.3
740000,0.037,3.5
760000,0.038,4.9
780000,0.039,3.5
800000,0.040,0.9
820000,0.041,12.1
840000,0.042,6.4
860000,0.043,0.6
880000,0.044,6.4
900000,0.045,6.4
920000,0.046,-2.3
940000,0.047,0.6
960000,0.048,6.4
980000,0.049,2.5
1000000,0.050,-3.7
1020000,0.051,7.8
1040000,0.052,-0.8
1060000,0.053,10.7
1080000,0.054,12.1
1100000,0.055,4.9
1120000,0.056,0.6
1140000,0.057,3.5
1160000,0.058,8.7
1180000,0.059,0.6
1200000,0.060,3.5
1220000,0.061,3.5
1240000,0.062,7.8
1260000,0.063,6.4
1280000,0.064,-8.0
1300000,0.065,2.1
1320000,0.066,2.1
1340000,0.067,5.6
1360000,0.068,0.6
1380000,0.069,3.5
1400000,0.070,2.1
1420000,0.071,4.9
1440000,0.072,0.6
1460000,0.073,6.4
1480000,0.074,-2.3
1500000,0.075,3.5
1520000,0.076,7.1
1540000,0.077,9.2
1560000,0.078,3.5
1580000,0.079,3.5
1600000,0.080,12.1
1620000,0.081,4.9
1640000,0.082,12.1
1660000,0.083,4.9
1680000,0.084,4.9
1700000,0.085,0.9
1720000,0.086,-0.8
1740000,0.087,4.9
1760000,0.088,6.4
1780000,0.089,-6.6
1800000,0.090,-2.3
1820000,0.091,6.4
1840000,0.092,6.4
1860000,0.093,-8.0
1880000,0.094,8.7
1900000,0.095,4.9
1920000,0.096,7.8
1940000,0.097,-3.7
1960000,0.098,4.9
1980000,0.099,2.1
2000000,0.100,-5.1
2020000,0.101,4.9
2040000,0.102,9.2
2060000,0.103,4.0
2080000,0.104,3.5
2100000,0.105,6.4
2120000,0.106,0.6
2140000,0.107,-3.7
2160000,0.108,6.4
2180000,0.109,6.4
2200000,0.110,0.6
2220000,0.111,6.4
2240000,0.112,4.0
2260000,0.113,4.9
2280000,0.114,-2.3
2300000,0.115,4.9
2320000,0.116,2.1
2340000,0.117,0.6
2360000,0.118,4.9
2380000,0.119,6.4
2400000,0.120,7.8
2420000,0.121,4.0
2440000,0.122,13.6
2460000,0.123,0.6
2480000,0.124,0.6
2500000,0.125,3.5
2520000,0.126,2.1
2540000,0.127,2.1
2560000,0.128,-3.7
