FPGA idle power [mW]:,3745.4

Program energy [mJ]:,4.93

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,8.1
20000,0.001,12.4
40000,0.002,14.8
60000,0.003,18.2
80000,0.004,13.8
100000,0.005,12.4
120000,0.006,16.7
140000,0.007,18.2
160000,0.008,5.2
180000,0.009,6.7
200000,0.010,2.3
220000,0.011,2.5
240000,0.012,-3.4
260000,0.013,6.7
280000,0.014,-2.0
300000,0.015,3.8
320000,0.016,3.8
340000,0.017,8.1
360000,0.018,5.2
380000,0.019,-2.0
400000,0.020,2.5
420000,0.021,5.2
440000,0.022,0.9
460000,0.023,-4.9
480000,0.024,2.3
500000,0.025,2.3
520000,0.026,11.0
540000,0.027,6.7
560000,0.028,8.1
580000,0.029,4.0
600000,0.030,0.9
620000,0.031,8.1
640000,0.032,3.8
660000,0.033,3.8
680000,0.034,2.3
700000,0.035,6.7
720000,0.036,0.9
740000,0.037,3.8
760000,0.038,-0.6
780000,0.039,2.3
800000,0.040,2.3
820000,0.041,-0.5
840000,0.042,8.1
860000,0.043,0.9
880000,0.044,-9.2
900000,0.045,0.9
920000,0.046,8.1
940000,0.047,2.5
960000,0.048,2.3
980000,0.049,2.3
1000000,0.050,2.3
1020000,0.051,6.7
1040000,0.052,3.8
1060000,0.053,3.8
1080000,0.054,2.3
1100000,0.055,8.1
1120000,0.056,7.1
1140000,0.057,6.7
1160000,0.058,-4.9
1180000,0.059,3.8
1200000,0.060,2.3
1220000,0.061,3.8
1240000,0.062,-9.2
1260000,0.063,-3.4
1280000,0.064,5.2
1300000,0.065,-0.6
1320000,0.066,2.3
1340000,0.067,2.3
1360000,0.068,6.7
1380000,0.069,-2.0
1400000,0.070,6.7
1420000,0.071,3.8
1440000,0.072,2.3
1460000,0.073,3.8
1480000,0.074,10.2
1500000,0.075,2.3
1520000,0.076,-3.4
1540000,0.077,5.2
1560000,0.078,5.2
1580000,0.079,-4.9
1600000,0.080,3.8
1620000,0.081,9.5
1640000,0.082,2.3
1660000,0.083,-13.0
1680000,0.084,12.4
1700000,0.085,-2.0
1720000,0.086,2.3
1740000,0.087,5.2
1760000,0.088,8.1
1780000,0.089,3.8
1800000,0.090,0.9
1820000,0.091,5.2
1840000,0.092,0.9
1860000,0.093,-0.5
1880000,0.094,2.3
1900000,0.095,5.2
1920000,0.096,5.2
1940000,0.097,-4.9
1960000,0.098,11.0
1980000,0.099,2.3
2000000,0.100,-0.5
2020000,0.101,-3.7
2040000,0.102,5.2
2060000,0.103,6.7
2080000,0.104,2.3
2100000,0.105,3.8
2120000,0.106,2.3
2140000,0.107,6.7
2160000,0.108,-0.5
2180000,0.109,3.8
2200000,0.110,8.6
2220000,0.111,0.9
2240000,0.112,5.2
2260000,0.113,8.1
2280000,0.114,5.2
2300000,0.115,-4.9
2320000,0.116,2.3
2340000,0.117,5.2
2360000,0.118,-0.5
2380000,0.119,-0.6
2400000,0.120,0.9
2420000,0.121,5.2
2440000,0.122,-0.5
2460000,0.123,5.2
2480000,0.124,6.7
2500000,0.125,3.8
2520000,0.126,-2.0
2540000,0.127,5.2
2560000,0.128,5.5
2580000,0.129,-7.7
2600000,0.130,-2.0
2620000,0.131,3.8
