FPGA idle power [mW]:,3739.5

Program energy [mJ]:,7.16

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,21.2
20000,0.001,21.2
40000,0.002,16.9
60000,0.003,18.3
80000,0.004,25.4
100000,0.005,14.0
120000,0.006,5.4
140000,0.007,11.1
160000,0.008,16.9
180000,0.009,15.4
200000,0.010,14.0
220000,0.011,14.0
240000,0.012,6.8
260000,0.013,14.5
280000,0.014,25.5
300000,0.015,28.4
320000,0.016,28.4
340000,0.017,29.8
360000,0.018,25.5
380000,0.019,18.3
400000,0.020,16.9
420000,0.021,18.3
440000,0.022,19.2
460000,0.023,9.7
480000,0.024,15.4
500000,0.025,21.2
520000,0.026,3.9
540000,0.027,15.4
560000,0.028,15.4
580000,0.029,22.6
600000,0.030,15.4
620000,0.031,16.1
640000,0.032,22.6
660000,0.033,18.3
680000,0.034,21.2
700000,0.035,11.1
720000,0.036,22.6
740000,0.037,12.6
760000,0.038,18.3
780000,0.039,22.6
800000,0.040,8.4
820000,0.041,16.9
840000,0.042,21.2
860000,0.043,18.3
880000,0.044,5.4
900000,0.045,18.3
920000,0.046,18.3
940000,0.047,6.8
960000,0.048,14.0
980000,0.049,19.2
1000000,0.050,21.2
1020000,0.051,18.3
1040000,0.052,9.7
1060000,0.053,26.9
1080000,0.054,9.7
1100000,0.055,14.0
1120000,0.056,19.7
1140000,0.057,21.2
1160000,0.058,16.1
1180000,0.059,21.2
1200000,0.060,16.9
1220000,0.061,5.4
1240000,0.062,11.1
1260000,0.063,25.5
1280000,0.064,19.7
1300000,0.065,21.2
1320000,0.066,18.3
1340000,0.067,23.8
1360000,0.068,14.0
1380000,0.069,14.0
1400000,0.070,16.9
1420000,0.071,24.1
1440000,0.072,9.7
1460000,0.073,15.4
1480000,0.074,25.5
1500000,0.075,18.3
1520000,0.076,19.2
1540000,0.077,24.1
1560000,0.078,19.7
1580000,0.079,19.7
1600000,0.080,21.2
1620000,0.081,15.4
1640000,0.082,14.0
1660000,0.083,18.3
1680000,0.084,21.2
1700000,0.085,19.2
1720000,0.086,19.7
1740000,0.087,18.3
1760000,0.088,16.9
1780000,0.089,16.9
1800000,0.090,18.3
1820000,0.091,16.9
1840000,0.092,11.1
1860000,0.093,5.4
1880000,0.094,9.9
1900000,0.095,11.1
1920000,0.096,14.0
1940000,0.097,14.0
1960000,0.098,15.4
1980000,0.099,9.7
2000000,0.100,9.7
2020000,0.101,15.4
2040000,0.102,8.2
2060000,0.103,11.4
2080000,0.104,12.6
2100000,0.105,16.9
2120000,0.106,8.2
2140000,0.107,16.9
2160000,0.108,11.1
2180000,0.109,12.6
2200000,0.110,12.6
2220000,0.111,11.1
2240000,0.112,16.1
2260000,0.113,8.2
2280000,0.114,15.4
2300000,0.115,14.0
2320000,0.116,12.6
2340000,0.117,12.6
2360000,0.118,16.9
2380000,0.119,15.4
2400000,0.120,18.3
2420000,0.121,20.7
2440000,0.122,24.1
2460000,0.123,16.9
2480000,0.124,19.7
2500000,0.125,14.0
2520000,0.126,14.0
2540000,0.127,15.4
2560000,0.128,18.3
2580000,0.129,15.4
2600000,0.130,19.2
2620000,0.131,15.4
2640000,0.132,18.3
2660000,0.133,24.1
2680000,0.134,15.4
2700000,0.135,21.2
2720000,0.136,19.7
2740000,0.137,19.7
2760000,0.138,14.0
2780000,0.139,19.2
2800000,0.140,26.9
2820000,0.141,14.0
2840000,0.142,21.2
2860000,0.143,28.4
2880000,0.144,19.7
2900000,0.145,9.7
2920000,0.146,18.3
2940000,0.147,24.1
2960000,0.148,8.4
2980000,0.149,28.4
3000000,0.150,16.9
3020000,0.151,18.3
3040000,0.152,21.2
3060000,0.153,18.3
3080000,0.154,22.6
3100000,0.155,12.6
3120000,0.156,15.4
3140000,0.157,13.0
3160000,0.158,18.3
3180000,0.159,18.3
3200000,0.160,14.0
3220000,0.161,24.1
3240000,0.162,11.1
3260000,0.163,19.7
3280000,0.164,18.3
3300000,0.165,12.6
3320000,0.166,16.1
3340000,0.167,15.4
3360000,0.168,24.1
3380000,0.169,19.7
3400000,0.170,12.6
3420000,0.171,22.6
3440000,0.172,19.7
3460000,0.173,18.3
3480000,0.174,16.9
3500000,0.175,17.6
3520000,0.176,14.0
3540000,0.177,18.3
3560000,0.178,19.7
3580000,0.179,24.1
3600000,0.180,16.9
3620000,0.181,16.9
3640000,0.182,18.3
3660000,0.183,11.1
3680000,0.184,13.0
3700000,0.185,15.4
3720000,0.186,11.1
3740000,0.187,15.4
3760000,0.188,15.4
3780000,0.189,8.2
3800000,0.190,9.7
3820000,0.191,15.4
3840000,0.192,11.1
3860000,0.193,13.0
3880000,0.194,11.1
3900000,0.195,19.7
3920000,0.196,18.3
3940000,0.197,2.5
3960000,0.198,11.1
3980000,0.199,2.5
4000000,0.200,5.4
4020000,0.201,8.2
4040000,0.202,11.4
4060000,0.203,6.8
4080000,0.204,1.0
4100000,0.205,6.8
4120000,0.206,8.2
4140000,0.207,5.4
4160000,0.208,12.6
4180000,0.209,12.6
4200000,0.210,8.2
4220000,0.211,-2.5
4240000,0.212,2.5
4260000,0.213,6.8
4280000,0.214,11.1
4300000,0.215,15.4
4320000,0.216,25.5
4340000,0.217,21.2
4360000,0.218,15.4
4380000,0.219,18.3
4400000,0.220,20.7
4420000,0.221,12.6
4440000,0.222,22.6
4460000,0.223,24.1
4480000,0.224,24.1
4500000,0.225,16.9
4520000,0.226,22.6
4540000,0.227,26.9
4560000,0.228,19.7
4580000,0.229,19.2
4600000,0.230,22.6
4620000,0.231,18.3
4640000,0.232,18.3
4660000,0.233,21.2
4680000,0.234,24.1
4700000,0.235,21.2
4720000,0.236,18.3
4740000,0.237,19.7
4760000,0.238,17.6
4780000,0.239,19.7
4800000,0.240,25.5
4820000,0.241,25.5
4840000,0.242,25.5
4860000,0.243,24.1
4880000,0.244,22.6
4900000,0.245,19.7
4920000,0.246,18.3
4940000,0.247,22.3
4960000,0.248,24.1
4980000,0.249,14.0
5000000,0.250,24.1
5020000,0.251,22.6
5040000,0.252,19.7
5060000,0.253,15.4
5080000,0.254,18.3
5100000,0.255,24.1
5120000,0.256,23.8
5140000,0.257,21.2
5160000,0.258,18.3
5180000,0.259,21.2
5200000,0.260,24.1
5220000,0.261,16.9
5240000,0.262,19.7
5260000,0.263,28.4
5280000,0.264,24.1
5300000,0.265,23.8
5320000,0.266,19.7
