FPGA idle power [mW]:,3756.8

Program energy [mJ]:,7.19

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,1.0
20000,0.001,12.5
40000,0.002,19.7
60000,0.003,16.8
80000,0.004,18.9
100000,0.005,16.8
120000,0.006,16.8
140000,0.007,18.3
160000,0.008,11.1
180000,0.009,12.5
200000,0.010,12.5
220000,0.011,14.0
240000,0.012,12.5
260000,0.013,11.2
280000,0.014,25.5
300000,0.015,25.5
320000,0.016,32.7
340000,0.017,28.3
360000,0.018,26.9
380000,0.019,18.3
400000,0.020,32.7
420000,0.021,21.2
440000,0.022,12.7
460000,0.023,18.3
480000,0.024,14.0
500000,0.025,15.4
520000,0.026,14.0
540000,0.027,16.8
560000,0.028,15.4
580000,0.029,11.1
600000,0.030,16.8
620000,0.031,15.8
640000,0.032,15.4
660000,0.033,9.6
680000,0.034,16.8
700000,0.035,14.0
720000,0.036,25.5
740000,0.037,11.1
760000,0.038,11.1
780000,0.039,24.0
800000,0.040,18.9
820000,0.041,15.4
840000,0.042,19.7
860000,0.043,11.1
880000,0.044,15.4
900000,0.045,21.2
920000,0.046,14.0
940000,0.047,15.4
960000,0.048,19.7
980000,0.049,18.9
1000000,0.050,21.2
1020000,0.051,15.4
1040000,0.052,18.3
1060000,0.053,18.3
1080000,0.054,19.7
1100000,0.055,15.4
1120000,0.056,24.0
1140000,0.057,16.8
1160000,0.058,11.2
1180000,0.059,19.7
1200000,0.060,15.4
1220000,0.061,15.4
1240000,0.062,18.3
1260000,0.063,16.8
1280000,0.064,16.8
1300000,0.065,15.4
1320000,0.066,19.7
1340000,0.067,14.3
1360000,0.068,16.8
1380000,0.069,12.5
1400000,0.070,19.7
1420000,0.071,18.3
1440000,0.072,21.2
1460000,0.073,18.3
1480000,0.074,25.5
1500000,0.075,25.5
1520000,0.076,18.9
1540000,0.077,18.3
1560000,0.078,19.7
1580000,0.079,22.6
1600000,0.080,25.5
1620000,0.081,14.0
1640000,0.082,21.2
1660000,0.083,18.3
1680000,0.084,12.5
1700000,0.085,17.4
1720000,0.086,16.8
1740000,0.087,21.2
1760000,0.088,19.7
1780000,0.089,15.4
1800000,0.090,22.6
