FPGA idle power [mW]:,3767.3

Program energy [mJ]:,7.28

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,0.6
20000,0.001,12.1
40000,0.002,17.8
60000,0.003,19.3
80000,0.004,20.8
100000,0.005,12.1
120000,0.006,12.1
140000,0.007,9.2
160000,0.008,16.4
180000,0.009,15.0
200000,0.010,7.8
220000,0.011,16.4
240000,0.012,9.2
260000,0.013,23.9
280000,0.014,29.4
300000,0.015,25.0
320000,0.016,32.2
340000,0.017,39.4
360000,0.018,27.9
380000,0.019,27.9
400000,0.020,30.8
420000,0.021,10.7
440000,0.022,13.1
460000,0.023,13.5
480000,0.024,15.0
500000,0.025,15.0
520000,0.026,13.5
540000,0.027,15.0
560000,0.028,20.7
580000,0.029,17.8
600000,0.030,17.8
620000,0.031,23.9
640000,0.032,13.5
660000,0.033,15.0
680000,0.034,12.1
700000,0.035,20.7
720000,0.036,23.6
740000,0.037,9.2
760000,0.038,6.3
780000,0.039,13.5
800000,0.040,14.6
820000,0.041,12.1
840000,0.042,15.0
860000,0.043,16.4
880000,0.044,17.8
900000,0.045,13.5
920000,0.046,20.7
940000,0.047,22.2
960000,0.048,17.8
980000,0.049,17.7
1000000,0.050,17.8
1020000,0.051,23.6
1040000,0.052,17.8
1060000,0.053,7.8
1080000,0.054,19.3
1100000,0.055,20.7
1120000,0.056,16.4
1140000,0.057,15.0
1160000,0.058,16.2
1180000,0.059,19.3
1200000,0.060,13.5
1220000,0.061,20.7
1240000,0.062,16.4
1260000,0.063,22.2
1280000,0.064,16.4
1300000,0.065,12.1
1320000,0.066,25.0
1340000,0.067,13.1
1360000,0.068,13.5
1380000,0.069,19.3
1400000,0.070,20.7
1420000,0.071,16.4
1440000,0.072,12.1
1460000,0.073,7.8
1480000,0.074,23.6
1500000,0.075,29.4
1520000,0.076,14.6
1540000,0.077,20.7
1560000,0.078,12.1
1580000,0.079,15.0
1600000,0.080,20.7
1620000,0.081,19.3
1640000,0.082,16.4
1660000,0.083,16.4
1680000,0.084,16.4
1700000,0.085,16.2
1720000,0.086,16.4
1740000,0.087,15.0
1760000,0.088,19.3
1780000,0.089,13.5
1800000,0.090,17.8
1820000,0.091,12.1
1840000,0.092,16.4
1860000,0.093,13.5
1880000,0.094,8.4
1900000,0.095,12.1
1920000,0.096,12.1
