FPGA idle power [mW]:,3730.0

Program energy [mJ]:,7.98

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,23.5
20000,0.001,23.5
40000,0.002,23.5
60000,0.003,19.2
80000,0.004,14.9
100000,0.005,22.1
120000,0.006,19.4
140000,0.007,16.3
160000,0.008,19.2
180000,0.009,26.4
200000,0.010,22.1
220000,0.011,19.2
240000,0.012,16.3
260000,0.013,12.0
280000,0.014,13.4
300000,0.015,17.9
320000,0.016,26.4
340000,0.017,29.2
360000,0.018,19.2
380000,0.019,30.7
400000,0.020,29.2
420000,0.021,30.7
440000,0.022,22.1
460000,0.023,32.1
480000,0.024,27.1
500000,0.025,20.6
520000,0.026,29.2
540000,0.027,27.8
560000,0.028,26.4
580000,0.029,23.5
600000,0.030,29.2
620000,0.031,29.2
640000,0.032,23.5
660000,0.033,25.6
680000,0.034,27.8
700000,0.035,26.4
720000,0.036,17.7
740000,0.037,29.2
760000,0.038,27.8
780000,0.039,24.9
800000,0.040,26.4
820000,0.041,26.4
840000,0.042,25.6
860000,0.043,20.6
880000,0.044,29.2
900000,0.045,33.6
920000,0.046,26.4
940000,0.047,32.1
960000,0.048,24.9
980000,0.049,26.4
1000000,0.050,22.1
1020000,0.051,24.0
1040000,0.052,26.4
1060000,0.053,22.1
1080000,0.054,27.8
1100000,0.055,24.9
1120000,0.056,27.8
1140000,0.057,24.9
1160000,0.058,26.4
1180000,0.059,24.9
1200000,0.060,22.5
1220000,0.061,22.1
1240000,0.062,22.1
1260000,0.063,27.8
1280000,0.064,19.2
1300000,0.065,29.2
1320000,0.066,32.1
1340000,0.067,35.0
1360000,0.068,25.6
1380000,0.069,26.4
1400000,0.070,29.2
1420000,0.071,17.7
1440000,0.072,22.1
1460000,0.073,32.1
1480000,0.074,26.4
1500000,0.075,17.7
1520000,0.076,24.9
1540000,0.077,27.1
1560000,0.078,33.6
1580000,0.079,27.8
1600000,0.080,30.7
1620000,0.081,29.2
1640000,0.082,30.7
1660000,0.083,32.1
1680000,0.084,26.4
1700000,0.085,19.2
1720000,0.086,27.1
1740000,0.087,27.8
1760000,0.088,24.9
1780000,0.089,23.5
1800000,0.090,27.8
1820000,0.091,33.6
1840000,0.092,22.1
1860000,0.093,30.7
1880000,0.094,32.1
1900000,0.095,24.0
1920000,0.096,30.7
1940000,0.097,23.5
1960000,0.098,27.8
1980000,0.099,19.2
2000000,0.100,17.7
2020000,0.101,27.8
2040000,0.102,23.5
2060000,0.103,26.4
2080000,0.104,25.6
2100000,0.105,30.7
2120000,0.106,23.5
2140000,0.107,26.4
2160000,0.108,30.7
2180000,0.109,24.9
2200000,0.110,29.2
2220000,0.111,27.8
2240000,0.112,24.9
2260000,0.113,19.4
2280000,0.114,27.8
2300000,0.115,27.8
2320000,0.116,23.5
2340000,0.117,27.8
2360000,0.118,32.1
2380000,0.119,32.1
2400000,0.120,20.6
2420000,0.121,33.6
2440000,0.122,31.8
2460000,0.123,23.5
2480000,0.124,24.9
2500000,0.125,27.8
2520000,0.126,27.8
2540000,0.127,29.2
2560000,0.128,27.8
2580000,0.129,23.5
2600000,0.130,27.8
2620000,0.131,34.9
2640000,0.132,29.2
2660000,0.133,26.4
2680000,0.134,27.8
2700000,0.135,27.8
2720000,0.136,26.4
2740000,0.137,26.4
2760000,0.138,29.2
2780000,0.139,29.2
2800000,0.140,22.5
2820000,0.141,22.1
2840000,0.142,36.4
2860000,0.143,20.6
2880000,0.144,20.6
2900000,0.145,17.7
2920000,0.146,26.4
2940000,0.147,32.1
2960000,0.148,22.1
2980000,0.149,29.2
3000000,0.150,22.5
3020000,0.151,29.2
3040000,0.152,23.5
3060000,0.153,23.5
3080000,0.154,27.8
3100000,0.155,22.1
3120000,0.156,32.1
3140000,0.157,23.5
3160000,0.158,30.7
3180000,0.159,25.6
3200000,0.160,24.9
3220000,0.161,30.7
3240000,0.162,30.7
3260000,0.163,27.8
3280000,0.164,23.5
3300000,0.165,26.4
3320000,0.166,37.9
3340000,0.167,22.1
3360000,0.168,22.5
3380000,0.169,30.7
3400000,0.170,22.1
3420000,0.171,24.9
3440000,0.172,27.8
3460000,0.173,14.9
3480000,0.174,24.9
3500000,0.175,30.7
3520000,0.176,23.5
3540000,0.177,24.0
3560000,0.178,22.1
3580000,0.179,27.8
3600000,0.180,17.7
3620000,0.181,27.8
3640000,0.182,32.1
3660000,0.183,23.5
3680000,0.184,19.2
3700000,0.185,26.4
3720000,0.186,24.0
3740000,0.187,22.1
3760000,0.188,27.8
3780000,0.189,19.2
3800000,0.190,-1.0
3820000,0.191,12.0
3840000,0.192,12.0
3860000,0.193,16.3
3880000,0.194,17.7
3900000,0.195,30.2
3920000,0.196,29.2
3940000,0.197,27.8
3960000,0.198,20.6
3980000,0.199,33.6
4000000,0.200,29.2
4020000,0.201,22.1
4040000,0.202,19.2
4060000,0.203,26.4
4080000,0.204,16.3
4100000,0.205,20.6
4120000,0.206,24.9
4140000,0.207,20.6
4160000,0.208,16.3
4180000,0.209,24.9
4200000,0.210,22.1
4220000,0.211,23.5
4240000,0.212,30.7
4260000,0.213,24.0
4280000,0.214,29.2
4300000,0.215,20.6
4320000,0.216,29.2
4340000,0.217,27.8
4360000,0.218,9.1
4380000,0.219,24.9
4400000,0.220,27.8
4420000,0.221,22.1
4440000,0.222,19.4
4460000,0.223,24.9
4480000,0.224,17.7
4500000,0.225,24.9
4520000,0.226,30.7
4540000,0.227,30.7
4560000,0.228,20.6
4580000,0.229,13.4
4600000,0.230,27.8
4620000,0.231,25.6
4640000,0.232,23.5
4660000,0.233,26.4
4680000,0.234,20.6
4700000,0.235,24.9
4720000,0.236,20.6
4740000,0.237,27.8
4760000,0.238,29.2
4780000,0.239,22.1
4800000,0.240,16.3
4820000,0.241,23.5
4840000,0.242,29.2
4860000,0.243,29.2
4880000,0.244,23.5
4900000,0.245,24.9
4920000,0.246,24.9
4940000,0.247,19.2
4960000,0.248,23.5
4980000,0.249,25.6
5000000,0.250,12.0
5020000,0.251,23.5
5040000,0.252,22.1
5060000,0.253,24.9
5080000,0.254,17.7
5100000,0.255,23.5
5120000,0.256,10.5
5140000,0.257,9.1
5160000,0.258,13.2
5180000,0.259,19.2
5200000,0.260,12.0
5220000,0.261,13.4
5240000,0.262,13.4
5260000,0.263,19.2
5280000,0.264,14.9
5300000,0.265,17.7
5320000,0.266,10.5
5340000,0.267,25.6
5360000,0.268,16.3
5380000,0.269,19.2
5400000,0.270,12.0
5420000,0.271,1.9
5440000,0.272,14.9
5460000,0.273,19.2
5480000,0.274,12.0
5500000,0.275,9.1
5520000,0.276,13.2
5540000,0.277,22.1
5560000,0.278,22.1
5580000,0.279,16.3
5600000,0.280,20.6
5620000,0.281,20.6
5640000,0.282,19.2
5660000,0.283,20.6
5680000,0.284,32.1
5700000,0.285,13.2
5720000,0.286,20.6
5740000,0.287,30.7
5760000,0.288,17.7
5780000,0.289,30.7
5800000,0.290,19.2
5820000,0.291,19.2
5840000,0.292,22.1
5860000,0.293,16.3
5880000,0.294,31.8
5900000,0.295,23.5
5920000,0.296,19.2
5940000,0.297,26.4
5960000,0.298,20.6
5980000,0.299,19.2
6000000,0.300,30.7
6020000,0.301,24.9
6040000,0.302,22.1
6060000,0.303,13.2
6080000,0.304,24.9
6100000,0.305,20.6
6120000,0.306,17.7
6140000,0.307,20.6
6160000,0.308,27.8
6180000,0.309,23.5
6200000,0.310,14.9
6220000,0.311,26.4
6240000,0.312,28.7
6260000,0.313,4.8
6280000,0.314,27.8
6300000,0.315,27.8
6320000,0.316,22.1
6340000,0.317,16.3
6360000,0.318,26.4
6380000,0.319,19.2
6400000,0.320,17.7
6420000,0.321,24.0
6440000,0.322,29.2
6460000,0.323,24.9
6480000,0.324,23.5
6500000,0.325,29.2
6520000,0.326,16.3
6540000,0.327,10.5
6560000,0.328,20.6
6580000,0.329,19.2
6600000,0.330,14.8
6620000,0.331,13.4
6640000,0.332,20.6
6660000,0.333,20.6
6680000,0.334,17.7
6700000,0.335,16.3
6720000,0.336,19.2
