FPGA idle power [mW]:,3743.8

Program energy [mJ]:,7.04

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,2.5
20000,0.001,21.2
40000,0.002,24.1
60000,0.003,16.9
80000,0.004,14.0
100000,0.005,18.3
120000,0.006,14.0
140000,0.007,15.4
160000,0.008,18.0
180000,0.009,18.3
200000,0.010,22.6
220000,0.011,12.6
240000,0.012,24.1
260000,0.013,15.4
280000,0.014,11.1
300000,0.015,19.8
320000,0.016,16.9
340000,0.017,22.6
360000,0.018,22.6
380000,0.019,25.5
400000,0.020,25.5
420000,0.021,25.5
440000,0.022,15.4
460000,0.023,19.8
480000,0.024,24.1
500000,0.025,25.5
520000,0.026,19.5
540000,0.027,28.4
560000,0.028,27.0
580000,0.029,14.0
600000,0.030,22.6
620000,0.031,27.0
640000,0.032,16.9
660000,0.033,16.9
680000,0.034,25.5
700000,0.035,27.3
720000,0.036,21.2
740000,0.037,19.8
760000,0.038,29.8
780000,0.039,15.4
800000,0.040,31.3
820000,0.041,25.5
840000,0.042,24.1
860000,0.043,16.9
880000,0.044,21.1
900000,0.045,21.2
920000,0.046,25.5
940000,0.047,25.5
960000,0.048,22.6
980000,0.049,19.8
1000000,0.050,21.2
1020000,0.051,21.2
1040000,0.052,24.1
1060000,0.053,24.2
1080000,0.054,22.6
1100000,0.055,24.1
1120000,0.056,24.1
1140000,0.057,16.9
1160000,0.058,21.2
1180000,0.059,22.6
1200000,0.060,18.3
1220000,0.061,15.4
1240000,0.062,28.8
1260000,0.063,25.5
1280000,0.064,15.4
1300000,0.065,22.6
1320000,0.066,24.1
1340000,0.067,16.9
1360000,0.068,24.1
1380000,0.069,25.5
1400000,0.070,25.5
1420000,0.071,11.8
1440000,0.072,31.3
1460000,0.073,29.8
1480000,0.074,24.1
1500000,0.075,25.5
1520000,0.076,24.1
1540000,0.077,22.6
1560000,0.078,11.1
1580000,0.079,27.0
1600000,0.080,21.1
1620000,0.081,21.2
1640000,0.082,22.6
1660000,0.083,25.5
1680000,0.084,19.8
1700000,0.085,21.2
1720000,0.086,22.6
1740000,0.087,24.1
1760000,0.088,27.0
1780000,0.089,25.7
1800000,0.090,25.5
1820000,0.091,25.5
1840000,0.092,21.2
1860000,0.093,19.8
1880000,0.094,21.2
1900000,0.095,22.6
1920000,0.096,27.0
1940000,0.097,22.6
1960000,0.098,19.5
1980000,0.099,19.8
2000000,0.100,19.8
2020000,0.101,21.2
2040000,0.102,22.6
2060000,0.103,25.5
2080000,0.104,27.0
2100000,0.105,27.0
2120000,0.106,18.3
2140000,0.107,25.7
2160000,0.108,16.9
2180000,0.109,27.0
2200000,0.110,15.4
2220000,0.111,21.2
2240000,0.112,22.6
2260000,0.113,19.8
2280000,0.114,22.6
2300000,0.115,29.8
2320000,0.116,25.7
2340000,0.117,22.6
2360000,0.118,27.0
2380000,0.119,28.4
2400000,0.120,22.6
2420000,0.121,24.1
2440000,0.122,25.5
2460000,0.123,27.0
2480000,0.124,16.9
2500000,0.125,24.2
2520000,0.126,28.4
2540000,0.127,19.8
2560000,0.128,25.5
2580000,0.129,25.5
2600000,0.130,24.1
2620000,0.131,21.2
2640000,0.132,24.1
2660000,0.133,24.1
2680000,0.134,19.5
2700000,0.135,21.2
2720000,0.136,28.4
2740000,0.137,24.1
2760000,0.138,21.2
2780000,0.139,21.2
2800000,0.140,29.8
2820000,0.141,21.2
2840000,0.142,22.6
2860000,0.143,30.4
2880000,0.144,28.4
2900000,0.145,21.2
2920000,0.146,24.1
2940000,0.147,28.4
2960000,0.148,21.2
2980000,0.149,25.5
3000000,0.150,24.1
3020000,0.151,27.0
3040000,0.152,2.5
3060000,0.153,24.1
3080000,0.154,27.0
3100000,0.155,18.3
3120000,0.156,21.2
3140000,0.157,25.5
3160000,0.158,27.0
3180000,0.159,12.6
3200000,0.160,25.5
3220000,0.161,27.3
3240000,0.162,15.4
3260000,0.163,22.6
3280000,0.164,27.0
3300000,0.165,24.1
3320000,0.166,15.4
3340000,0.167,32.7
3360000,0.168,24.1
3380000,0.169,14.0
3400000,0.170,19.5
3420000,0.171,25.5
3440000,0.172,22.6
3460000,0.173,15.4
3480000,0.174,22.6
3500000,0.175,21.2
3520000,0.176,19.8
3540000,0.177,31.3
3560000,0.178,22.6
3580000,0.179,27.3
3600000,0.180,27.0
3620000,0.181,24.1
3640000,0.182,18.3
3660000,0.183,27.0
3680000,0.184,24.1
3700000,0.185,28.4
3720000,0.186,19.8
3740000,0.187,19.8
3760000,0.188,24.2
3780000,0.189,18.3
3800000,0.190,15.4
3820000,0.191,-0.4
3840000,0.192,9.7
3860000,0.193,3.9
3880000,0.194,12.6
3900000,0.195,31.3
3920000,0.196,29.8
3940000,0.197,30.4
3960000,0.198,31.3
3980000,0.199,32.7
4000000,0.200,29.8
4020000,0.201,14.0
4040000,0.202,19.8
4060000,0.203,18.3
4080000,0.204,14.0
4100000,0.205,15.4
4120000,0.206,25.7
4140000,0.207,21.2
4160000,0.208,16.9
4180000,0.209,19.8
4200000,0.210,19.8
4220000,0.211,21.2
4240000,0.212,21.2
4260000,0.213,22.6
4280000,0.214,16.9
4300000,0.215,25.7
4320000,0.216,22.6
4340000,0.217,21.2
4360000,0.218,25.5
4380000,0.219,19.8
4400000,0.220,22.6
4420000,0.221,22.6
4440000,0.222,22.6
4460000,0.223,21.2
4480000,0.224,30.4
4500000,0.225,18.3
4520000,0.226,19.8
4540000,0.227,25.5
4560000,0.228,16.9
4580000,0.229,22.6
4600000,0.230,16.9
4620000,0.231,21.2
4640000,0.232,18.3
4660000,0.233,18.0
4680000,0.234,18.3
4700000,0.235,24.1
4720000,0.236,28.4
