FPGA idle power [mW]:,4078.8

Program energy [mJ]:,22.98

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,17.1
20000,0.001,21.4
40000,0.002,21.4
60000,0.003,20.0
80000,0.004,23.8
100000,0.005,8.5
120000,0.006,47.3
140000,0.007,106.3
160000,0.008,191.2
180000,0.009,261.7
200000,0.010,277.5
220000,0.011,271.7
240000,0.012,267.4
260000,0.013,264.0
280000,0.014,264.6
300000,0.015,253.0
320000,0.016,234.3
340000,0.017,253.0
360000,0.018,215.6
380000,0.019,195.5
400000,0.020,220.0
420000,0.021,172.5
440000,0.022,262.4
460000,0.023,253.0
480000,0.024,260.2
500000,0.025,263.1
520000,0.026,254.5
540000,0.027,250.2
560000,0.028,244.4
580000,0.029,224.3
600000,0.030,264.6
620000,0.031,267.1
640000,0.032,280.4
660000,0.033,267.4
680000,0.034,258.8
700000,0.035,273.2
720000,0.036,257.4
740000,0.037,264.6
760000,0.038,278.9
780000,0.039,227.1
800000,0.040,219.1
820000,0.041,214.2
840000,0.042,225.7
860000,0.043,254.5
880000,0.044,234.3
900000,0.045,245.8
920000,0.046,240.1
940000,0.047,218.5
960000,0.048,228.6
980000,0.049,236.1
1000000,0.050,232.9
1020000,0.051,273.2
1040000,0.052,264.6
1060000,0.053,284.7
1080000,0.054,277.5
1100000,0.055,270.3
1120000,0.056,280.4
1140000,0.057,281.8
1160000,0.058,281.0
1180000,0.059,283.3
1200000,0.060,234.3
1220000,0.061,238.7
1240000,0.062,218.5
1260000,0.063,245.8
1280000,0.064,235.8
1300000,0.065,214.2
1320000,0.066,238.7
1340000,0.067,234.6
1360000,0.068,181.1
1380000,0.069,231.5
1400000,0.070,230.0
1420000,0.071,214.2
1440000,0.072,254.5
1460000,0.073,283.3
1480000,0.074,274.6
1500000,0.075,277.5
1520000,0.076,271.7
1540000,0.077,278.9
1560000,0.078,277.5
1580000,0.079,270.3
1600000,0.080,270.3
1620000,0.081,283.3
1640000,0.082,222.8
1660000,0.083,31.5
1680000,0.084,47.3
1700000,0.085,33.1
1720000,0.086,35.8
1740000,0.087,31.5
1760000,0.088,32.9
1780000,0.089,35.8
1800000,0.090,41.6
1820000,0.091,24.3
1840000,0.092,32.9
1860000,0.093,28.6
1880000,0.094,30.0
1900000,0.095,38.7
1920000,0.096,40.1
1940000,0.097,21.4
1960000,0.098,35.8
1980000,0.099,27.2
2000000,0.100,28.6
2020000,0.101,17.1
2040000,0.102,14.2
2060000,0.103,20.8
2080000,0.104,15.7
2100000,0.105,21.4
2120000,0.106,22.9
2140000,0.107,12.8
2160000,0.108,18.5
2180000,0.109,21.4
2200000,0.110,22.9
2220000,0.111,17.1
2240000,0.112,17.7
2260000,0.113,21.4
2280000,0.114,22.9
2300000,0.115,9.9
2320000,0.116,25.7
2340000,0.117,32.9
2360000,0.118,22.9
2380000,0.119,17.1
2400000,0.120,22.9
2420000,0.121,28.5
2440000,0.122,21.4
2460000,0.123,20.0
2480000,0.124,30.0
2500000,0.125,25.7
2520000,0.126,21.4
2540000,0.127,34.4
2560000,0.128,35.8
2580000,0.129,34.4
2600000,0.130,34.7
2620000,0.131,30.0
2640000,0.132,37.2
2660000,0.133,24.3
2680000,0.134,37.2
2700000,0.135,34.4
2720000,0.136,35.8
2740000,0.137,41.6
2760000,0.138,34.4
2780000,0.139,44.0
2800000,0.140,47.3
2820000,0.141,40.1
2840000,0.142,44.4
2860000,0.143,31.5
2880000,0.144,48.7
2900000,0.145,38.7
2920000,0.146,30.0
2940000,0.147,48.7
2960000,0.148,47.1
2980000,0.149,41.6
3000000,0.150,57.4
3020000,0.151,45.9
3040000,0.152,35.8
3060000,0.153,41.6
3080000,0.154,34.4
3100000,0.155,45.9
3120000,0.156,30.0
3140000,0.157,40.9
3160000,0.158,38.7
3180000,0.159,34.4
3200000,0.160,55.9
3220000,0.161,28.6
3240000,0.162,40.1
3260000,0.163,55.9
3280000,0.164,37.2
3300000,0.165,41.6
3320000,0.166,33.1
3340000,0.167,47.3
3360000,0.168,38.7
3380000,0.169,50.2
3400000,0.170,35.8
3420000,0.171,43.0
3440000,0.172,47.3
3460000,0.173,31.5
3480000,0.174,43.0
3500000,0.175,37.8
3520000,0.176,35.8
3540000,0.177,48.7
3560000,0.178,38.7
3580000,0.179,37.2
3600000,0.180,44.4
3620000,0.181,21.4
3640000,0.182,27.2
3660000,0.183,24.3
3680000,0.184,28.5
3700000,0.185,27.2
3720000,0.186,20.0
3740000,0.187,27.2
3760000,0.188,28.6
3780000,0.189,11.3
3800000,0.190,21.4
3820000,0.191,27.2
3840000,0.192,27.2
3860000,0.193,19.2
3880000,0.194,25.7
3900000,0.195,20.0
3920000,0.196,11.3
3940000,0.197,9.9
3960000,0.198,18.5
3980000,0.199,14.2
4000000,0.200,15.7
4020000,0.201,14.2
4040000,0.202,17.7
4060000,0.203,15.7
4080000,0.204,18.5
4100000,0.205,14.2
4120000,0.206,15.7
4140000,0.207,20.0
4160000,0.208,14.2
4180000,0.209,14.2
4200000,0.210,17.1
4220000,0.211,16.1
4240000,0.212,17.1
4260000,0.213,12.8
4280000,0.214,15.7
4300000,0.215,11.3
4320000,0.216,14.2
4340000,0.217,4.2
4360000,0.218,5.6
4380000,0.219,5.6
