FPGA idle power [mW]:,3805.0

Program energy [mJ]:,12.09

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,30.5
20000,0.001,31.9
40000,0.002,43.6
60000,0.003,29.1
80000,0.004,24.7
100000,0.005,30.5
120000,0.006,31.9
140000,0.007,31.9
160000,0.008,24.7
180000,0.009,20.4
200000,0.010,27.6
220000,0.011,25.0
240000,0.012,46.3
260000,0.013,60.7
280000,0.014,75.1
300000,0.015,79.4
320000,0.016,86.6
340000,0.017,80.9
360000,0.018,82.3
380000,0.019,90.9
400000,0.020,69.9
420000,0.021,57.8
440000,0.022,52.1
460000,0.023,60.7
480000,0.024,55.0
500000,0.025,53.5
520000,0.026,63.6
540000,0.027,55.0
560000,0.028,50.6
580000,0.029,73.0
600000,0.030,63.6
620000,0.031,57.8
640000,0.032,63.6
660000,0.033,59.3
680000,0.034,65.0
700000,0.035,66.5
720000,0.036,57.8
740000,0.037,59.3
760000,0.038,68.3
780000,0.039,75.1
800000,0.040,70.8
820000,0.041,65.0
840000,0.042,63.6
860000,0.043,62.2
880000,0.044,66.5
900000,0.045,63.6
920000,0.046,59.3
940000,0.047,69.9
960000,0.048,53.5
980000,0.049,60.7
1000000,0.050,67.9
1020000,0.051,57.8
1040000,0.052,56.4
1060000,0.053,59.3
1080000,0.054,66.5
1100000,0.055,57.8
1120000,0.056,63.7
1140000,0.057,63.6
1160000,0.058,52.1
1180000,0.059,62.2
1200000,0.060,63.6
1220000,0.061,49.2
1240000,0.062,53.5
1260000,0.063,66.5
1280000,0.064,63.6
1300000,0.065,54.4
1320000,0.066,65.0
1340000,0.067,65.0
1360000,0.068,57.8
1380000,0.069,69.3
1400000,0.070,67.9
1420000,0.071,73.7
1440000,0.072,59.3
1460000,0.073,63.6
1480000,0.074,65.2
1500000,0.075,72.2
1520000,0.076,82.3
1540000,0.077,70.8
1560000,0.078,65.0
1580000,0.079,63.6
1600000,0.080,76.5
1620000,0.081,62.2
1640000,0.082,63.6
1660000,0.083,65.2
1680000,0.084,66.5
1700000,0.085,57.8
1720000,0.086,65.0
1740000,0.087,62.2
1760000,0.088,60.7
1780000,0.089,67.9
1800000,0.090,69.3
1820000,0.091,70.8
1840000,0.092,45.1
1860000,0.093,50.6
1880000,0.094,47.8
1900000,0.095,40.6
1920000,0.096,39.1
1940000,0.097,50.6
1960000,0.098,47.8
1980000,0.099,47.8
2000000,0.100,42.0
2020000,0.101,48.2
2040000,0.102,50.6
2060000,0.103,49.2
2080000,0.104,59.3
2100000,0.105,50.6
2120000,0.106,47.8
2140000,0.107,56.4
2160000,0.108,52.1
2180000,0.109,43.4
2200000,0.110,49.8
2220000,0.111,53.5
2240000,0.112,47.8
2260000,0.113,42.0
2280000,0.114,53.5
2300000,0.115,63.6
2320000,0.116,55.0
2340000,0.117,53.5
2360000,0.118,57.8
2380000,0.119,60.6
2400000,0.120,49.2
2420000,0.121,63.6
2440000,0.122,63.6
2460000,0.123,57.8
2480000,0.124,66.5
2500000,0.125,69.3
2520000,0.126,57.8
2540000,0.127,62.2
2560000,0.128,68.3
2580000,0.129,57.8
2600000,0.130,60.7
2620000,0.131,69.3
2640000,0.132,69.3
2660000,0.133,63.6
2680000,0.134,67.9
2700000,0.135,69.3
2720000,0.136,79.4
2740000,0.137,66.8
2760000,0.138,72.2
2780000,0.139,70.8
2800000,0.140,72.2
2820000,0.141,66.5
2840000,0.142,69.3
2860000,0.143,75.1
2880000,0.144,67.9
2900000,0.145,52.1
2920000,0.146,71.4
2940000,0.147,72.2
2960000,0.148,65.0
2980000,0.149,62.2
3000000,0.150,79.4
3020000,0.151,69.3
3040000,0.152,69.3
3060000,0.153,67.9
3080000,0.154,59.3
3100000,0.155,66.8
3120000,0.156,69.3
3140000,0.157,55.0
3160000,0.158,57.8
3180000,0.159,70.8
3200000,0.160,69.3
3220000,0.161,47.8
3240000,0.162,70.8
3260000,0.163,65.0
3280000,0.164,63.7
3300000,0.165,62.2
3320000,0.166,69.3
3340000,0.167,70.8
3360000,0.168,59.3
3380000,0.169,73.7
3400000,0.170,62.2
3420000,0.171,72.2
3440000,0.172,78.0
3460000,0.173,66.8
3480000,0.174,75.1
3500000,0.175,82.3
3520000,0.176,75.1
3540000,0.177,67.9
3560000,0.178,70.8
3580000,0.179,69.3
3600000,0.180,67.9
3620000,0.181,65.0
3640000,0.182,73.0
3660000,0.183,66.5
3680000,0.184,70.8
3700000,0.185,62.2
3720000,0.186,57.8
3740000,0.187,73.7
3760000,0.188,62.2
3780000,0.189,55.0
3800000,0.190,47.8
3820000,0.191,31.2
3840000,0.192,14.7
3860000,0.193,24.7
3880000,0.194,21.9
3900000,0.195,23.3
3920000,0.196,30.5
3940000,0.197,10.4
3960000,0.198,23.3
3980000,0.199,23.3
4000000,0.200,18.8
4020000,0.201,27.6
4040000,0.202,24.7
4060000,0.203,31.9
4080000,0.204,16.1
4100000,0.205,20.4
4120000,0.206,7.5
4140000,0.207,10.4
4160000,0.208,6.0
4180000,0.209,7.9
4200000,0.210,13.2
4220000,0.211,8.9
4240000,0.212,6.0
4260000,0.213,13.2
4280000,0.214,7.5
4300000,0.215,13.2
4320000,0.216,11.8
4340000,0.217,8.9
4360000,0.218,4.8
4380000,0.219,4.6
4400000,0.220,8.9
