FPGA idle power [mW]:,3816.5

Program energy [mJ]:,12.77

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-2.6
20000,0.001,34.8
40000,0.002,42.9
60000,0.003,26.2
80000,0.004,34.8
100000,0.005,34.8
120000,0.006,29.1
140000,0.007,36.3
160000,0.008,40.6
180000,0.009,30.5
200000,0.010,20.4
220000,0.011,30.5
240000,0.012,29.1
260000,0.013,52.1
280000,0.014,83.7
300000,0.015,80.9
320000,0.016,80.9
340000,0.017,90.9
360000,0.018,89.5
380000,0.019,82.3
400000,0.020,92.5
420000,0.021,75.1
440000,0.022,67.9
460000,0.023,52.1
480000,0.024,70.8
500000,0.025,62.2
520000,0.026,56.4
540000,0.027,66.5
560000,0.028,69.4
580000,0.029,69.2
600000,0.030,67.9
620000,0.031,63.6
640000,0.032,63.6
660000,0.033,65.0
680000,0.034,73.7
700000,0.035,63.6
720000,0.036,78.0
740000,0.037,66.5
760000,0.038,67.7
780000,0.039,72.2
800000,0.040,65.0
820000,0.041,73.7
840000,0.042,60.7
860000,0.043,60.7
880000,0.044,62.2
900000,0.045,67.9
920000,0.046,62.2
940000,0.047,61.5
960000,0.048,69.4
980000,0.049,62.2
1000000,0.050,59.3
1020000,0.051,62.2
1040000,0.052,75.1
1060000,0.053,59.3
1080000,0.054,59.3
1100000,0.055,69.4
1120000,0.056,59.9
1140000,0.057,52.1
1160000,0.058,66.5
1180000,0.059,57.8
1200000,0.060,63.6
1220000,0.061,69.4
1240000,0.062,56.4
1260000,0.063,56.4
1280000,0.064,62.2
1300000,0.065,70.8
1320000,0.066,63.6
1340000,0.067,63.6
1360000,0.068,75.1
1380000,0.069,69.4
1400000,0.070,72.2
1420000,0.071,70.8
1440000,0.072,76.5
1460000,0.073,70.8
1480000,0.074,63.0
1500000,0.075,73.7
1520000,0.076,76.5
1540000,0.077,75.1
1560000,0.078,73.7
1580000,0.079,69.4
1600000,0.080,65.0
1620000,0.081,73.7
1640000,0.082,70.8
1660000,0.083,73.9
1680000,0.084,67.9
1700000,0.085,72.2
1720000,0.086,65.0
1740000,0.087,70.8
1760000,0.088,72.2
1780000,0.089,70.8
1800000,0.090,59.3
1820000,0.091,56.4
1840000,0.092,66.1
1860000,0.093,49.2
1880000,0.094,49.2
1900000,0.095,47.8
1920000,0.096,46.3
1940000,0.097,37.7
1960000,0.098,49.2
1980000,0.099,46.3
2000000,0.100,49.2
2020000,0.101,46.0
2040000,0.102,56.4
2060000,0.103,50.7
2080000,0.104,49.2
2100000,0.105,57.8
2120000,0.106,56.4
2140000,0.107,43.5
2160000,0.108,50.7
2180000,0.109,52.1
2200000,0.110,55.3
2220000,0.111,47.8
2240000,0.112,56.4
2260000,0.113,56.4
2280000,0.114,42.0
2300000,0.115,49.2
2320000,0.116,62.2
2340000,0.117,63.6
2360000,0.118,47.8
2380000,0.119,58.4
2400000,0.120,55.0
2420000,0.121,53.5
2440000,0.122,62.2
2460000,0.123,66.5
2480000,0.124,59.3
2500000,0.125,72.2
2520000,0.126,69.4
2540000,0.127,57.8
2560000,0.128,67.7
2580000,0.129,75.1
2600000,0.130,66.5
2620000,0.131,53.5
2640000,0.132,76.5
2660000,0.133,70.8
2680000,0.134,70.8
2700000,0.135,66.5
2720000,0.136,75.1
2740000,0.137,78.5
2760000,0.138,70.8
2780000,0.139,69.4
2800000,0.140,73.7
2820000,0.141,78.0
2840000,0.142,60.7
2860000,0.143,59.3
2880000,0.144,75.1
2900000,0.145,72.2
2920000,0.146,66.1
2940000,0.147,69.4
2960000,0.148,70.8
2980000,0.149,52.1
3000000,0.150,73.7
3020000,0.151,79.4
3040000,0.152,60.7
3060000,0.153,66.5
3080000,0.154,73.7
3100000,0.155,64.6
3120000,0.156,59.3
3140000,0.157,67.9
3160000,0.158,59.3
3180000,0.159,59.3
3200000,0.160,73.7
3220000,0.161,75.1
3240000,0.162,49.2
3260000,0.163,57.8
3280000,0.164,77.0
3300000,0.165,75.1
3320000,0.166,70.8
3340000,0.167,76.5
3360000,0.168,69.4
3380000,0.169,60.7
3400000,0.170,76.5
3420000,0.171,75.1
3440000,0.172,78.0
3460000,0.173,72.3
3480000,0.174,79.4
3500000,0.175,75.1
3520000,0.176,78.0
3540000,0.177,79.4
3560000,0.178,78.0
3580000,0.179,63.6
3600000,0.180,76.5
3620000,0.181,78.0
3640000,0.182,69.2
3660000,0.183,70.8
3680000,0.184,76.5
3700000,0.185,83.7
3720000,0.186,72.2
3740000,0.187,69.4
3760000,0.188,79.4
3780000,0.189,63.6
3800000,0.190,56.4
3820000,0.191,61.5
3840000,0.192,29.1
3860000,0.193,27.6
3880000,0.194,29.1
3900000,0.195,24.8
3920000,0.196,27.6
3940000,0.197,27.6
3960000,0.198,34.8
3980000,0.199,23.3
4000000,0.200,30.5
4020000,0.201,31.9
4040000,0.202,31.9
4060000,0.203,20.4
4080000,0.204,33.4
4100000,0.205,17.6
4120000,0.206,20.4
4140000,0.207,10.4
4160000,0.208,14.7
4180000,0.209,10.4
4200000,0.210,14.7
4220000,0.211,19.0
4240000,0.212,14.7
4260000,0.213,8.9
4280000,0.214,13.2
4300000,0.215,16.1
4320000,0.216,3.2
4340000,0.217,13.2
4360000,0.218,16.6
4380000,0.219,-1.1
4400000,0.220,3.2
4420000,0.221,4.6
