FPGA idle power [mW]:,3787.5

Program energy [mJ]:,9.76

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,9.2
20000,0.001,25.0
40000,0.002,23.9
60000,0.003,23.5
80000,0.004,25.0
100000,0.005,29.3
120000,0.006,20.7
140000,0.007,22.1
160000,0.008,13.5
180000,0.009,7.7
200000,0.010,13.5
220000,0.011,22.3
240000,0.012,29.3
260000,0.013,49.4
280000,0.014,60.9
300000,0.015,75.3
320000,0.016,69.6
340000,0.017,71.0
360000,0.018,68.1
380000,0.019,76.8
400000,0.020,65.7
420000,0.021,53.8
440000,0.022,42.2
460000,0.023,46.6
480000,0.024,56.6
500000,0.025,42.2
520000,0.026,45.1
540000,0.027,49.4
560000,0.028,48.0
580000,0.029,54.9
600000,0.030,49.4
620000,0.031,55.2
640000,0.032,53.8
660000,0.033,55.2
680000,0.034,53.8
700000,0.035,59.5
720000,0.036,60.9
740000,0.037,52.3
760000,0.038,54.9
780000,0.039,69.6
800000,0.040,48.0
820000,0.041,46.6
840000,0.042,53.8
860000,0.043,48.0
880000,0.044,40.8
900000,0.045,52.3
920000,0.046,52.3
940000,0.047,40.9
960000,0.048,49.4
980000,0.049,56.6
1000000,0.050,43.7
1020000,0.051,46.6
1040000,0.052,46.6
1060000,0.053,49.4
1080000,0.054,46.6
1100000,0.055,56.6
1120000,0.056,54.9
1140000,0.057,49.4
1160000,0.058,40.8
1180000,0.059,37.9
1200000,0.060,48.0
1220000,0.061,43.7
1240000,0.062,46.6
1260000,0.063,55.2
1280000,0.064,46.6
1300000,0.065,50.2
1320000,0.066,48.0
1340000,0.067,66.7
1360000,0.068,56.6
1380000,0.069,58.1
1400000,0.070,62.4
1420000,0.071,50.9
1440000,0.072,55.2
1460000,0.073,59.5
1480000,0.074,45.6
1500000,0.075,58.1
1520000,0.076,65.3
1540000,0.077,60.9
1560000,0.078,46.6
1580000,0.079,59.5
1600000,0.080,58.1
1620000,0.081,53.8
1640000,0.082,55.2
1660000,0.083,58.0
1680000,0.084,60.9
1700000,0.085,48.0
1720000,0.086,56.6
1740000,0.087,56.6
1760000,0.088,53.8
1780000,0.089,60.9
1800000,0.090,56.6
1820000,0.091,48.0
1840000,0.092,39.4
1860000,0.093,46.6
1880000,0.094,40.8
1900000,0.095,33.6
1920000,0.096,32.2
1940000,0.097,43.7
1960000,0.098,35.1
1980000,0.099,36.5
2000000,0.100,42.2
2020000,0.101,42.5
2040000,0.102,37.9
2060000,0.103,36.5
2080000,0.104,36.5
2100000,0.105,39.4
2120000,0.106,37.9
2140000,0.107,39.4
2160000,0.108,35.1
2180000,0.109,37.9
2200000,0.110,34.7
2220000,0.111,46.6
2240000,0.112,27.9
2260000,0.113,40.8
2280000,0.114,39.4
2300000,0.115,42.2
2320000,0.116,43.7
2340000,0.117,49.4
2360000,0.118,42.2
2380000,0.119,33.2
2400000,0.120,42.2
2420000,0.121,49.4
2440000,0.122,46.6
2460000,0.123,46.6
2480000,0.124,50.9
2500000,0.125,56.6
2520000,0.126,46.6
2540000,0.127,52.3
2560000,0.128,47.1
2580000,0.129,53.8
2600000,0.130,49.4
2620000,0.131,53.8
2640000,0.132,55.2
2660000,0.133,56.6
2680000,0.134,53.8
2700000,0.135,56.6
2720000,0.136,58.1
2740000,0.137,64.2
2760000,0.138,49.4
2780000,0.139,50.9
2800000,0.140,59.5
2820000,0.141,58.1
2840000,0.142,46.6
2860000,0.143,55.2
2880000,0.144,60.9
2900000,0.145,48.0
2920000,0.146,53.3
2940000,0.147,59.5
2960000,0.148,55.2
2980000,0.149,50.9
3000000,0.150,53.8
3020000,0.151,60.9
3040000,0.152,56.6
3060000,0.153,53.8
3080000,0.154,55.2
3100000,0.155,47.1
3120000,0.156,42.2
3140000,0.157,52.3
3160000,0.158,50.9
3180000,0.159,48.0
3200000,0.160,50.9
3220000,0.161,52.3
3240000,0.162,52.3
3260000,0.163,60.9
3280000,0.164,48.7
3300000,0.165,49.4
3320000,0.166,58.1
3340000,0.167,58.1
3360000,0.168,58.1
3380000,0.169,63.8
3400000,0.170,58.1
3420000,0.171,55.2
3440000,0.172,63.8
3460000,0.173,50.2
3480000,0.174,53.8
3500000,0.175,66.7
3520000,0.176,55.2
3540000,0.177,52.3
3560000,0.178,60.9
3580000,0.179,56.6
3600000,0.180,56.6
3620000,0.181,60.9
3640000,0.182,56.4
3660000,0.183,43.7
3680000,0.184,63.8
3700000,0.185,65.3
3720000,0.186,53.8
3740000,0.187,49.4
3760000,0.188,52.3
3780000,0.189,45.1
3800000,0.190,45.1
3820000,0.191,20.8
3840000,0.192,13.5
3860000,0.193,9.2
3880000,0.194,12.0
3900000,0.195,10.6
3920000,0.196,23.5
3940000,0.197,12.0
3960000,0.198,20.7
3980000,0.199,9.2
4000000,0.200,14.6
4020000,0.201,20.7
4040000,0.202,20.7
4060000,0.203,17.8
4080000,0.204,13.5
4100000,0.205,17.8
4120000,0.206,7.7
4140000,0.207,9.2
4160000,0.208,7.7
4180000,0.209,-0.9
4200000,0.210,6.3
4220000,0.211,6.3
4240000,0.212,7.7
4260000,0.213,2.0
4280000,0.214,10.6
4300000,0.215,3.4
4320000,0.216,13.5
4340000,0.217,4.8
4360000,0.218,6.8
4380000,0.219,3.4
4400000,0.220,-8.1
4420000,0.221,6.3
