FPGA idle power [mW]:,3856.7

Program energy [mJ]:,14.81

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,29.2
20000,0.001,63.7
40000,0.002,42.1
60000,0.003,50.7
80000,0.004,43.5
100000,0.005,32.0
120000,0.006,34.9
140000,0.007,38.3
160000,0.008,43.5
180000,0.009,53.6
200000,0.010,57.9
220000,0.011,63.7
240000,0.012,76.6
260000,0.013,70.9
280000,0.014,69.4
300000,0.015,75.2
320000,0.016,81.7
340000,0.017,98.2
360000,0.018,104.0
380000,0.019,96.8
400000,0.020,101.1
420000,0.021,106.8
440000,0.022,96.8
460000,0.023,86.7
480000,0.024,78.1
500000,0.025,67.8
520000,0.026,72.3
540000,0.027,73.8
560000,0.028,76.6
580000,0.029,73.8
600000,0.030,73.8
620000,0.031,73.8
640000,0.032,66.6
660000,0.033,70.9
680000,0.034,75.5
700000,0.035,72.3
720000,0.036,70.9
740000,0.037,89.6
760000,0.038,80.9
780000,0.039,79.5
800000,0.040,59.4
820000,0.041,72.3
840000,0.042,76.6
860000,0.043,63.1
880000,0.044,72.3
900000,0.045,82.4
920000,0.046,78.1
940000,0.047,69.4
960000,0.048,73.8
980000,0.049,75.2
1000000,0.050,75.2
1020000,0.051,70.9
1040000,0.052,72.4
1060000,0.053,78.1
1080000,0.054,80.9
1100000,0.055,69.4
1120000,0.056,68.0
1140000,0.057,73.8
1160000,0.058,82.4
1180000,0.059,75.2
1200000,0.060,76.6
1220000,0.061,69.3
1240000,0.062,82.4
1260000,0.063,86.7
1280000,0.064,66.6
1300000,0.065,73.8
1320000,0.066,88.1
1340000,0.067,85.3
1360000,0.068,78.1
1380000,0.069,72.3
1400000,0.070,83.3
1420000,0.071,80.9
1440000,0.072,80.9
1460000,0.073,85.3
1480000,0.074,92.5
1500000,0.075,75.2
1520000,0.076,72.3
1540000,0.077,80.9
1560000,0.078,83.8
1580000,0.079,89.5
1600000,0.080,83.8
1620000,0.081,82.4
1640000,0.082,72.3
1660000,0.083,86.7
1680000,0.084,85.3
1700000,0.085,80.9
1720000,0.086,76.6
1740000,0.087,79.5
1760000,0.088,72.4
1780000,0.089,63.7
1800000,0.090,83.8
1820000,0.091,79.5
1840000,0.092,79.5
1860000,0.093,78.1
1880000,0.094,88.1
1900000,0.095,68.0
1920000,0.096,52.2
1940000,0.097,58.5
1960000,0.098,60.8
1980000,0.099,55.0
2000000,0.100,55.0
2020000,0.101,69.4
2040000,0.102,56.5
2060000,0.103,62.2
2080000,0.104,66.6
2100000,0.105,62.2
2120000,0.106,67.8
2140000,0.107,65.1
2160000,0.108,66.6
2180000,0.109,50.7
2200000,0.110,72.3
2220000,0.111,68.0
2240000,0.112,70.9
2260000,0.113,69.4
2280000,0.114,70.9
2300000,0.115,75.5
2320000,0.116,72.3
2340000,0.117,65.1
2360000,0.118,69.4
2380000,0.119,66.6
2400000,0.120,65.1
2420000,0.121,72.3
2440000,0.122,59.4
2460000,0.123,70.9
2480000,0.124,72.4
2500000,0.125,69.4
2520000,0.126,76.6
2540000,0.127,85.3
2560000,0.128,78.1
2580000,0.129,68.0
2600000,0.130,80.9
2620000,0.131,78.1
2640000,0.132,68.0
2660000,0.133,64.7
2680000,0.134,89.6
2700000,0.135,75.2
2720000,0.136,79.5
2740000,0.137,78.1
2760000,0.138,65.1
2780000,0.139,76.6
2800000,0.140,80.9
2820000,0.141,73.8
2840000,0.142,72.4
2860000,0.143,86.7
2880000,0.144,82.4
2900000,0.145,63.7
2920000,0.146,85.3
2940000,0.147,76.6
2960000,0.148,66.6
2980000,0.149,80.9
3000000,0.150,91.0
3020000,0.151,74.0
3040000,0.152,68.0
3060000,0.153,82.4
3080000,0.154,88.1
3100000,0.155,66.6
3120000,0.156,76.6
3140000,0.157,80.9
3160000,0.158,70.9
3180000,0.159,70.9
3200000,0.160,81.7
3220000,0.161,78.1
3240000,0.162,86.7
3260000,0.163,91.0
3280000,0.164,73.8
3300000,0.165,75.2
3320000,0.166,86.7
3340000,0.167,80.9
3360000,0.168,75.2
3380000,0.169,87.9
3400000,0.170,83.8
3420000,0.171,72.3
3440000,0.172,79.5
3460000,0.173,80.9
3480000,0.174,80.9
3500000,0.175,76.6
3520000,0.176,82.4
3540000,0.177,89.6
3560000,0.178,72.4
3580000,0.179,80.9
3600000,0.180,89.6
3620000,0.181,78.1
3640000,0.182,72.3
3660000,0.183,79.5
3680000,0.184,86.7
3700000,0.185,66.6
3720000,0.186,86.7
3740000,0.187,78.6
3760000,0.188,43.5
3780000,0.189,40.7
3800000,0.190,59.4
3820000,0.191,33.5
3840000,0.192,30.6
3860000,0.193,29.2
3880000,0.194,33.5
3900000,0.195,34.9
3920000,0.196,29.0
3940000,0.197,32.0
3960000,0.198,29.2
3980000,0.199,33.5
4000000,0.200,42.1
4020000,0.201,32.0
4040000,0.202,40.7
4060000,0.203,34.9
4080000,0.204,37.8
4100000,0.205,25.9
4120000,0.206,36.3
4140000,0.207,16.2
4160000,0.208,14.8
4180000,0.209,14.8
4200000,0.210,13.3
4220000,0.211,14.8
4240000,0.212,10.5
4260000,0.213,7.6
4280000,0.214,18.2
4300000,0.215,10.5
4320000,0.216,13.3
4340000,0.217,9.0
4360000,0.218,11.9
4380000,0.219,10.5
4400000,0.220,4.7
4420000,0.221,3.3
