FPGA idle power [mW]:,3835.2

Program energy [mJ]:,14.17

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,33.5
20000,0.001,47.8
40000,0.002,39.1
60000,0.003,42.0
80000,0.004,37.7
100000,0.005,29.1
120000,0.006,34.8
140000,0.007,29.1
160000,0.008,46.3
180000,0.009,59.8
200000,0.010,52.1
220000,0.011,59.3
240000,0.012,57.8
260000,0.013,76.5
280000,0.014,73.7
300000,0.015,59.3
320000,0.016,76.5
340000,0.017,96.7
360000,0.018,101.7
380000,0.019,92.4
400000,0.020,106.8
420000,0.021,95.3
440000,0.022,99.6
460000,0.023,80.9
480000,0.024,63.6
500000,0.025,69.4
520000,0.026,75.1
540000,0.027,72.2
560000,0.028,66.5
580000,0.029,70.8
600000,0.030,76.5
620000,0.031,66.5
640000,0.032,70.8
660000,0.033,75.1
680000,0.034,65.0
700000,0.035,73.7
720000,0.036,72.2
740000,0.037,80.9
760000,0.038,79.4
780000,0.039,70.8
800000,0.040,67.9
820000,0.041,70.8
840000,0.042,80.9
860000,0.043,67.9
880000,0.044,65.0
900000,0.045,67.6
920000,0.046,85.2
940000,0.047,63.6
960000,0.048,62.2
980000,0.049,73.7
1000000,0.050,79.4
1020000,0.051,67.9
1040000,0.052,72.2
1060000,0.053,80.9
1080000,0.054,84.6
1100000,0.055,65.0
1120000,0.056,56.4
1140000,0.057,80.9
1160000,0.058,85.2
1180000,0.059,62.2
1200000,0.060,80.9
1220000,0.061,59.3
1240000,0.062,63.6
1260000,0.063,80.0
1280000,0.064,65.0
1300000,0.065,76.5
1320000,0.066,72.2
1340000,0.067,80.9
1360000,0.068,66.5
1380000,0.069,75.1
1400000,0.070,80.9
1420000,0.071,72.2
1440000,0.072,72.2
1460000,0.073,82.3
1480000,0.074,83.7
1500000,0.075,78.0
1520000,0.076,72.2
1540000,0.077,82.3
1560000,0.078,75.1
1580000,0.079,80.9
1600000,0.080,75.1
1620000,0.081,70.7
1640000,0.082,78.0
1660000,0.083,83.7
1680000,0.084,73.7
1700000,0.085,85.2
1720000,0.086,78.0
1740000,0.087,70.8
1760000,0.088,56.4
1780000,0.089,78.0
1800000,0.090,80.0
1820000,0.091,72.2
1840000,0.092,73.7
1860000,0.093,72.2
1880000,0.094,86.6
1900000,0.095,65.0
1920000,0.096,47.8
1940000,0.097,57.8
1960000,0.098,57.8
1980000,0.099,61.4
2000000,0.100,65.0
2020000,0.101,55.0
2040000,0.102,57.8
2060000,0.103,62.2
2080000,0.104,60.7
2100000,0.105,50.7
2120000,0.106,63.6
2140000,0.107,67.9
2160000,0.108,59.8
2180000,0.109,53.5
2200000,0.110,66.5
2220000,0.111,62.2
2240000,0.112,65.0
2260000,0.113,75.1
2280000,0.114,65.0
2300000,0.115,60.7
2320000,0.116,72.2
2340000,0.117,69.1
2360000,0.118,66.5
2380000,0.119,76.5
2400000,0.120,69.4
2420000,0.121,59.3
2440000,0.122,63.6
2460000,0.123,66.5
2480000,0.124,65.0
2500000,0.125,65.0
2520000,0.126,75.3
2540000,0.127,73.7
2560000,0.128,69.4
2580000,0.129,65.0
2600000,0.130,69.4
2620000,0.131,79.4
2640000,0.132,70.8
2660000,0.133,72.2
2680000,0.134,75.1
2700000,0.135,75.3
2720000,0.136,83.7
2740000,0.137,63.6
2760000,0.138,67.9
2780000,0.139,80.9
2800000,0.140,69.4
2820000,0.141,63.6
2840000,0.142,80.9
2860000,0.143,83.7
2880000,0.144,67.6
2900000,0.145,63.6
2920000,0.146,88.1
2940000,0.147,85.2
2960000,0.148,67.9
2980000,0.149,83.7
3000000,0.150,80.9
3020000,0.151,72.2
3040000,0.152,75.1
3060000,0.153,84.6
3080000,0.154,83.7
3100000,0.155,62.2
3120000,0.156,75.1
3140000,0.157,75.1
3160000,0.158,59.3
3180000,0.159,66.5
3200000,0.160,78.0
3220000,0.161,70.8
3240000,0.162,80.0
3260000,0.163,85.2
3280000,0.164,63.6
3300000,0.165,82.3
3320000,0.166,86.6
3340000,0.167,69.4
3360000,0.168,78.0
3380000,0.169,79.4
3400000,0.170,78.0
3420000,0.171,76.9
3440000,0.172,82.3
3460000,0.173,73.7
3480000,0.174,67.9
3500000,0.175,78.0
3520000,0.176,85.2
3540000,0.177,85.2
3560000,0.178,75.1
3580000,0.179,79.4
3600000,0.180,87.7
3620000,0.181,76.5
3640000,0.182,72.2
3660000,0.183,86.6
3680000,0.184,75.1
3700000,0.185,76.5
3720000,0.186,79.4
3740000,0.187,72.2
3760000,0.188,52.1
3780000,0.189,38.1
3800000,0.190,50.7
3820000,0.191,34.8
3840000,0.192,26.2
3860000,0.193,34.8
3880000,0.194,21.9
3900000,0.195,30.5
3920000,0.196,29.1
3940000,0.197,27.6
3960000,0.198,32.0
3980000,0.199,32.0
4000000,0.200,33.4
4020000,0.201,27.6
4040000,0.202,32.0
4060000,0.203,32.0
4080000,0.204,30.5
4100000,0.205,21.9
4120000,0.206,24.8
4140000,0.207,7.2
4160000,0.208,8.9
4180000,0.209,11.8
4200000,0.210,21.9
4220000,0.211,10.4
4240000,0.212,13.2
4260000,0.213,17.6
4280000,0.214,11.8
4300000,0.215,17.6
4320000,0.216,14.9
4340000,0.217,11.8
4360000,0.218,14.7
4380000,0.219,-1.1
4400000,0.220,3.2
4420000,0.221,-6.9
