FPGA idle power [mW]:,3873.7

Program energy [mJ]:,14.26

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,28.0
20000,0.001,43.8
40000,0.002,59.6
60000,0.003,42.4
80000,0.004,48.1
100000,0.005,40.9
120000,0.006,33.7
140000,0.007,38.0
160000,0.008,43.8
180000,0.009,46.7
200000,0.010,55.3
220000,0.011,66.8
240000,0.012,72.6
260000,0.013,63.9
280000,0.014,69.7
300000,0.015,69.4
320000,0.016,78.3
340000,0.017,79.8
360000,0.018,102.8
380000,0.019,99.9
400000,0.020,95.6
420000,0.021,101.4
440000,0.022,98.5
460000,0.023,85.5
480000,0.024,69.4
500000,0.025,72.6
520000,0.026,72.6
540000,0.027,66.8
560000,0.028,72.6
580000,0.029,69.7
600000,0.030,75.5
620000,0.031,72.6
640000,0.032,76.9
660000,0.033,69.4
680000,0.034,88.4
700000,0.035,59.6
720000,0.036,75.5
740000,0.037,81.2
760000,0.038,82.6
780000,0.039,72.6
800000,0.040,71.1
820000,0.041,74.0
840000,0.042,61.6
860000,0.043,69.7
880000,0.044,71.1
900000,0.045,79.8
920000,0.046,66.8
940000,0.047,68.3
960000,0.048,79.8
980000,0.049,71.1
1000000,0.050,87.0
1020000,0.051,75.6
1040000,0.052,69.7
1060000,0.053,72.6
1080000,0.054,79.8
1100000,0.055,72.6
1120000,0.056,51.0
1140000,0.057,78.3
1160000,0.058,84.1
1180000,0.059,62.5
1200000,0.060,67.8
1220000,0.061,74.0
1240000,0.062,71.1
1260000,0.063,63.9
1280000,0.064,81.2
1300000,0.065,74.0
1320000,0.066,75.5
1340000,0.067,72.6
1360000,0.068,78.3
1380000,0.069,67.8
1400000,0.070,78.3
1420000,0.071,66.8
1440000,0.072,81.2
1460000,0.073,81.2
1480000,0.074,75.5
1500000,0.075,78.3
1520000,0.076,71.1
1540000,0.077,91.3
1560000,0.078,88.0
1580000,0.079,81.2
1600000,0.080,81.2
1620000,0.081,78.3
1640000,0.082,74.0
1660000,0.083,85.5
1680000,0.084,78.3
1700000,0.085,63.9
1720000,0.086,81.2
1740000,0.087,80.2
1760000,0.088,79.8
1780000,0.089,68.3
1800000,0.090,76.9
1820000,0.091,78.3
1840000,0.092,75.5
1860000,0.093,65.4
1880000,0.094,84.1
1900000,0.095,62.5
1920000,0.096,47.7
1940000,0.097,58.2
1960000,0.098,61.1
1980000,0.099,55.3
2000000,0.100,66.8
2020000,0.101,56.8
2040000,0.102,56.8
2060000,0.103,69.7
2080000,0.104,66.8
2100000,0.105,60.1
2120000,0.106,49.6
2140000,0.107,65.4
2160000,0.108,59.6
2180000,0.109,56.8
2200000,0.110,53.9
2220000,0.111,62.5
2240000,0.112,63.9
2260000,0.113,62.5
2280000,0.114,63.2
2300000,0.115,65.4
2320000,0.116,66.8
2340000,0.117,75.5
2360000,0.118,65.4
2380000,0.119,66.8
2400000,0.120,68.3
2420000,0.121,61.1
2440000,0.122,61.1
2460000,0.123,67.8
2480000,0.124,69.7
2500000,0.125,66.8
2520000,0.126,61.1
2540000,0.127,75.5
2560000,0.128,81.2
2580000,0.129,75.5
2600000,0.130,62.5
2620000,0.131,79.8
2640000,0.132,80.2
2660000,0.133,66.8
2680000,0.134,76.9
2700000,0.135,62.5
2720000,0.136,74.0
2740000,0.137,79.8
2760000,0.138,58.2
2780000,0.139,76.9
2800000,0.140,84.1
2820000,0.141,64.7
2840000,0.142,65.4
2860000,0.143,82.6
2880000,0.144,82.6
2900000,0.145,61.1
2920000,0.146,75.5
2940000,0.147,91.3
2960000,0.148,69.7
2980000,0.149,72.6
3000000,0.150,91.1
3020000,0.151,75.5
3040000,0.152,56.8
3060000,0.153,87.0
3080000,0.154,76.9
3100000,0.155,71.1
3120000,0.156,76.9
3140000,0.157,81.2
3160000,0.158,66.8
3180000,0.159,58.5
3200000,0.160,81.2
3220000,0.161,78.3
3240000,0.162,75.5
3260000,0.163,87.0
3280000,0.164,78.3
3300000,0.165,66.8
3320000,0.166,85.5
3340000,0.167,79.8
3360000,0.168,75.6
3380000,0.169,85.5
3400000,0.170,72.6
3420000,0.171,76.9
3440000,0.172,75.5
3460000,0.173,68.3
3480000,0.174,75.5
3500000,0.175,71.1
3520000,0.176,78.3
3540000,0.177,88.0
3560000,0.178,71.1
3580000,0.179,76.9
3600000,0.180,78.3
3620000,0.181,79.8
3640000,0.182,78.3
3660000,0.183,78.3
3680000,0.184,71.1
3700000,0.185,68.3
3720000,0.186,74.0
3740000,0.187,82.6
3760000,0.188,46.7
3780000,0.189,32.3
3800000,0.190,53.9
3820000,0.191,36.6
3840000,0.192,32.3
3860000,0.193,36.6
3880000,0.194,20.8
3900000,0.195,29.1
3920000,0.196,30.9
3940000,0.197,36.6
3960000,0.198,19.3
3980000,0.199,25.1
4000000,0.200,32.3
4020000,0.201,28.0
4040000,0.202,25.1
4060000,0.203,32.3
4080000,0.204,36.8
4100000,0.205,35.2
4120000,0.206,22.2
4140000,0.207,17.9
4160000,0.208,10.7
4180000,0.209,20.8
4200000,0.210,16.5
4220000,0.211,16.5
4240000,0.212,9.3
4260000,0.213,15.1
4280000,0.214,7.8
4300000,0.215,20.8
4320000,0.216,3.5
4340000,0.217,12.2
4360000,0.218,15.0
4380000,0.219,3.5
4400000,0.220,12.2
4420000,0.221,2.1
