FPGA idle power [mW]:,3769.3

Program energy [mJ]:,6.60

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,4.3
20000,0.001,25.9
40000,0.002,17.3
60000,0.003,21.6
80000,0.004,20.2
100000,0.005,11.5
120000,0.006,14.4
140000,0.007,14.2
160000,0.008,37.4
180000,0.009,24.5
200000,0.010,14.4
220000,0.011,21.6
240000,0.012,23.0
260000,0.013,21.6
280000,0.014,28.8
300000,0.015,27.4
320000,0.016,21.9
340000,0.017,20.2
360000,0.018,28.8
380000,0.019,25.9
400000,0.020,27.4
420000,0.021,24.5
440000,0.022,28.8
460000,0.023,25.9
480000,0.024,21.6
500000,0.025,25.0
520000,0.026,18.7
540000,0.027,20.2
560000,0.028,23.0
580000,0.029,23.0
600000,0.030,24.5
620000,0.031,15.8
640000,0.032,27.4
660000,0.033,18.7
680000,0.034,17.3
700000,0.035,24.5
720000,0.036,20.2
740000,0.037,20.2
760000,0.038,14.4
780000,0.039,20.2
800000,0.040,11.5
820000,0.041,18.7
840000,0.042,21.6
860000,0.043,18.8
880000,0.044,14.4
900000,0.045,21.6
920000,0.046,20.2
940000,0.047,13.0
960000,0.048,15.8
980000,0.049,21.6
1000000,0.050,21.6
1020000,0.051,11.5
1040000,0.052,23.5
1060000,0.053,25.9
1080000,0.054,21.6
1100000,0.055,18.7
1120000,0.056,24.5
1140000,0.057,21.6
1160000,0.058,13.0
1180000,0.059,21.6
1200000,0.060,21.6
1220000,0.061,28.1
1240000,0.062,18.7
1260000,0.063,14.4
1280000,0.064,24.5
1300000,0.065,13.0
1320000,0.066,27.4
1340000,0.067,24.5
1360000,0.068,27.4
1380000,0.069,21.6
1400000,0.070,20.4
1420000,0.071,20.2
1440000,0.072,21.6
1460000,0.073,27.4
1480000,0.074,21.6
1500000,0.075,23.0
1520000,0.076,28.8
1540000,0.077,23.0
1560000,0.078,20.2
1580000,0.079,21.9
1600000,0.080,25.9
1620000,0.081,24.5
1640000,0.082,20.2
1660000,0.083,21.6
1680000,0.084,17.3
1700000,0.085,25.9
1720000,0.086,23.0
1740000,0.087,14.4
1760000,0.088,28.1
1780000,0.089,28.8
1800000,0.090,10.1
1820000,0.091,25.9
1840000,0.092,25.9
1860000,0.093,20.2
1880000,0.094,20.2
1900000,0.095,24.5
1920000,0.096,23.0
1940000,0.097,14.2
1960000,0.098,28.8
1980000,0.099,24.5
2000000,0.100,24.5
2020000,0.101,24.5
2040000,0.102,23.0
2060000,0.103,25.9
2080000,0.104,20.2
2100000,0.105,23.0
2120000,0.106,23.5
2140000,0.107,23.0
2160000,0.108,28.8
2180000,0.109,25.9
2200000,0.110,24.5
2220000,0.111,20.2
2240000,0.112,25.9
2260000,0.113,21.6
2280000,0.114,20.2
2300000,0.115,23.5
2320000,0.116,30.2
2340000,0.117,18.7
2360000,0.118,14.4
2380000,0.119,21.6
2400000,0.120,21.6
2420000,0.121,25.9
2440000,0.122,23.0
2460000,0.123,23.0
2480000,0.124,26.6
2500000,0.125,24.5
2520000,0.126,23.0
2540000,0.127,17.3
2560000,0.128,24.5
2580000,0.129,28.8
2600000,0.130,18.7
2620000,0.131,20.2
2640000,0.132,25.9
2660000,0.133,29.7
2680000,0.134,25.9
2700000,0.135,13.0
2720000,0.136,20.2
2740000,0.137,25.9
2760000,0.138,24.5
2780000,0.139,15.8
2800000,0.140,21.6
2820000,0.141,30.2
2840000,0.142,28.1
2860000,0.143,23.0
2880000,0.144,21.6
2900000,0.145,20.2
2920000,0.146,27.4
2940000,0.147,18.7
2960000,0.148,18.7
2980000,0.149,25.9
3000000,0.150,15.8
3020000,0.151,17.3
3040000,0.152,24.5
3060000,0.153,15.8
3080000,0.154,17.3
3100000,0.155,24.5
3120000,0.156,25.9
3140000,0.157,23.0
3160000,0.158,24.5
3180000,0.159,27.4
3200000,0.160,17.3
3220000,0.161,18.7
3240000,0.162,33.1
3260000,0.163,27.4
3280000,0.164,20.2
3300000,0.165,28.8
3320000,0.166,20.2
3340000,0.167,18.7
3360000,0.168,47.5
3380000,0.169,63.8
3400000,0.170,67.6
3420000,0.171,61.9
3440000,0.172,70.5
3460000,0.173,64.8
3480000,0.174,59.0
3500000,0.175,48.9
3520000,0.176,43.2
3540000,0.177,43.2
3560000,0.178,31.2
3580000,0.179,46.1
3600000,0.180,37.4
3620000,0.181,28.8
3640000,0.182,46.1
3660000,0.183,40.3
3680000,0.184,21.6
3700000,0.185,17.3
3720000,0.186,17.3
3740000,0.187,18.8
3760000,0.188,18.7
3780000,0.189,17.3
3800000,0.190,23.0
3820000,0.191,13.0
3840000,0.192,15.8
3860000,0.193,17.3
3880000,0.194,18.7
3900000,0.195,23.0
3920000,0.196,18.8
3940000,0.197,21.6
3960000,0.198,23.0
3980000,0.199,25.9
4000000,0.200,15.8
4020000,0.201,23.0
4040000,0.202,23.0
4060000,0.203,14.4
4080000,0.204,17.3
4100000,0.205,21.9
4120000,0.206,23.0
4140000,0.207,15.8
4160000,0.208,21.6
4180000,0.209,24.5
4200000,0.210,10.1
4220000,0.211,21.6
4240000,0.212,15.8
4260000,0.213,18.7
4280000,0.214,12.6
4300000,0.215,21.6
4320000,0.216,21.6
4340000,0.217,21.6
4360000,0.218,25.9
4380000,0.219,28.8
4400000,0.220,21.6
4420000,0.221,11.5
4440000,0.222,30.2
4460000,0.223,26.6
4480000,0.224,25.9
4500000,0.225,18.7
4520000,0.226,20.2
4540000,0.227,18.7
4560000,0.228,20.2
4580000,0.229,27.4
4600000,0.230,27.4
4620000,0.231,8.7
4640000,0.232,9.5
4660000,0.233,10.1
4680000,0.234,7.2
4700000,0.235,1.5
4720000,0.236,15.8
4740000,0.237,10.1
4760000,0.238,5.8
4780000,0.239,5.8
4800000,0.240,14.4
4820000,0.241,9.5
4840000,0.242,17.3
4860000,0.243,13.0
4880000,0.244,7.2
4900000,0.245,13.0
4920000,0.246,5.8
4940000,0.247,10.1
4960000,0.248,13.0
4980000,0.249,11.5
5000000,0.250,6.4
5020000,0.251,11.5
5040000,0.252,15.8
5060000,0.253,13.0
5080000,0.254,14.4
5100000,0.255,10.1
5120000,0.256,15.8
5140000,0.257,13.0
5160000,0.258,14.4
5180000,0.259,12.6
5200000,0.260,15.8
5220000,0.261,17.3
5240000,0.262,18.7
5260000,0.263,17.3
5280000,0.264,18.7
5300000,0.265,27.4
5320000,0.266,18.7
5340000,0.267,21.6
5360000,0.268,21.9
5380000,0.269,18.7
5400000,0.270,14.4
5420000,0.271,4.3
5440000,0.272,21.6
5460000,0.273,24.5
5480000,0.274,10.1
5500000,0.275,18.7
5520000,0.276,17.3
5540000,0.277,11.1
5560000,0.278,1.5
5580000,0.279,17.3
5600000,0.280,13.0
5620000,0.281,8.7
5640000,0.282,18.7
5660000,0.283,15.8
5680000,0.284,17.3
5700000,0.285,13.0
5720000,0.286,23.5
5740000,0.287,23.0
