FPGA idle power [mW]:,3780.1

Program energy [mJ]:,9.25

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,23.7
20000,0.001,25.2
40000,0.002,25.2
60000,0.003,30.9
80000,0.004,29.5
100000,0.005,19.4
120000,0.006,19.4
140000,0.007,46.8
160000,0.008,49.9
180000,0.009,32.4
200000,0.010,33.8
220000,0.011,29.5
240000,0.012,32.4
260000,0.013,29.5
280000,0.014,25.2
300000,0.015,26.6
320000,0.016,36.7
340000,0.017,28.2
360000,0.018,23.7
380000,0.019,32.4
400000,0.020,33.8
420000,0.021,29.5
440000,0.022,28.1
460000,0.023,39.6
480000,0.024,26.6
500000,0.025,18.0
520000,0.026,37.5
540000,0.027,33.8
560000,0.028,25.2
580000,0.029,36.7
600000,0.030,36.7
620000,0.031,26.6
640000,0.032,26.6
660000,0.033,33.8
680000,0.034,32.4
700000,0.035,37.5
720000,0.036,35.3
740000,0.037,28.1
760000,0.038,28.1
780000,0.039,25.2
800000,0.040,23.7
820000,0.041,28.1
840000,0.042,26.6
860000,0.043,35.3
880000,0.044,31.3
900000,0.045,26.6
920000,0.046,35.3
940000,0.047,33.8
960000,0.048,29.5
980000,0.049,30.9
1000000,0.050,25.2
1020000,0.051,33.8
1040000,0.052,33.8
1060000,0.053,28.2
1080000,0.054,23.7
1100000,0.055,29.5
1120000,0.056,38.1
1140000,0.057,30.9
1160000,0.058,35.3
1180000,0.059,32.4
1200000,0.060,35.3
1220000,0.061,42.5
1240000,0.062,29.7
1260000,0.063,43.9
1280000,0.064,41.0
1300000,0.065,30.9
1320000,0.066,32.4
1340000,0.067,41.0
1360000,0.068,33.8
1380000,0.069,26.6
1400000,0.070,41.0
1420000,0.071,32.8
1440000,0.072,36.7
1460000,0.073,30.9
1480000,0.074,35.3
1500000,0.075,28.1
1520000,0.076,38.1
1540000,0.077,39.6
1560000,0.078,30.9
1580000,0.079,25.2
1600000,0.080,35.9
1620000,0.081,32.4
1640000,0.082,26.6
1660000,0.083,36.7
1680000,0.084,36.7
1700000,0.085,28.1
1720000,0.086,26.6
1740000,0.087,32.4
1760000,0.088,35.3
1780000,0.089,25.1
1800000,0.090,38.1
1820000,0.091,30.9
1840000,0.092,33.8
1860000,0.093,41.0
1880000,0.094,30.9
1900000,0.095,29.5
1920000,0.096,28.1
1940000,0.097,33.8
1960000,0.098,32.8
1980000,0.099,25.2
2000000,0.100,28.1
2020000,0.101,32.4
2040000,0.102,28.1
2060000,0.103,22.3
2080000,0.104,29.5
2100000,0.105,25.2
2120000,0.106,25.2
2140000,0.107,28.2
2160000,0.108,32.4
2180000,0.109,22.3
2200000,0.110,28.1
2220000,0.111,33.8
2240000,0.112,32.4
2260000,0.113,28.1
2280000,0.114,38.1
2300000,0.115,28.1
2320000,0.116,34.4
2340000,0.117,32.4
2360000,0.118,43.9
2380000,0.119,30.9
2400000,0.120,30.9
2420000,0.121,28.1
2440000,0.122,36.7
2460000,0.123,33.8
2480000,0.124,39.6
2500000,0.125,32.8
2520000,0.126,26.6
2540000,0.127,36.7
2560000,0.128,25.2
2580000,0.129,36.7
2600000,0.130,35.3
2620000,0.131,29.5
2640000,0.132,25.2
2660000,0.133,30.9
2680000,0.134,51.4
2700000,0.135,22.3
2720000,0.136,26.6
2740000,0.137,36.7
2760000,0.138,23.7
2780000,0.139,23.7
2800000,0.140,38.1
2820000,0.141,29.5
2840000,0.142,26.6
2860000,0.143,32.8
2880000,0.144,32.4
2900000,0.145,23.7
2920000,0.146,29.5
2940000,0.147,41.0
2960000,0.148,33.8
2980000,0.149,22.3
3000000,0.150,29.5
3020000,0.151,28.1
3040000,0.152,25.1
3060000,0.153,29.5
3080000,0.154,32.4
3100000,0.155,30.9
3120000,0.156,35.3
3140000,0.157,28.1
3160000,0.158,35.3
3180000,0.159,29.5
3200000,0.160,38.1
3220000,0.161,32.8
3240000,0.162,25.2
3260000,0.163,32.4
3280000,0.164,33.8
3300000,0.165,36.7
3320000,0.166,23.7
3340000,0.167,29.5
3360000,0.168,84.2
3380000,0.169,77.0
3400000,0.170,87.1
3420000,0.171,79.9
3440000,0.172,91.4
3460000,0.173,85.6
3480000,0.174,75.5
3500000,0.175,59.7
3520000,0.176,52.5
3540000,0.177,54.0
3560000,0.178,54.0
3580000,0.179,54.5
3600000,0.180,49.6
3620000,0.181,58.3
3640000,0.182,62.6
3660000,0.183,43.9
3680000,0.184,22.3
3700000,0.185,28.1
3720000,0.186,28.1
3740000,0.187,33.8
3760000,0.188,25.1
3780000,0.189,36.7
3800000,0.190,30.9
3820000,0.191,25.2
3840000,0.192,30.9
3860000,0.193,22.3
3880000,0.194,26.6
3900000,0.195,26.6
3920000,0.196,22.3
3940000,0.197,32.8
3960000,0.198,36.7
3980000,0.199,30.9
4000000,0.200,23.7
4020000,0.201,36.7
4040000,0.202,28.1
4060000,0.203,25.2
4080000,0.204,18.0
4100000,0.205,25.2
4120000,0.206,22.0
4140000,0.207,20.9
4160000,0.208,30.9
4180000,0.209,26.6
4200000,0.210,23.7
4220000,0.211,36.7
4240000,0.212,20.9
4260000,0.213,23.7
4280000,0.214,28.1
4300000,0.215,31.3
4320000,0.216,33.8
4340000,0.217,25.2
4360000,0.218,45.3
4380000,0.219,16.6
4400000,0.220,32.4
4420000,0.221,32.4
4440000,0.222,30.9
4460000,0.223,29.5
4480000,0.224,20.4
4500000,0.225,29.5
4520000,0.226,26.6
4540000,0.227,30.9
4560000,0.228,36.7
4580000,0.229,22.3
4600000,0.230,26.6
4620000,0.231,13.7
4640000,0.232,15.1
4660000,0.233,11.1
4680000,0.234,15.1
4700000,0.235,16.6
4720000,0.236,16.6
4740000,0.237,13.7
4760000,0.238,13.7
4780000,0.239,18.0
4800000,0.240,18.0
4820000,0.241,10.8
4840000,0.242,12.7
4860000,0.243,12.2
4880000,0.244,13.7
4900000,0.245,6.5
4920000,0.246,18.0
4940000,0.247,12.2
4960000,0.248,19.4
4980000,0.249,15.1
