FPGA idle power [mW]:,3789.8

Program energy [mJ]:,9.98

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,21.2
20000,0.001,34.0
40000,0.002,31.3
60000,0.003,34.2
80000,0.004,42.8
100000,0.005,21.2
120000,0.006,21.2
140000,0.007,39.9
160000,0.008,55.8
180000,0.009,31.3
200000,0.010,35.5
220000,0.011,32.8
240000,0.012,32.8
260000,0.013,28.4
280000,0.014,35.6
300000,0.015,41.4
320000,0.016,34.2
340000,0.017,34.2
360000,0.018,29.9
380000,0.019,34.0
400000,0.020,41.4
420000,0.021,28.4
440000,0.022,35.6
460000,0.023,38.5
480000,0.024,42.8
500000,0.025,38.5
520000,0.026,31.3
540000,0.027,35.6
560000,0.028,27.8
580000,0.029,27.0
600000,0.030,44.3
620000,0.031,41.4
640000,0.032,34.2
660000,0.033,32.8
680000,0.034,41.4
700000,0.035,32.8
720000,0.036,32.8
740000,0.037,30.9
760000,0.038,35.6
780000,0.039,28.4
800000,0.040,35.6
820000,0.041,29.9
840000,0.042,31.3
860000,0.043,39.9
880000,0.044,31.3
900000,0.045,34.2
920000,0.046,34.0
940000,0.047,41.4
960000,0.048,29.9
980000,0.049,32.8
1000000,0.050,34.2
1020000,0.051,37.1
1040000,0.052,34.2
1060000,0.053,27.0
1080000,0.054,42.8
1100000,0.055,30.9
1120000,0.056,28.4
1140000,0.057,29.9
1160000,0.058,38.5
1180000,0.059,37.1
1200000,0.060,37.1
1220000,0.061,39.9
1240000,0.062,31.3
1260000,0.063,32.8
1280000,0.064,30.9
1300000,0.065,35.6
1320000,0.066,29.9
1340000,0.067,37.1
1360000,0.068,37.1
1380000,0.069,31.3
1400000,0.070,37.1
1420000,0.071,42.8
1440000,0.072,35.6
1460000,0.073,29.3
1480000,0.074,39.9
1500000,0.075,28.4
1520000,0.076,37.1
1540000,0.077,31.3
1560000,0.078,37.1
1580000,0.079,35.6
1600000,0.080,39.9
1620000,0.081,42.8
1640000,0.082,32.4
1660000,0.083,35.6
1680000,0.084,34.2
1700000,0.085,37.1
1720000,0.086,29.9
1740000,0.087,29.9
1760000,0.088,34.2
1780000,0.089,25.6
1800000,0.090,34.2
1820000,0.091,37.1
1840000,0.092,31.3
1860000,0.093,32.8
1880000,0.094,34.2
1900000,0.095,38.5
1920000,0.096,21.2
1940000,0.097,29.9
1960000,0.098,39.9
1980000,0.099,31.3
2000000,0.100,35.5
2020000,0.101,34.2
2040000,0.102,31.3
2060000,0.103,32.8
2080000,0.104,37.1
2100000,0.105,32.8
2120000,0.106,38.5
2140000,0.107,29.9
2160000,0.108,41.4
2180000,0.109,40.2
2200000,0.110,39.9
2220000,0.111,47.1
2240000,0.112,31.3
2260000,0.113,25.6
2280000,0.114,28.4
2300000,0.115,39.9
2320000,0.116,37.1
2340000,0.117,34.2
2360000,0.118,43.3
2380000,0.119,39.9
2400000,0.120,32.8
2420000,0.121,31.3
2440000,0.122,37.1
2460000,0.123,34.2
2480000,0.124,35.6
2500000,0.125,39.9
2520000,0.126,32.8
2540000,0.127,30.9
2560000,0.128,34.2
2580000,0.129,35.6
2600000,0.130,24.1
2620000,0.131,32.8
2640000,0.132,35.6
2660000,0.133,27.0
2680000,0.134,35.6
2700000,0.135,31.3
2720000,0.136,27.8
2740000,0.137,35.6
2760000,0.138,35.6
2780000,0.139,32.8
2800000,0.140,28.4
2820000,0.141,32.8
2840000,0.142,41.4
2860000,0.143,34.2
2880000,0.144,28.4
2900000,0.145,30.9
2920000,0.146,37.1
2940000,0.147,28.4
2960000,0.148,41.4
2980000,0.149,41.4
3000000,0.150,28.4
3020000,0.151,29.9
3040000,0.152,41.4
3060000,0.153,31.3
3080000,0.154,29.3
3100000,0.155,38.5
3120000,0.156,29.9
3140000,0.157,31.3
3160000,0.158,37.1
3180000,0.159,41.4
3200000,0.160,28.4
3220000,0.161,34.2
3240000,0.162,38.5
3260000,0.163,34.0
3280000,0.164,34.2
3300000,0.165,34.2
3320000,0.166,24.1
3340000,0.167,29.9
3360000,0.168,84.5
3380000,0.169,93.2
3400000,0.170,84.5
3420000,0.171,87.4
3440000,0.172,86.6
3460000,0.173,87.4
3480000,0.174,81.7
3500000,0.175,57.2
3520000,0.176,58.6
3540000,0.177,54.3
3560000,0.178,55.8
3580000,0.179,60.1
3600000,0.180,48.6
3620000,0.181,58.8
3640000,0.182,65.8
3660000,0.183,50.0
3680000,0.184,32.8
3700000,0.185,29.9
3720000,0.186,32.8
3740000,0.187,22.7
3760000,0.188,25.6
3780000,0.189,38.5
3800000,0.190,34.0
3820000,0.191,24.1
3840000,0.192,35.6
3860000,0.193,29.9
3880000,0.194,22.7
3900000,0.195,31.3
3920000,0.196,28.4
3940000,0.197,27.0
3960000,0.198,35.6
3980000,0.199,35.5
4000000,0.200,27.0
4020000,0.201,32.8
4040000,0.202,28.4
4060000,0.203,28.4
4080000,0.204,16.9
4100000,0.205,24.1
4120000,0.206,24.1
4140000,0.207,22.7
4160000,0.208,30.9
4180000,0.209,28.4
4200000,0.210,21.2
4220000,0.211,29.9
4240000,0.212,19.8
4260000,0.213,37.1
4280000,0.214,31.3
4300000,0.215,27.0
4320000,0.216,34.2
4340000,0.217,27.8
4360000,0.218,42.8
4380000,0.219,31.3
4400000,0.220,39.9
4420000,0.221,35.6
4440000,0.222,39.9
4460000,0.223,37.1
4480000,0.224,27.0
4500000,0.225,16.9
4520000,0.226,26.2
4540000,0.227,16.9
4560000,0.228,29.9
4580000,0.229,31.3
4600000,0.230,34.2
4620000,0.231,9.7
4640000,0.232,12.6
4660000,0.233,11.2
4680000,0.234,-1.8
4700000,0.235,6.1
4720000,0.236,8.3
4740000,0.237,8.3
4760000,0.238,5.4
4780000,0.239,16.9
4800000,0.240,14.0
4820000,0.241,6.9
4840000,0.242,9.7
4860000,0.243,19.8
4880000,0.244,15.4
4900000,0.245,8.3
4920000,0.246,12.6
4940000,0.247,15.5
4960000,0.248,15.5
4980000,0.249,12.6
5000000,0.250,18.4
5020000,0.251,19.8
5040000,0.252,5.4
5060000,0.253,30.9
5080000,0.254,15.5
5100000,0.255,16.9
5120000,0.256,27.0
5140000,0.257,16.9
5160000,0.258,19.8
5180000,0.259,18.4
5200000,0.260,29.9
5220000,0.261,25.6
5240000,0.262,29.3
5260000,0.263,37.1
5280000,0.264,18.4
5300000,0.265,31.3
5320000,0.266,19.8
5340000,0.267,44.3
5360000,0.268,24.1
5380000,0.269,21.2
5400000,0.270,32.8
5420000,0.271,29.3
5440000,0.272,37.1
5460000,0.273,35.6
5480000,0.274,34.2
5500000,0.275,25.6
5520000,0.276,18.4
5540000,0.277,28.4
5560000,0.278,22.7
5580000,0.279,28.4
5600000,0.280,24.7
5620000,0.281,29.9
5640000,0.282,28.4
5660000,0.283,16.9
5680000,0.284,25.6
5700000,0.285,19.8
5720000,0.286,22.7
5740000,0.287,21.2
5760000,0.288,19.8
5780000,0.289,23.1
5800000,0.290,44.3
5820000,0.291,25.6
5840000,0.292,27.0
5860000,0.293,28.4
5880000,0.294,24.1
5900000,0.295,27.0
5920000,0.296,15.5
5940000,0.297,32.8
5960000,0.298,29.3
5980000,0.299,19.8
6000000,0.300,34.2
6020000,0.301,19.8
6040000,0.302,12.6
6060000,0.303,22.7
6080000,0.304,16.9
6100000,0.305,15.5
6120000,0.306,16.9
6140000,0.307,18.5
6160000,0.308,21.2
6180000,0.309,12.6
6200000,0.310,25.6
6220000,0.311,21.2
