FPGA idle power [mW]:,3751.2

Program energy [mJ]:,6.05

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,9.5
20000,0.001,16.7
40000,0.002,18.1
60000,0.003,12.4
80000,0.004,10.9
100000,0.005,12.4
120000,0.006,26.8
140000,0.007,18.3
160000,0.008,25.3
180000,0.009,29.6
200000,0.010,33.9
220000,0.011,28.2
240000,0.012,22.4
260000,0.013,28.2
280000,0.014,19.6
300000,0.015,16.7
320000,0.016,13.7
340000,0.017,19.6
360000,0.018,23.9
380000,0.019,15.2
400000,0.020,19.6
420000,0.021,13.8
440000,0.022,19.6
460000,0.023,26.8
480000,0.024,21.0
500000,0.025,15.2
520000,0.026,13.8
540000,0.027,21.0
560000,0.028,21.0
580000,0.029,22.4
600000,0.030,25.3
620000,0.031,15.2
640000,0.032,23.9
660000,0.033,16.7
680000,0.034,18.3
700000,0.035,21.0
720000,0.036,15.2
740000,0.037,22.4
760000,0.038,23.9
780000,0.039,16.7
800000,0.040,18.1
820000,0.041,18.1
840000,0.042,21.0
860000,0.043,27.6
880000,0.044,21.0
900000,0.045,18.1
920000,0.046,16.7
940000,0.047,22.4
960000,0.048,18.1
980000,0.049,18.1
1000000,0.050,15.2
1020000,0.051,26.8
1040000,0.052,21.4
1060000,0.053,13.8
1080000,0.054,21.0
1100000,0.055,21.0
1120000,0.056,15.2
1140000,0.057,18.1
1160000,0.058,21.0
1180000,0.059,21.0
1200000,0.060,10.9
1220000,0.061,18.3
1240000,0.062,21.0
1260000,0.063,15.2
1280000,0.064,16.7
1300000,0.065,23.9
1320000,0.066,22.4
1340000,0.067,19.6
1360000,0.068,22.4
1380000,0.069,23.9
1400000,0.070,19.9
1420000,0.071,15.2
1440000,0.072,21.0
1460000,0.073,21.0
1480000,0.074,22.4
1500000,0.075,19.6
1520000,0.076,19.6
1540000,0.077,23.9
1560000,0.078,21.0
1580000,0.079,24.5
1600000,0.080,22.4
1620000,0.081,26.8
1640000,0.082,25.3
1660000,0.083,28.2
1680000,0.084,19.6
1700000,0.085,18.1
1720000,0.086,26.8
1740000,0.087,15.2
1760000,0.088,9.0
1780000,0.089,13.8
1800000,0.090,22.4
1820000,0.091,18.1
1840000,0.092,15.2
1860000,0.093,19.6
1880000,0.094,21.0
1900000,0.095,16.7
1920000,0.096,12.4
1940000,0.097,23.0
1960000,0.098,18.1
1980000,0.099,22.4
2000000,0.100,21.0
2020000,0.101,12.4
2040000,0.102,9.5
2060000,0.103,18.1
2080000,0.104,21.0
2100000,0.105,21.0
2120000,0.106,23.0
2140000,0.107,21.0
2160000,0.108,22.4
2180000,0.109,25.3
2200000,0.110,12.4
2220000,0.111,19.6
2240000,0.112,22.4
2260000,0.113,25.3
2280000,0.114,22.4
2300000,0.115,19.9
2320000,0.116,19.6
2340000,0.117,22.4
2360000,0.118,19.6
2380000,0.119,21.0
2400000,0.120,21.0
2420000,0.121,16.7
2440000,0.122,18.1
2460000,0.123,15.2
2480000,0.124,19.9
2500000,0.125,16.7
2520000,0.126,18.1
2540000,0.127,18.1
2560000,0.128,22.4
2580000,0.129,18.1
2600000,0.130,18.1
2620000,0.131,16.7
2640000,0.132,21.0
2660000,0.133,19.9
2680000,0.134,19.6
2700000,0.135,18.1
2720000,0.136,21.0
2740000,0.137,16.7
2760000,0.138,22.4
2780000,0.139,16.7
2800000,0.140,19.6
2820000,0.141,21.0
2840000,0.142,19.9
2860000,0.143,23.9
2880000,0.144,16.7
2900000,0.145,19.6
2920000,0.146,19.6
2940000,0.147,22.4
2960000,0.148,21.0
2980000,0.149,21.0
3000000,0.150,21.0
3020000,0.151,24.5
3040000,0.152,18.1
3060000,0.153,21.0
3080000,0.154,18.1
3100000,0.155,15.2
3120000,0.156,23.9
3140000,0.157,21.0
3160000,0.158,15.2
3180000,0.159,22.4
3200000,0.160,21.4
3220000,0.161,18.1
3240000,0.162,19.6
3260000,0.163,16.7
3280000,0.164,26.8
3300000,0.165,25.3
3320000,0.166,15.2
3340000,0.167,21.0
3360000,0.168,21.0
3380000,0.169,16.8
3400000,0.170,10.9
3420000,0.171,32.5
3440000,0.172,49.8
3460000,0.173,58.4
3480000,0.174,54.1
3500000,0.175,51.2
3520000,0.176,59.8
3540000,0.177,51.2
3560000,0.178,32.3
3580000,0.179,31.1
3600000,0.180,33.9
3620000,0.181,31.1
3640000,0.182,28.2
3660000,0.183,15.2
3680000,0.184,12.4
3700000,0.185,25.3
3720000,0.186,18.1
3740000,0.187,10.6
3760000,0.188,19.6
3780000,0.189,18.1
3800000,0.190,16.7
3820000,0.191,16.7
3840000,0.192,22.4
3860000,0.193,19.6
3880000,0.194,21.0
3900000,0.195,25.3
3920000,0.196,18.3
3940000,0.197,25.3
3960000,0.198,19.6
3980000,0.199,16.7
4000000,0.200,22.4
4020000,0.201,19.6
4040000,0.202,16.7
4060000,0.203,21.0
4080000,0.204,22.4
4100000,0.205,15.2
4120000,0.206,18.1
4140000,0.207,22.4
4160000,0.208,15.2
4180000,0.209,18.1
4200000,0.210,18.1
4220000,0.211,22.4
4240000,0.212,18.1
4260000,0.213,19.6
4280000,0.214,26.1
4300000,0.215,12.4
4320000,0.216,19.6
4340000,0.217,21.0
4360000,0.218,21.0
4380000,0.219,25.3
4400000,0.220,28.2
4420000,0.221,21.0
4440000,0.222,22.4
4460000,0.223,19.9
4480000,0.224,22.4
4500000,0.225,21.0
4520000,0.226,18.1
4540000,0.227,8.0
4560000,0.228,8.0
4580000,0.229,21.0
4600000,0.230,26.8
4620000,0.231,12.4
4640000,0.232,27.6
4660000,0.233,13.8
4680000,0.234,12.4
4700000,0.235,2.3
4720000,0.236,5.2
4740000,0.237,10.9
4760000,0.238,13.8
4780000,0.239,12.4
4800000,0.240,10.9
4820000,0.241,15.2
4840000,0.242,13.8
4860000,0.243,8.0
4880000,0.244,12.4
4900000,0.245,10.9
4920000,0.246,15.2
4940000,0.247,10.9
4960000,0.248,10.9
4980000,0.249,16.7
5000000,0.250,10.6
5020000,0.251,9.5
5040000,0.252,9.5
5060000,0.253,15.2
5080000,0.254,10.9
5100000,0.255,22.4
5120000,0.256,18.1
5140000,0.257,13.8
5160000,0.258,19.6
5180000,0.259,15.2
5200000,0.260,19.6
5220000,0.261,15.2
5240000,0.262,12.4
5260000,0.263,9.5
5280000,0.264,22.4
5300000,0.265,16.7
5320000,0.266,12.4
5340000,0.267,23.9
5360000,0.268,12.1
5380000,0.269,22.4
5400000,0.270,18.1
5420000,0.271,15.2
5440000,0.272,21.0
5460000,0.273,12.4
5480000,0.274,22.4
5500000,0.275,18.1
