FPGA idle power [mW]:,3736.6

Program energy [mJ]:,6.55

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,14.0
20000,0.001,21.2
40000,0.002,21.2
60000,0.003,21.2
80000,0.004,15.5
100000,0.005,5.4
120000,0.006,25.5
140000,0.007,23.6
160000,0.008,21.2
180000,0.009,35.6
200000,0.010,34.2
220000,0.011,29.8
240000,0.012,27.0
260000,0.013,28.4
280000,0.014,24.1
300000,0.015,19.8
320000,0.016,19.0
340000,0.017,22.6
360000,0.018,24.1
380000,0.019,16.9
400000,0.020,24.1
420000,0.021,24.1
440000,0.022,9.7
460000,0.023,24.1
480000,0.024,22.6
500000,0.025,19.0
520000,0.026,19.8
540000,0.027,24.1
560000,0.028,25.5
580000,0.029,14.0
600000,0.030,22.6
620000,0.031,22.6
640000,0.032,24.1
660000,0.033,19.8
680000,0.034,29.8
700000,0.035,24.1
720000,0.036,24.1
740000,0.037,22.6
760000,0.038,22.6
780000,0.039,21.2
800000,0.040,18.3
820000,0.041,25.5
840000,0.042,19.8
860000,0.043,17.4
880000,0.044,22.6
900000,0.045,21.2
920000,0.046,14.0
940000,0.047,16.9
960000,0.048,22.6
980000,0.049,27.0
1000000,0.050,18.3
1020000,0.051,28.4
1040000,0.052,26.7
1060000,0.053,15.5
1080000,0.054,24.1
1100000,0.055,22.6
1120000,0.056,16.9
1140000,0.057,21.2
1160000,0.058,28.4
1180000,0.059,22.6
1200000,0.060,18.3
1220000,0.061,19.0
1240000,0.062,31.3
1260000,0.063,25.5
1280000,0.064,15.5
1300000,0.065,22.6
1320000,0.066,21.2
1340000,0.067,16.9
1360000,0.068,18.3
1380000,0.069,25.5
1400000,0.070,25.2
1420000,0.071,11.1
1440000,0.072,24.1
1460000,0.073,22.6
1480000,0.074,22.6
1500000,0.075,15.5
1520000,0.076,29.8
1540000,0.077,24.1
1560000,0.078,18.3
1580000,0.079,22.1
1600000,0.080,25.5
1620000,0.081,19.8
1640000,0.082,25.5
1660000,0.083,19.8
1680000,0.084,21.2
1700000,0.085,16.9
1720000,0.086,16.9
1740000,0.087,27.0
1760000,0.088,20.5
1780000,0.089,25.5
1800000,0.090,18.3
1820000,0.091,31.3
1840000,0.092,16.9
1860000,0.093,28.4
1880000,0.094,22.6
1900000,0.095,3.9
1920000,0.096,21.2
1940000,0.097,29.8
1960000,0.098,15.5
1980000,0.099,16.9
2000000,0.100,25.5
2020000,0.101,21.2
2040000,0.102,15.5
2060000,0.103,21.2
2080000,0.104,27.0
2100000,0.105,27.0
2120000,0.106,11.3
2140000,0.107,28.4
2160000,0.108,27.0
2180000,0.109,25.5
2200000,0.110,24.1
2220000,0.111,27.0
2240000,0.112,18.3
2260000,0.113,24.1
2280000,0.114,29.8
2300000,0.115,22.1
2320000,0.116,16.9
2340000,0.117,25.5
2360000,0.118,28.4
2380000,0.119,18.3
2400000,0.120,22.6
2420000,0.121,25.5
2440000,0.122,22.6
2460000,0.123,15.5
2480000,0.124,23.6
2500000,0.125,27.0
2520000,0.126,28.4
2540000,0.127,16.9
2560000,0.128,21.2
2580000,0.129,24.1
2600000,0.130,12.6
2620000,0.131,21.2
2640000,0.132,25.5
2660000,0.133,22.1
2680000,0.134,19.8
2700000,0.135,22.6
2720000,0.136,24.1
2740000,0.137,2.5
2760000,0.138,19.8
2780000,0.139,25.5
2800000,0.140,19.8
2820000,0.141,16.9
2840000,0.142,20.5
2860000,0.143,22.6
2880000,0.144,11.1
2900000,0.145,24.1
2920000,0.146,25.5
2940000,0.147,16.9
2960000,0.148,19.8
2980000,0.149,27.0
3000000,0.150,18.3
3020000,0.151,17.4
3040000,0.152,24.1
3060000,0.153,19.8
3080000,0.154,18.3
3100000,0.155,24.1
3120000,0.156,24.1
3140000,0.157,22.6
3160000,0.158,18.3
3180000,0.159,32.7
3200000,0.160,23.6
3220000,0.161,22.6
3240000,0.162,22.6
3260000,0.163,27.0
3280000,0.164,29.8
3300000,0.165,15.5
3320000,0.166,22.6
3340000,0.167,25.5
3360000,0.168,8.3
3380000,0.169,17.4
3400000,0.170,22.6
3420000,0.171,50.0
3440000,0.172,45.7
3460000,0.173,50.0
3480000,0.174,47.1
3500000,0.175,50.0
3520000,0.176,48.5
3540000,0.177,48.5
3560000,0.178,28.3
3580000,0.179,31.3
3600000,0.180,35.6
3620000,0.181,27.0
3640000,0.182,24.1
3660000,0.183,16.9
3680000,0.184,21.2
3700000,0.185,21.2
3720000,0.186,14.0
3740000,0.187,23.6
3760000,0.188,25.5
3780000,0.189,11.1
3800000,0.190,21.2
3820000,0.191,25.5
3840000,0.192,24.1
3860000,0.193,11.1
3880000,0.194,24.1
3900000,0.195,22.6
3920000,0.196,12.8
3940000,0.197,18.3
3960000,0.198,22.6
3980000,0.199,15.5
4000000,0.200,27.0
4020000,0.201,24.1
4040000,0.202,19.8
4060000,0.203,22.6
4080000,0.204,21.2
4100000,0.205,20.5
4120000,0.206,12.6
4140000,0.207,12.6
4160000,0.208,18.3
4180000,0.209,25.5
4200000,0.210,18.3
4220000,0.211,19.8
4240000,0.212,22.6
4260000,0.213,14.0
4280000,0.214,14.3
4300000,0.215,22.6
4320000,0.216,24.1
4340000,0.217,16.9
4360000,0.218,21.2
4380000,0.219,28.4
4400000,0.220,27.0
4420000,0.221,21.2
4440000,0.222,21.2
4460000,0.223,25.2
4480000,0.224,19.8
4500000,0.225,16.9
4520000,0.226,29.8
4540000,0.227,11.1
4560000,0.228,22.6
4580000,0.229,18.3
4600000,0.230,19.8
4620000,0.231,24.1
4640000,0.232,19.0
4660000,0.233,18.3
4680000,0.234,2.5
4700000,0.235,6.8
4720000,0.236,12.6
4740000,0.237,6.8
4760000,0.238,5.4
4780000,0.239,11.1
4800000,0.240,16.9
4820000,0.241,9.7
4840000,0.242,9.7
4860000,0.243,12.6
4880000,0.244,12.6
4900000,0.245,2.5
4920000,0.246,11.1
4940000,0.247,15.5
4960000,0.248,3.9
4980000,0.249,12.6
5000000,0.250,19.0
5020000,0.251,16.9
5040000,0.252,2.5
5060000,0.253,14.0
5080000,0.254,12.6
5100000,0.255,16.9
5120000,0.256,3.9
5140000,0.257,18.3
5160000,0.258,15.5
5180000,0.259,8.2
5200000,0.260,18.3
5220000,0.261,22.6
5240000,0.262,15.5
5260000,0.263,11.1
5280000,0.264,19.8
5300000,0.265,22.6
5320000,0.266,12.6
5340000,0.267,27.0
5360000,0.268,20.5
5380000,0.269,22.6
5400000,0.270,14.0
5420000,0.271,21.2
5440000,0.272,24.1
5460000,0.273,16.9
5480000,0.274,28.4
5500000,0.275,21.2
5520000,0.276,19.8
5540000,0.277,19.0
5560000,0.278,16.9
5580000,0.279,16.9
5600000,0.280,9.7
5620000,0.281,18.3
5640000,0.282,14.0
5660000,0.283,25.5
5680000,0.284,22.6
5700000,0.285,28.4
5720000,0.286,19.0
5740000,0.287,15.5
5760000,0.288,19.8
5780000,0.289,21.2
5800000,0.290,14.0
5820000,0.291,22.6
5840000,0.292,29.8
5860000,0.293,16.9
5880000,0.294,16.9
5900000,0.295,23.6
5920000,0.296,25.5
