FPGA idle power [mW]:,3762.3

Program energy [mJ]:,6.65

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-0.2
20000,0.001,18.5
40000,0.002,12.8
60000,0.003,17.1
80000,0.004,14.2
100000,0.005,28.6
120000,0.006,12.8
140000,0.007,27.4
160000,0.008,34.4
180000,0.009,30.0
200000,0.010,28.6
220000,0.011,41.5
240000,0.012,27.2
260000,0.013,25.7
280000,0.014,25.7
300000,0.015,22.8
320000,0.016,21.2
340000,0.017,21.4
360000,0.018,25.7
380000,0.019,24.3
400000,0.020,20.0
420000,0.021,24.3
440000,0.022,25.7
460000,0.023,21.4
480000,0.024,22.8
500000,0.025,28.9
520000,0.026,20.0
540000,0.027,11.3
560000,0.028,20.0
580000,0.029,24.3
600000,0.030,25.7
620000,0.031,22.8
640000,0.032,25.7
660000,0.033,17.1
680000,0.034,19.6
700000,0.035,20.0
720000,0.036,22.8
740000,0.037,17.1
760000,0.038,21.4
780000,0.039,24.3
800000,0.040,22.8
820000,0.041,9.9
840000,0.042,20.0
860000,0.043,22.7
880000,0.044,22.8
900000,0.045,18.5
920000,0.046,25.7
940000,0.047,20.0
960000,0.048,17.1
980000,0.049,22.8
1000000,0.050,20.0
1020000,0.051,28.6
1040000,0.052,19.6
1060000,0.053,22.8
1080000,0.054,18.5
1100000,0.055,11.3
1120000,0.056,25.7
1140000,0.057,21.4
1160000,0.058,22.8
1180000,0.059,21.4
1200000,0.060,28.6
1220000,0.061,25.8
1240000,0.062,20.0
1260000,0.063,30.0
1280000,0.064,20.0
1300000,0.065,17.1
1320000,0.066,24.3
1340000,0.067,27.2
1360000,0.068,24.3
1380000,0.069,18.5
1400000,0.070,25.8
1420000,0.071,25.7
1440000,0.072,20.0
1460000,0.073,17.1
1480000,0.074,21.4
1500000,0.075,15.7
1520000,0.076,25.7
1540000,0.077,25.7
1560000,0.078,20.0
1580000,0.079,18.1
1600000,0.080,20.0
1620000,0.081,30.0
1640000,0.082,24.3
1660000,0.083,15.7
1680000,0.084,22.8
1700000,0.085,24.3
1720000,0.086,18.5
1740000,0.087,22.8
1760000,0.088,30.5
1780000,0.089,15.7
1800000,0.090,20.0
1820000,0.091,20.0
1840000,0.092,20.0
1860000,0.093,24.3
1880000,0.094,21.4
1900000,0.095,24.3
1920000,0.096,21.4
1940000,0.097,22.7
1960000,0.098,22.8
1980000,0.099,17.1
2000000,0.100,17.1
2020000,0.101,18.5
2040000,0.102,27.2
2060000,0.103,24.3
2080000,0.104,22.8
2100000,0.105,22.8
2120000,0.106,19.6
2140000,0.107,17.1
2160000,0.108,20.0
2180000,0.109,28.6
