FPGA idle power [mW]:,3771.6

Program energy [mJ]:,6.79

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,16.4
20000,0.001,20.7
40000,0.002,20.7
60000,0.003,23.6
80000,0.004,25.1
100000,0.005,20.7
120000,0.006,17.9
140000,0.007,20.7
160000,0.008,16.5
180000,0.009,15.0
200000,0.010,16.4
220000,0.011,15.0
240000,0.012,19.3
260000,0.013,15.0
280000,0.014,25.1
300000,0.015,29.4
320000,0.016,23.6
340000,0.017,27.4
360000,0.018,27.9
380000,0.019,19.3
400000,0.020,16.4
420000,0.021,26.5
440000,0.022,25.1
460000,0.023,25.1
480000,0.024,22.2
500000,0.025,17.9
520000,0.026,25.8
540000,0.027,30.8
560000,0.028,22.2
580000,0.029,16.4
600000,0.030,29.4
620000,0.031,22.2
640000,0.032,29.4
660000,0.033,27.9
680000,0.034,25.1
700000,0.035,22.7
720000,0.036,27.9
740000,0.037,26.5
760000,0.038,19.3
780000,0.039,20.7
800000,0.040,25.1
820000,0.041,32.2
840000,0.042,16.4
860000,0.043,20.7
880000,0.044,21.2
900000,0.045,15.0
920000,0.046,23.6
940000,0.047,23.6
960000,0.048,17.9
980000,0.049,22.2
1000000,0.050,27.9
1020000,0.051,25.1
1040000,0.052,22.2
1060000,0.053,18.1
1080000,0.054,19.3
1100000,0.055,23.6
1120000,0.056,27.9
1140000,0.057,23.6
1160000,0.058,25.1
1180000,0.059,16.4
1200000,0.060,22.2
1220000,0.061,22.2
1240000,0.062,22.7
1260000,0.063,29.4
1280000,0.064,29.4
1300000,0.065,19.3
1320000,0.066,20.7
1340000,0.067,36.6
1360000,0.068,27.9
1380000,0.069,19.3
1400000,0.070,39.4
1420000,0.071,30.5
1440000,0.072,23.6
1460000,0.073,22.2
1480000,0.074,22.2
1500000,0.075,23.6
1520000,0.076,29.4
1540000,0.077,32.2
1560000,0.078,26.5
1580000,0.079,20.7
1600000,0.080,24.3
1620000,0.081,26.5
1640000,0.082,25.1
1660000,0.083,27.9
1680000,0.084,27.9
1700000,0.085,20.7
1720000,0.086,19.3
1740000,0.087,26.5
1760000,0.088,22.2
1780000,0.089,16.5
1800000,0.090,22.2
1820000,0.091,23.6
1840000,0.092,29.4
1860000,0.093,25.1
1880000,0.094,25.1
1900000,0.095,22.2
1920000,0.096,19.3
1940000,0.097,25.1
1960000,0.098,24.3
1980000,0.099,20.7
2000000,0.100,20.7
2020000,0.101,23.6
2040000,0.102,15.0
2060000,0.103,26.5
2080000,0.104,26.5
2100000,0.105,15.0
2120000,0.106,23.6
2140000,0.107,28.9
2160000,0.108,26.5
2180000,0.109,20.7
2200000,0.110,17.9
2220000,0.111,22.2
2240000,0.112,19.3
2260000,0.113,22.2
2280000,0.114,17.9
2300000,0.115,29.4
2320000,0.116,24.3
2340000,0.117,29.4
2360000,0.118,29.4
2380000,0.119,26.5
2400000,0.120,26.5
2420000,0.121,30.8
2440000,0.122,26.5
2460000,0.123,30.8
2480000,0.124,32.2
2500000,0.125,22.7
2520000,0.126,25.1
2540000,0.127,13.5
2560000,0.128,29.4
2580000,0.129,22.2
2600000,0.130,25.1
2620000,0.131,26.5
2640000,0.132,22.2
2660000,0.133,20.7
2680000,0.134,25.8
2700000,0.135,23.6
2720000,0.136,27.9
2740000,0.137,16.4
2760000,0.138,19.3
2780000,0.139,25.1
2800000,0.140,25.1
2820000,0.141,23.6
2840000,0.142,13.5
2860000,0.143,21.2
2880000,0.144,20.7
2900000,0.145,17.9
2920000,0.146,19.3
2940000,0.147,25.1
2960000,0.148,17.9
2980000,0.149,16.4
3000000,0.150,25.1
3020000,0.151,22.2
3040000,0.152,18.1
3060000,0.153,23.6
3080000,0.154,17.9
3100000,0.155,25.1
3120000,0.156,29.4
3140000,0.157,23.6
3160000,0.158,20.7
3180000,0.159,20.7
3200000,0.160,27.9
3220000,0.161,30.5
3240000,0.162,17.9
3260000,0.163,23.6
3280000,0.164,15.0
3300000,0.165,16.4
3320000,0.166,19.3
3340000,0.167,33.7
3360000,0.168,26.5
3380000,0.169,19.3
3400000,0.170,24.3
3420000,0.171,20.7
3440000,0.172,20.7
3460000,0.173,22.2
3480000,0.174,23.6
3500000,0.175,19.3
3520000,0.176,25.1
3540000,0.177,22.2
3560000,0.178,22.2
3580000,0.179,22.7
3600000,0.180,17.9
3620000,0.181,19.3
3640000,0.182,22.2
3660000,0.183,13.5
3680000,0.184,25.1
3700000,0.185,17.9
3720000,0.186,27.9
3740000,0.187,32.2
3760000,0.188,36.7
3780000,0.189,32.2
3800000,0.190,29.4
3820000,0.191,32.2
3840000,0.192,26.5
3860000,0.193,13.5
3880000,0.194,13.5
3900000,0.195,17.9
3920000,0.196,9.2
3940000,0.197,21.2
3960000,0.198,9.2
3980000,0.199,15.0
4000000,0.200,15.0
4020000,0.201,16.4
4040000,0.202,19.3
4060000,0.203,17.9
4080000,0.204,19.3
4100000,0.205,13.5
4120000,0.206,18.1
4140000,0.207,23.6
4160000,0.208,16.4
4180000,0.209,13.5
4200000,0.210,20.7
4220000,0.211,23.6
4240000,0.212,19.3
4260000,0.213,17.9
4280000,0.214,20.7
