FPGA idle power [mW]:,3789.9

Program energy [mJ]:,10.20

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,6.8
20000,0.001,35.5
40000,0.002,33.9
60000,0.003,29.8
80000,0.004,32.7
100000,0.005,29.8
120000,0.006,19.7
140000,0.007,25.5
160000,0.008,21.1
180000,0.009,26.9
200000,0.010,13.9
220000,0.011,9.1
240000,0.012,21.1
260000,0.013,34.1
280000,0.014,32.7
300000,0.015,26.9
320000,0.016,28.3
340000,0.017,39.8
360000,0.018,32.7
380000,0.019,24.0
400000,0.020,40.1
420000,0.021,37.0
440000,0.022,32.7
460000,0.023,34.1
480000,0.024,35.5
500000,0.025,35.5
520000,0.026,31.2
540000,0.027,37.0
560000,0.028,38.4
580000,0.029,35.4
600000,0.030,42.7
620000,0.031,32.7
640000,0.032,39.8
660000,0.033,47.0
680000,0.034,25.5
700000,0.035,26.9
720000,0.036,39.8
740000,0.037,28.3
760000,0.038,29.2
780000,0.039,38.4
800000,0.040,37.0
820000,0.041,25.5
840000,0.042,29.8
860000,0.043,28.3
880000,0.044,42.7
900000,0.045,32.7
920000,0.046,41.3
940000,0.047,38.5
960000,0.048,28.3
980000,0.049,42.7
1000000,0.050,42.7
1020000,0.051,28.3
1040000,0.052,39.8
1060000,0.053,34.1
1080000,0.054,34.1
1100000,0.055,26.9
1120000,0.056,40.1
1140000,0.057,35.5
1160000,0.058,35.5
1180000,0.059,28.3
1200000,0.060,41.3
1220000,0.061,35.5
1240000,0.062,22.6
1260000,0.063,37.0
1280000,0.064,42.7
1300000,0.065,29.2
1320000,0.066,38.4
1340000,0.067,39.8
1360000,0.068,39.8
1380000,0.069,35.5
1400000,0.070,44.2
1420000,0.071,34.1
1440000,0.072,28.3
1460000,0.073,29.8
1480000,0.074,30.8
1500000,0.075,39.8
1520000,0.076,41.3
1540000,0.077,32.7
1560000,0.078,41.3
1580000,0.079,34.1
1600000,0.080,38.4
1620000,0.081,41.3
1640000,0.082,32.7
1660000,0.083,35.4
1680000,0.084,42.7
1700000,0.085,38.4
1720000,0.086,31.2
1740000,0.087,41.3
1760000,0.088,31.2
1780000,0.089,35.5
1800000,0.090,34.1
1820000,0.091,32.7
1840000,0.092,29.2
1860000,0.093,34.1
1880000,0.094,25.5
1900000,0.095,41.3
1920000,0.096,37.0
1940000,0.097,31.2
1960000,0.098,35.5
1980000,0.099,29.8
2000000,0.100,41.3
2020000,0.101,37.0
2040000,0.102,34.1
2060000,0.103,34.1
2080000,0.104,41.3
2100000,0.105,18.3
2120000,0.106,38.4
2140000,0.107,34.1
2160000,0.108,39.8
2180000,0.109,44.2
2200000,0.110,38.5
2220000,0.111,29.8
2240000,0.112,44.2
2260000,0.113,34.1
2280000,0.114,42.7
2300000,0.115,29.8
2320000,0.116,47.0
2340000,0.117,42.7
2360000,0.118,38.4
2380000,0.119,30.8
2400000,0.120,45.6
2420000,0.121,39.8
2440000,0.122,35.5
2460000,0.123,47.0
2480000,0.124,39.8
2500000,0.125,37.0
2520000,0.126,34.1
2540000,0.127,39.8
2560000,0.128,30.8
2580000,0.129,42.7
2600000,0.130,44.2
2620000,0.131,32.7
2640000,0.132,39.8
2660000,0.133,37.0
2680000,0.134,41.3
2700000,0.135,31.2
2720000,0.136,41.3
2740000,0.137,35.4
2760000,0.138,28.3
2780000,0.139,22.6
2800000,0.140,38.4
2820000,0.141,42.7
2840000,0.142,32.7
2860000,0.143,38.4
2880000,0.144,38.4
2900000,0.145,32.7
2920000,0.146,33.9
2940000,0.147,29.8
2960000,0.148,28.3
2980000,0.149,38.4
3000000,0.150,38.4
3020000,0.151,31.2
3040000,0.152,25.5
3060000,0.153,41.3
3080000,0.154,35.5
3100000,0.155,37.0
3120000,0.156,42.7
3140000,0.157,35.5
3160000,0.158,25.5
3180000,0.159,37.0
3200000,0.160,37.0
3220000,0.161,29.8
3240000,0.162,31.2
3260000,0.163,35.5
3280000,0.164,43.2
3300000,0.165,32.7
3320000,0.166,31.2
3340000,0.167,42.7
3360000,0.168,35.5
3380000,0.169,37.0
3400000,0.170,35.5
3420000,0.171,34.1
3440000,0.172,60.0
3460000,0.173,38.5
3480000,0.174,35.5
3500000,0.175,34.1
3520000,0.176,29.8
3540000,0.177,29.8
3560000,0.178,35.5
3580000,0.179,34.1
3600000,0.180,44.2
3620000,0.181,42.7
3640000,0.182,21.5
3660000,0.183,45.6
3680000,0.184,28.3
3700000,0.185,37.0
3720000,0.186,31.2
3740000,0.187,47.0
3760000,0.188,49.9
3780000,0.189,47.0
3800000,0.190,52.8
3820000,0.191,52.5
3840000,0.192,41.3
3860000,0.193,45.6
3880000,0.194,21.1
3900000,0.195,26.9
3920000,0.196,21.1
3940000,0.197,22.6
3960000,0.198,21.1
3980000,0.199,18.3
4000000,0.200,29.2
4020000,0.201,24.0
4040000,0.202,25.5
4060000,0.203,26.9
4080000,0.204,29.8
4100000,0.205,31.2
4120000,0.206,22.6
4140000,0.207,34.1
4160000,0.208,26.9
4180000,0.209,30.8
4200000,0.210,39.8
4220000,0.211,31.2
4240000,0.212,21.1
4260000,0.213,38.4
4280000,0.214,29.8
4300000,0.215,21.1
4320000,0.216,34.1
4340000,0.217,34.1
4360000,0.218,23.0
4380000,0.219,41.3
4400000,0.220,34.1
4420000,0.221,25.5
4440000,0.222,28.3
4460000,0.223,31.2
4480000,0.224,21.1
4500000,0.225,24.0
4520000,0.226,29.8
4540000,0.227,21.5
4560000,0.228,37.0
4580000,0.229,19.7
4600000,0.230,26.9
4620000,0.231,35.5
4640000,0.232,22.6
4660000,0.233,25.5
4680000,0.234,28.3
4700000,0.235,37.0
4720000,0.236,40.1
4740000,0.237,31.2
4760000,0.238,19.7
4780000,0.239,28.3
4800000,0.240,29.8
4820000,0.241,24.0
4840000,0.242,22.6
4860000,0.243,26.9
4880000,0.244,34.1
4900000,0.245,27.7
4920000,0.246,28.3
4940000,0.247,28.3
4960000,0.248,18.3
4980000,0.249,9.6
5000000,0.250,12.5
5020000,0.251,9.6
5040000,0.252,6.8
5060000,0.253,16.8
5080000,0.254,9.1
5100000,0.255,12.5
5120000,0.256,18.3
5140000,0.257,13.9
5160000,0.258,15.4
5180000,0.259,8.2
5200000,0.260,22.6
5220000,0.261,19.7
5240000,0.262,5.3
5260000,0.263,19.9
5280000,0.264,3.9
5300000,0.265,8.2
5320000,0.266,19.7
5340000,0.267,16.8
5360000,0.268,9.6
5380000,0.269,18.3
5400000,0.270,24.0
5420000,0.271,26.9
5440000,0.272,21.5
5460000,0.273,32.7
5480000,0.274,24.0
5500000,0.275,18.3
5520000,0.276,29.8
5540000,0.277,26.9
5560000,0.278,22.6
5580000,0.279,26.9
5600000,0.280,35.5
5620000,0.281,29.2
5640000,0.282,25.5
5660000,0.283,26.9
5680000,0.284,29.8
5700000,0.285,34.1
5720000,0.286,24.0
5740000,0.287,38.4
5760000,0.288,29.8
5780000,0.289,38.4
5800000,0.290,38.5
5820000,0.291,18.3
5840000,0.292,32.7
5860000,0.293,28.3
5880000,0.294,19.7
5900000,0.295,21.1
5920000,0.296,29.8
5940000,0.297,32.7
5960000,0.298,18.3
5980000,0.299,38.5
6000000,0.300,31.2
6020000,0.301,28.3
6040000,0.302,26.9
6060000,0.303,24.0
6080000,0.304,29.8
6100000,0.305,28.3
6120000,0.306,21.1
6140000,0.307,41.3
6160000,0.308,37.0
6180000,0.309,32.7
6200000,0.310,26.9
6220000,0.311,35.5
6240000,0.312,25.5
6260000,0.313,26.9
6280000,0.314,26.9
6300000,0.315,25.5
6320000,0.316,28.3
6340000,0.317,32.3
6360000,0.318,28.3
6380000,0.319,9.6
6400000,0.320,15.4
6420000,0.321,12.5
6440000,0.322,15.4
6460000,0.323,22.6
6480000,0.324,15.4
6500000,0.325,18.3
6520000,0.326,12.2
6540000,0.327,18.3
6560000,0.328,13.9
6580000,0.329,13.9
