FPGA idle power [mW]:,3784.0

Program energy [mJ]:,8.67

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,12.7
20000,0.001,30.5
40000,0.002,25.6
60000,0.003,35.7
80000,0.004,28.5
100000,0.005,25.6
120000,0.006,25.6
140000,0.007,22.7
160000,0.008,14.1
180000,0.009,24.2
200000,0.010,15.0
220000,0.011,8.3
240000,0.012,17.0
260000,0.013,25.6
280000,0.014,29.9
300000,0.015,27.0
320000,0.016,35.7
340000,0.017,32.8
360000,0.018,31.4
380000,0.019,27.4
400000,0.020,42.9
420000,0.021,25.6
440000,0.022,31.4
460000,0.023,24.2
480000,0.024,35.7
500000,0.025,28.5
520000,0.026,22.7
540000,0.027,27.0
560000,0.028,33.6
580000,0.029,31.4
600000,0.030,38.6
620000,0.031,29.9
640000,0.032,28.5
660000,0.033,34.2
680000,0.034,35.7
700000,0.035,28.5
720000,0.036,28.5
740000,0.037,28.9
760000,0.038,32.8
780000,0.039,27.0
800000,0.040,34.2
820000,0.041,32.8
840000,0.042,27.0
860000,0.043,28.5
880000,0.044,25.6
900000,0.045,22.7
920000,0.046,32.0
940000,0.047,31.4
960000,0.048,31.4
980000,0.049,21.3
1000000,0.050,32.8
1020000,0.051,18.4
1040000,0.052,31.4
1060000,0.053,28.5
1080000,0.054,29.9
1100000,0.055,18.1
1120000,0.056,25.6
1140000,0.057,29.9
1160000,0.058,22.7
1180000,0.059,29.9
1200000,0.060,29.9
1220000,0.061,27.0
1240000,0.062,21.3
1260000,0.063,32.8
1280000,0.064,36.7
1300000,0.065,29.9
1320000,0.066,27.0
1340000,0.067,38.6
1360000,0.068,34.2
1380000,0.069,27.0
1400000,0.070,37.1
1420000,0.071,32.8
1440000,0.072,21.3
1460000,0.073,35.1
1480000,0.074,29.9
1500000,0.075,28.5
1520000,0.076,28.5
1540000,0.077,34.2
1560000,0.078,34.2
1580000,0.079,27.0
1600000,0.080,42.9
1620000,0.081,32.8
1640000,0.082,25.8
1660000,0.083,42.9
1680000,0.084,37.1
1700000,0.085,37.1
1720000,0.086,29.9
1740000,0.087,38.6
1760000,0.088,28.5
1780000,0.089,31.4
1800000,0.090,34.2
1820000,0.091,30.5
1840000,0.092,25.6
1860000,0.093,32.8
1880000,0.094,28.5
1900000,0.095,24.2
1920000,0.096,31.4
1940000,0.097,32.8
1960000,0.098,27.0
1980000,0.099,27.0
2000000,0.100,33.6
2020000,0.101,27.0
2040000,0.102,25.6
2060000,0.103,28.5
2080000,0.104,25.6
2100000,0.105,29.9
2120000,0.106,34.2
2140000,0.107,31.4
2160000,0.108,25.6
2180000,0.109,25.8
2200000,0.110,29.9
2220000,0.111,29.9
2240000,0.112,38.6
2260000,0.113,34.2
2280000,0.114,38.6
2300000,0.115,29.9
2320000,0.116,32.8
2340000,0.117,42.9
2360000,0.118,32.0
2380000,0.119,31.4
2400000,0.120,37.1
2420000,0.121,31.4
2440000,0.122,25.6
2460000,0.123,34.2
2480000,0.124,34.2
2500000,0.125,31.4
2520000,0.126,29.9
2540000,0.127,35.1
2560000,0.128,34.2
2580000,0.129,24.2
2600000,0.130,40.0
2620000,0.131,34.2
2640000,0.132,32.8
2660000,0.133,34.2
2680000,0.134,29.9
2700000,0.135,24.2
2720000,0.136,25.8
2740000,0.137,34.2
2760000,0.138,32.8
2780000,0.139,32.8
2800000,0.140,34.2
2820000,0.141,35.7
2840000,0.142,21.3
2860000,0.143,27.0
2880000,0.144,37.1
2900000,0.145,25.8
2920000,0.146,28.5
2940000,0.147,34.2
2960000,0.148,28.5
2980000,0.149,24.2
3000000,0.150,37.1
3020000,0.151,32.8
3040000,0.152,24.2
3060000,0.153,29.9
3080000,0.154,35.1
3100000,0.155,25.6
3120000,0.156,32.8
3140000,0.157,27.0
3160000,0.158,27.0
3180000,0.159,25.6
3200000,0.160,34.2
3220000,0.161,29.9
3240000,0.162,38.6
3260000,0.163,30.5
3280000,0.164,25.6
3300000,0.165,18.4
3320000,0.166,21.3
3340000,0.167,38.6
3360000,0.168,31.4
3380000,0.169,31.4
3400000,0.170,25.6
3420000,0.171,29.9
3440000,0.172,42.9
3460000,0.173,35.7
3480000,0.174,28.5
3500000,0.175,17.0
3520000,0.176,31.4
3540000,0.177,37.1
3560000,0.178,22.7
3580000,0.179,28.5
3600000,0.180,24.2
3620000,0.181,24.3
3640000,0.182,24.2
3660000,0.183,27.0
3680000,0.184,35.7
3700000,0.185,31.4
3720000,0.186,31.4
3740000,0.187,29.9
3760000,0.188,35.7
3780000,0.189,41.4
3800000,0.190,46.0
3820000,0.191,45.7
3840000,0.192,42.9
3860000,0.193,34.2
3880000,0.194,21.3
3900000,0.195,14.1
3920000,0.196,19.8
3940000,0.197,18.4
3960000,0.198,21.3
3980000,0.199,11.9
4000000,0.200,12.7
4020000,0.201,24.2
4040000,0.202,21.3
4060000,0.203,21.3
4080000,0.204,32.8
4100000,0.205,18.4
4120000,0.206,17.0
4140000,0.207,29.9
4160000,0.208,22.7
4180000,0.209,21.3
4200000,0.210,29.9
4220000,0.211,18.4
4240000,0.212,25.6
4260000,0.213,25.6
4280000,0.214,12.7
4300000,0.215,14.1
4320000,0.216,22.7
4340000,0.217,24.3
4360000,0.218,19.8
4380000,0.219,31.4
4400000,0.220,24.2
4420000,0.221,19.8
4440000,0.222,17.0
4460000,0.223,24.2
4480000,0.224,18.4
4500000,0.225,28.5
4520000,0.226,25.8
4540000,0.227,27.0
4560000,0.228,21.3
4580000,0.229,22.7
4600000,0.230,28.5
4620000,0.231,21.3
4640000,0.232,29.9
4660000,0.233,31.4
4680000,0.234,22.7
4700000,0.235,24.3
4720000,0.236,34.2
4740000,0.237,21.3
4760000,0.238,15.5
4780000,0.239,28.5
4800000,0.240,25.6
4820000,0.241,22.7
4840000,0.242,18.4
4860000,0.243,28.5
4880000,0.244,24.3
4900000,0.245,18.4
4920000,0.246,34.2
4940000,0.247,25.6
4960000,0.248,22.7
4980000,0.249,12.7
5000000,0.250,12.7
5020000,0.251,15.5
5040000,0.252,4.0
5060000,0.253,13.4
5080000,0.254,5.5
5100000,0.255,9.8
5120000,0.256,14.1
5140000,0.257,17.0
5160000,0.258,14.1
5180000,0.259,8.3
5200000,0.260,8.3
5220000,0.261,9.8
5240000,0.262,7.2
5260000,0.263,11.2
5280000,0.264,4.0
5300000,0.265,12.7
5320000,0.266,9.8
5340000,0.267,15.5
5360000,0.268,15.5
5380000,0.269,12.7
5400000,0.270,25.8
5420000,0.271,11.2
5440000,0.272,22.7
5460000,0.273,22.7
5480000,0.274,17.0
5500000,0.275,15.5
5520000,0.276,22.7
5540000,0.277,25.6
5560000,0.278,17.0
5580000,0.279,25.6
5600000,0.280,33.6
5620000,0.281,24.2
5640000,0.282,24.2
5660000,0.283,22.7
5680000,0.284,29.9
5700000,0.285,32.8
5720000,0.286,25.6
5740000,0.287,31.4
5760000,0.288,24.2
5780000,0.289,16.5
5800000,0.290,37.1
5820000,0.291,18.4
5840000,0.292,18.4
5860000,0.293,28.5
5880000,0.294,25.6
5900000,0.295,14.1
5920000,0.296,21.3
5940000,0.297,32.0
5960000,0.298,17.0
5980000,0.299,34.2
6000000,0.300,35.7
6020000,0.301,27.0
6040000,0.302,25.6
6060000,0.303,21.3
6080000,0.304,28.5
6100000,0.305,17.0
6120000,0.306,25.6
6140000,0.307,28.9
6160000,0.308,28.5
6180000,0.309,22.7
6200000,0.310,21.3
6220000,0.311,24.2
6240000,0.312,24.2
6260000,0.313,29.9
6280000,0.314,18.4
6300000,0.315,18.4
6320000,0.316,22.7
6340000,0.317,24.2
6360000,0.318,22.7
6380000,0.319,12.7
6400000,0.320,17.0
6420000,0.321,6.9
6440000,0.322,11.2
6460000,0.323,19.8
6480000,0.324,11.2
6500000,0.325,11.9
6520000,0.326,17.0
6540000,0.327,22.7
6560000,0.328,9.8
6580000,0.329,14.1
