FPGA idle power [mW]:,3790.1

Program energy [mJ]:,11.82

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,13.7
20000,0.001,38.2
40000,0.002,41.1
60000,0.003,23.8
80000,0.004,20.9
100000,0.005,29.6
120000,0.006,29.6
140000,0.007,15.2
160000,0.008,21.3
180000,0.009,22.4
200000,0.010,19.5
220000,0.011,18.1
240000,0.012,32.5
260000,0.013,22.4
280000,0.014,19.5
300000,0.015,23.8
320000,0.016,28.1
340000,0.017,18.2
360000,0.018,32.5
380000,0.019,33.9
400000,0.020,29.6
420000,0.021,35.3
440000,0.022,45.4
460000,0.023,49.7
480000,0.024,36.8
500000,0.025,29.6
520000,0.026,36.8
540000,0.027,39.6
560000,0.028,35.3
580000,0.029,32.5
600000,0.030,41.1
620000,0.031,41.1
640000,0.032,33.9
660000,0.033,42.5
680000,0.034,42.5
700000,0.035,38.3
720000,0.036,42.5
740000,0.037,33.9
760000,0.038,46.8
780000,0.039,38.2
800000,0.040,49.7
820000,0.041,35.3
840000,0.042,36.8
860000,0.043,35.3
880000,0.044,43.0
900000,0.045,29.6
920000,0.046,41.1
940000,0.047,36.8
960000,0.048,36.8
980000,0.049,42.5
1000000,0.050,38.2
1020000,0.051,41.1
1040000,0.052,36.8
1060000,0.053,33.7
1080000,0.054,45.4
1100000,0.055,35.3
1120000,0.056,32.5
1140000,0.057,39.6
1160000,0.058,39.6
1180000,0.059,33.9
1200000,0.060,36.8
1220000,0.061,33.9
1240000,0.062,39.9
1260000,0.063,35.3
1280000,0.064,36.8
1300000,0.065,39.6
1320000,0.066,41.1
1340000,0.067,38.2
1360000,0.068,41.1
1380000,0.069,29.6
1400000,0.070,38.2
1420000,0.071,44.5
1440000,0.072,48.3
1460000,0.073,32.5
1480000,0.074,36.8
1500000,0.075,45.4
1520000,0.076,38.2
1540000,0.077,36.8
1560000,0.078,46.8
1580000,0.079,44.0
1600000,0.080,41.4
1620000,0.081,38.2
1640000,0.082,42.5
1660000,0.083,39.6
1680000,0.084,42.5
1700000,0.085,45.4
1720000,0.086,45.4
1740000,0.087,42.5
1760000,0.088,42.5
1780000,0.089,38.3
1800000,0.090,42.5
1820000,0.091,32.5
1840000,0.092,39.6
1860000,0.093,39.6
1880000,0.094,52.6
1900000,0.095,33.9
1920000,0.096,41.1
1940000,0.097,28.1
1960000,0.098,38.3
1980000,0.099,42.5
2000000,0.100,31.0
2020000,0.101,41.1
2040000,0.102,39.6
2060000,0.103,35.3
2080000,0.104,44.0
2100000,0.105,38.2
2120000,0.106,33.9
2140000,0.107,38.3
2160000,0.108,39.6
2180000,0.109,41.1
2200000,0.110,39.6
2220000,0.111,32.5
2240000,0.112,32.5
2260000,0.113,45.4
2280000,0.114,42.5
2300000,0.115,38.2
2320000,0.116,35.2
2340000,0.117,44.0
2360000,0.118,41.1
2380000,0.119,39.6
2400000,0.120,46.8
2420000,0.121,42.5
2440000,0.122,46.8
2460000,0.123,33.9
2480000,0.124,39.6
2500000,0.125,36.8
2520000,0.126,42.5
2540000,0.127,41.1
2560000,0.128,46.8
2580000,0.129,42.5
2600000,0.130,33.9
2620000,0.131,42.5
2640000,0.132,48.3
2660000,0.133,38.2
2680000,0.134,43.0
2700000,0.135,36.8
2720000,0.136,33.9
2740000,0.137,41.1
2760000,0.138,45.4
2780000,0.139,32.5
2800000,0.140,38.2
2820000,0.141,42.5
2840000,0.142,44.0
2860000,0.143,35.2
2880000,0.144,38.2
2900000,0.145,38.2
2920000,0.146,35.3
2940000,0.147,42.5
2960000,0.148,39.6
2980000,0.149,42.5
3000000,0.150,33.9
3020000,0.151,38.2
3040000,0.152,41.4
3060000,0.153,41.1
3080000,0.154,31.0
3100000,0.155,35.3
3120000,0.156,35.3
3140000,0.157,42.5
3160000,0.158,35.3
3180000,0.159,49.7
3200000,0.160,33.9
3220000,0.161,32.1
3240000,0.162,39.6
3260000,0.163,46.8
3280000,0.164,33.9
3300000,0.165,36.8
3320000,0.166,38.2
3340000,0.167,33.9
3360000,0.168,33.9
3380000,0.169,41.1
3400000,0.170,60.0
3420000,0.171,32.5
3440000,0.172,39.6
3460000,0.173,42.5
3480000,0.174,44.0
3500000,0.175,45.4
3520000,0.176,42.5
3540000,0.177,44.0
3560000,0.178,38.2
3580000,0.179,46.1
3600000,0.180,42.5
3620000,0.181,41.1
3640000,0.182,41.1
3660000,0.183,45.4
3680000,0.184,52.6
3700000,0.185,41.1
3720000,0.186,46.8
3740000,0.187,51.2
3760000,0.188,43.0
3780000,0.189,45.4
3800000,0.190,33.9
3820000,0.191,38.2
3840000,0.192,36.8
3860000,0.193,46.8
3880000,0.194,54.0
3900000,0.195,56.9
3920000,0.196,54.0
3940000,0.197,50.7
3960000,0.198,59.8
3980000,0.199,38.2
4000000,0.200,23.8
4020000,0.201,31.0
4040000,0.202,16.6
4060000,0.203,33.9
4080000,0.204,22.4
4100000,0.205,28.1
4120000,0.206,24.4
4140000,0.207,35.3
4160000,0.208,33.9
4180000,0.209,29.6
4200000,0.210,39.6
4220000,0.211,35.3
4240000,0.212,41.1
4260000,0.213,35.3
