FPGA idle power [mW]:,3798.9

Program energy [mJ]:,13.79

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,26.5
20000,0.001,35.2
40000,0.002,39.5
60000,0.003,25.1
80000,0.004,33.7
100000,0.005,22.2
120000,0.006,20.8
140000,0.007,26.5
160000,0.008,20.2
180000,0.009,32.3
200000,0.010,30.8
220000,0.011,28.0
240000,0.012,25.1
260000,0.013,19.3
280000,0.014,35.2
300000,0.015,19.3
320000,0.016,22.2
340000,0.017,24.9
360000,0.018,46.7
380000,0.019,36.6
400000,0.020,45.2
420000,0.021,56.7
440000,0.022,48.1
460000,0.023,42.4
480000,0.024,52.4
500000,0.025,49.5
520000,0.026,49.7
540000,0.027,48.1
560000,0.028,49.5
580000,0.029,49.5
600000,0.030,45.2
620000,0.031,53.9
640000,0.032,46.7
660000,0.033,43.8
680000,0.034,46.7
700000,0.035,49.7
720000,0.036,38.0
740000,0.037,46.7
760000,0.038,43.8
780000,0.039,43.8
800000,0.040,48.1
820000,0.041,42.4
840000,0.042,45.2
860000,0.043,43.8
880000,0.044,49.7
900000,0.045,53.9
920000,0.046,48.1
940000,0.047,38.0
960000,0.048,43.8
980000,0.049,43.8
1000000,0.050,40.9
1020000,0.051,53.9
1040000,0.052,46.7
1060000,0.053,38.8
1080000,0.054,40.9
1100000,0.055,46.7
1120000,0.056,43.8
1140000,0.057,45.2
1160000,0.058,42.4
1180000,0.059,49.5
1200000,0.060,36.6
1220000,0.061,39.5
1240000,0.062,49.7
1260000,0.063,38.0
1280000,0.064,32.3
1300000,0.065,48.1
1320000,0.066,43.8
1340000,0.067,42.4
1360000,0.068,39.5
1380000,0.069,56.7
1400000,0.070,56.7
1420000,0.071,40.4
1440000,0.072,55.3
1460000,0.073,52.4
1480000,0.074,45.2
1500000,0.075,45.2
1520000,0.076,52.4
1540000,0.077,46.7
1560000,0.078,43.8
1580000,0.079,45.2
1600000,0.080,54.3
1620000,0.081,48.1
1640000,0.082,56.7
1660000,0.083,49.5
1680000,0.084,45.2
1700000,0.085,46.7
1720000,0.086,52.4
1740000,0.087,49.5
1760000,0.088,40.9
1780000,0.089,49.7
1800000,0.090,59.6
1820000,0.091,55.3
