FPGA idle power [mW]:,3776.2

Program energy [mJ]:,7.27

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,24.8
20000,0.001,21.9
40000,0.002,21.2
60000,0.003,17.6
80000,0.004,13.3
100000,0.005,13.3
120000,0.006,19.0
140000,0.007,17.6
160000,0.008,21.9
180000,0.009,14.7
200000,0.010,13.3
220000,0.011,24.3
240000,0.012,30.5
260000,0.013,27.6
280000,0.014,29.1
300000,0.015,17.6
320000,0.016,20.5
340000,0.017,27.6
360000,0.018,23.3
380000,0.019,13.3
400000,0.020,13.5
420000,0.021,13.3
440000,0.022,14.7
460000,0.023,16.1
480000,0.024,24.8
500000,0.025,13.3
520000,0.026,11.8
540000,0.027,23.3
560000,0.028,16.1
580000,0.029,7.3
600000,0.030,16.1
620000,0.031,16.1
640000,0.032,13.3
660000,0.033,24.8
680000,0.034,17.6
700000,0.035,11.8
720000,0.036,16.1
740000,0.037,20.5
760000,0.038,22.8
780000,0.039,11.8
800000,0.040,21.9
820000,0.041,19.0
840000,0.042,20.5
860000,0.043,17.6
880000,0.044,16.1
900000,0.045,17.6
920000,0.046,13.3
940000,0.047,22.8
960000,0.048,24.8
980000,0.049,20.5
1000000,0.050,21.9
1020000,0.051,20.5
1040000,0.052,16.1
1060000,0.053,10.4
1080000,0.054,27.6
1100000,0.055,14.7
1120000,0.056,13.5
1140000,0.057,27.6
1160000,0.058,16.1
1180000,0.059,16.1
1200000,0.060,29.1
1220000,0.061,14.7
1240000,0.062,20.5
1260000,0.063,16.1
1280000,0.064,16.1
1300000,0.065,10.4
1320000,0.066,23.3
1340000,0.067,19.0
1360000,0.068,17.6
1380000,0.069,14.7
1400000,0.070,21.9
1420000,0.071,29.1
1440000,0.072,19.0
1460000,0.073,32.0
1480000,0.074,18.1
1500000,0.075,17.6
1520000,0.076,14.7
1540000,0.077,26.2
1560000,0.078,23.3
1580000,0.079,21.9
1600000,0.080,20.5
1620000,0.081,11.8
1640000,0.082,16.1
1660000,0.083,13.5
1680000,0.084,21.9
1700000,0.085,20.5
1720000,0.086,6.1
1740000,0.087,24.8
1760000,0.088,24.8
1780000,0.089,11.8
1800000,0.090,13.3
1820000,0.091,11.8
1840000,0.092,11.9
1860000,0.093,13.3
1880000,0.094,8.9
1900000,0.095,16.1
1920000,0.096,8.9
1940000,0.097,11.8
1960000,0.098,11.8
1980000,0.099,8.9
2000000,0.100,19.0
2020000,0.101,16.6
2040000,0.102,13.3
2060000,0.103,10.4
2080000,0.104,11.8
2100000,0.105,4.6
2120000,0.106,10.4
2140000,0.107,8.9
2160000,0.108,6.1
2180000,0.109,17.6
2200000,0.110,13.5
2220000,0.111,10.4
2240000,0.112,8.9
2260000,0.113,16.1
2280000,0.114,6.1
2300000,0.115,4.6
2320000,0.116,16.1
2340000,0.117,21.9
2360000,0.118,17.6
2380000,0.119,18.1
2400000,0.120,19.0
2420000,0.121,24.8
2440000,0.122,19.0
2460000,0.123,13.3
2480000,0.124,21.9
2500000,0.125,14.7
2520000,0.126,13.3
2540000,0.127,23.3
2560000,0.128,15.0
2580000,0.129,17.6
2600000,0.130,21.9
2620000,0.131,24.8
2640000,0.132,10.4
2660000,0.133,16.1
2680000,0.134,19.0
2700000,0.135,23.3
2720000,0.136,8.9
2740000,0.137,18.1
2760000,0.138,21.9
2780000,0.139,20.5
2800000,0.140,30.5
2820000,0.141,36.3
2840000,0.142,24.8
2860000,0.143,16.1
2880000,0.144,33.4
2900000,0.145,26.2
2920000,0.146,19.7
2940000,0.147,33.4
2960000,0.148,30.5
2980000,0.149,17.6
3000000,0.150,24.8
3020000,0.151,19.0
3040000,0.152,26.2
3060000,0.153,17.6
3080000,0.154,23.3
3100000,0.155,18.1
3120000,0.156,26.2
3140000,0.157,27.6
3160000,0.158,16.1
3180000,0.159,19.0
3200000,0.160,32.0
3220000,0.161,23.3
3240000,0.162,23.3
3260000,0.163,21.9
3280000,0.164,18.1
3300000,0.165,19.0
3320000,0.166,20.5
3340000,0.167,26.2
3360000,0.168,19.0
3380000,0.169,17.6
3400000,0.170,23.3
3420000,0.171,23.3
3440000,0.172,21.9
3460000,0.173,24.3
3480000,0.174,19.0
3500000,0.175,26.2
3520000,0.176,16.1
3540000,0.177,21.9
3560000,0.178,23.3
3580000,0.179,10.4
3600000,0.180,27.6
3620000,0.181,21.9
3640000,0.182,5.7
3660000,0.183,10.4
3680000,0.184,11.8
3700000,0.185,11.8
3720000,0.186,7.5
3740000,0.187,16.1
3760000,0.188,10.4
3780000,0.189,16.1
3800000,0.190,14.7
3820000,0.191,11.9
3840000,0.192,16.1
3860000,0.193,6.1
3880000,0.194,13.3
3900000,0.195,11.8
3920000,0.196,11.8
3940000,0.197,16.1
3960000,0.198,8.9
3980000,0.199,8.9
4000000,0.200,8.8
4020000,0.201,7.5
4040000,0.202,13.3
4060000,0.203,11.8
4080000,0.204,4.6
4100000,0.205,4.6
4120000,0.206,8.9
4140000,0.207,3.2
4160000,0.208,3.2
4180000,0.209,1.1
4200000,0.210,1.8
4220000,0.211,1.8
4240000,0.212,0.3
4260000,0.213,7.5
4280000,0.214,24.8
4300000,0.215,14.7
4320000,0.216,16.1
4340000,0.217,23.3
4360000,0.218,19.7
4380000,0.219,17.6
4400000,0.220,23.3
4420000,0.221,20.5
4440000,0.222,19.0
4460000,0.223,21.9
4480000,0.224,20.5
4500000,0.225,16.1
4520000,0.226,23.3
4540000,0.227,22.8
4560000,0.228,19.0
4580000,0.229,16.1
4600000,0.230,24.8
4620000,0.231,23.3
4640000,0.232,23.3
4660000,0.233,27.6
4680000,0.234,24.8
4700000,0.235,17.6
4720000,0.236,21.2
4740000,0.237,21.9
4760000,0.238,17.6
4780000,0.239,16.1
4800000,0.240,20.5
4820000,0.241,24.8
4840000,0.242,24.8
4860000,0.243,17.6
4880000,0.244,20.5
4900000,0.245,16.6
4920000,0.246,17.6
4940000,0.247,26.2
4960000,0.248,16.1
4980000,0.249,17.6
5000000,0.250,16.1
5020000,0.251,21.9
5040000,0.252,19.0
5060000,0.253,14.7
5080000,0.254,22.8
5100000,0.255,20.5
5120000,0.256,17.6
5140000,0.257,17.6
5160000,0.258,20.5
5180000,0.259,11.8
5200000,0.260,27.6
5220000,0.261,19.0
5240000,0.262,24.8
5260000,0.263,19.7
5280000,0.264,20.5
5300000,0.265,17.6
5320000,0.266,24.8
5340000,0.267,21.9
5360000,0.268,26.2
5380000,0.269,17.6
5400000,0.270,26.2
5420000,0.271,20.5
5440000,0.272,21.2
5460000,0.273,24.8
5480000,0.274,24.8
5500000,0.275,19.0
5520000,0.276,19.0
5540000,0.277,24.8
5560000,0.278,19.0
5580000,0.279,17.6
5600000,0.280,16.1
5620000,0.281,21.2
5640000,0.282,16.1
5660000,0.283,24.8
5680000,0.284,20.5
5700000,0.285,16.1
5720000,0.286,24.8
5740000,0.287,29.1
5760000,0.288,27.6
5780000,0.289,21.9
5800000,0.290,25.9
5820000,0.291,14.7
5840000,0.292,17.6
5860000,0.293,19.0
5880000,0.294,27.6
5900000,0.295,23.3
5920000,0.296,11.8
5940000,0.297,17.6
5960000,0.298,16.1
5980000,0.299,22.8
6000000,0.300,21.9
6020000,0.301,21.9
6040000,0.302,13.3
6060000,0.303,20.5
6080000,0.304,20.5
6100000,0.305,17.6
6120000,0.306,20.5
6140000,0.307,20.5
6160000,0.308,16.6
6180000,0.309,14.7
6200000,0.310,13.3
6220000,0.311,17.6
6240000,0.312,20.5
6260000,0.313,20.5
6280000,0.314,26.2
6300000,0.315,20.5
6320000,0.316,17.6
6340000,0.317,24.3
6360000,0.318,20.5
6380000,0.319,20.5
6400000,0.320,26.2
6420000,0.321,17.6
6440000,0.322,26.2
6460000,0.323,23.3
6480000,0.324,19.0
6500000,0.325,14.7
6520000,0.326,19.7
6540000,0.327,23.3
6560000,0.328,20.5
6580000,0.329,21.9
6600000,0.330,24.8
6620000,0.331,21.9
6640000,0.332,16.1
6660000,0.333,21.9
6680000,0.334,21.9
6700000,0.335,19.7
6720000,0.336,19.0
6740000,0.337,20.5
6760000,0.338,20.5
6780000,0.339,23.3
6800000,0.340,20.5
6820000,0.341,21.9
6840000,0.342,13.3
6860000,0.343,10.4
6880000,0.344,19.7
6900000,0.345,19.0
6920000,0.346,6.1
6940000,0.347,19.0
6960000,0.348,19.0
6980000,0.349,24.8
7000000,0.350,24.8
7020000,0.351,23.3
7040000,0.352,17.6
7060000,0.353,15.0
7080000,0.354,30.5
7100000,0.355,20.5
7120000,0.356,17.6
7140000,0.357,20.5
7160000,0.358,19.0
7180000,0.359,20.5
7200000,0.360,23.3
7220000,0.361,20.5
7240000,0.362,15.0
7260000,0.363,24.8
7280000,0.364,21.9
7300000,0.365,20.5
7320000,0.366,20.5
7340000,0.367,26.2
7360000,0.368,24.8
7380000,0.369,16.1
7400000,0.370,30.5
7420000,0.371,16.6
7440000,0.372,21.9
7460000,0.373,20.5
7480000,0.374,26.2
7500000,0.375,20.5
7520000,0.376,21.9
7540000,0.377,30.5
7560000,0.378,21.9
7580000,0.379,21.9
7600000,0.380,25.9
7620000,0.381,17.6
7640000,0.382,21.9
7660000,0.383,27.6
7680000,0.384,26.2
7700000,0.385,20.5
7720000,0.386,23.3
