FPGA idle power [mW]:,3787.3

Program energy [mJ]:,9.37

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,23.7
20000,0.001,26.6
40000,0.002,35.3
60000,0.003,32.4
80000,0.004,27.2
100000,0.005,26.6
120000,0.006,18.0
140000,0.007,13.7
160000,0.008,15.1
180000,0.009,25.2
200000,0.010,16.5
220000,0.011,25.2
240000,0.012,36.7
260000,0.013,33.4
280000,0.014,39.6
300000,0.015,35.3
320000,0.016,42.4
340000,0.017,33.8
360000,0.018,30.9
380000,0.019,23.7
400000,0.020,22.3
420000,0.021,18.0
440000,0.022,16.3
460000,0.023,18.0
480000,0.024,20.9
500000,0.025,22.3
520000,0.026,19.4
540000,0.027,20.9
560000,0.028,19.4
580000,0.029,12.2
600000,0.030,20.9
620000,0.031,17.9
640000,0.032,29.5
660000,0.033,28.1
680000,0.034,22.3
700000,0.035,20.9
720000,0.036,20.9
740000,0.037,19.4
760000,0.038,18.0
780000,0.039,30.9
800000,0.040,28.7
820000,0.041,20.9
840000,0.042,18.0
860000,0.043,20.9
880000,0.044,29.5
900000,0.045,22.3
920000,0.046,28.1
940000,0.047,26.6
960000,0.048,35.3
980000,0.049,22.5
1000000,0.050,19.4
1020000,0.051,32.4
1040000,0.052,29.5
1060000,0.053,25.2
1080000,0.054,18.0
1100000,0.055,19.4
1120000,0.056,30.9
1140000,0.057,23.7
1160000,0.058,24.1
1180000,0.059,28.1
1200000,0.060,26.6
1220000,0.061,33.8
1240000,0.062,28.1
1260000,0.063,26.6
1280000,0.064,23.7
1300000,0.065,26.6
1320000,0.066,29.5
1340000,0.067,24.1
1360000,0.068,23.7
1380000,0.069,23.7
1400000,0.070,25.2
1420000,0.071,25.2
1440000,0.072,35.3
1460000,0.073,35.3
1480000,0.074,18.0
1500000,0.075,25.2
1520000,0.076,24.1
1540000,0.077,28.1
1560000,0.078,15.1
1580000,0.079,18.0
1600000,0.080,20.9
1620000,0.081,16.5
1640000,0.082,26.6
1660000,0.083,23.7
1680000,0.084,22.3
1700000,0.085,30.3
1720000,0.086,19.4
1740000,0.087,22.3
1760000,0.088,28.1
1780000,0.089,22.3
1800000,0.090,12.2
1820000,0.091,13.7
1840000,0.092,9.4
1860000,0.093,18.0
1880000,0.094,11.7
1900000,0.095,20.9
1920000,0.096,20.9
1940000,0.097,9.4
1960000,0.098,16.5
1980000,0.099,18.0
2000000,0.100,13.7
2020000,0.101,19.4
2040000,0.102,19.4
2060000,0.103,13.2
2080000,0.104,12.2
2100000,0.105,19.4
2120000,0.106,13.7
2140000,0.107,7.9
2160000,0.108,12.2
2180000,0.109,18.0
2200000,0.110,9.4
2220000,0.111,16.5
2240000,0.112,19.4
2260000,0.113,16.5
2280000,0.114,9.4
2300000,0.115,19.4
2320000,0.116,20.9
2340000,0.117,26.6
2360000,0.118,13.7
2380000,0.119,35.3
2400000,0.120,16.5
2420000,0.121,22.5
2440000,0.122,22.3
2460000,0.123,23.7
2480000,0.124,18.0
2500000,0.125,33.8
2520000,0.126,20.9
2540000,0.127,22.3
2560000,0.128,23.7
2580000,0.129,22.3
2600000,0.130,19.4
2620000,0.131,28.1
2640000,0.132,30.9
2660000,0.133,22.3
2680000,0.134,32.4
2700000,0.135,26.6
2720000,0.136,20.9
2740000,0.137,25.2
2760000,0.138,33.8
2780000,0.139,22.5
2800000,0.140,23.7
2820000,0.141,33.8
2840000,0.142,23.7
2860000,0.143,16.5
2880000,0.144,25.2
2900000,0.145,30.9
2920000,0.146,19.4
2940000,0.147,25.2
2960000,0.148,38.0
2980000,0.149,23.7
3000000,0.150,19.4
3020000,0.151,19.4
3040000,0.152,25.2
3060000,0.153,26.6
3080000,0.154,19.4
3100000,0.155,30.9
3120000,0.156,25.2
3140000,0.157,28.7
3160000,0.158,23.7
3180000,0.159,33.8
3200000,0.160,28.1
3220000,0.161,25.2
3240000,0.162,28.1
3260000,0.163,25.2
3280000,0.164,20.9
3300000,0.165,25.2
3320000,0.166,21.0
3340000,0.167,26.6
3360000,0.168,36.7
3380000,0.169,25.2
3400000,0.170,22.3
3420000,0.171,25.2
3440000,0.172,35.3
3460000,0.173,29.5
3480000,0.174,25.2
3500000,0.175,27.2
3520000,0.176,20.9
3540000,0.177,32.4
3560000,0.178,38.1
3580000,0.179,20.9
3600000,0.180,28.1
3620000,0.181,29.5
3640000,0.182,19.4
3660000,0.183,9.4
3680000,0.184,11.7
3700000,0.185,20.9
3720000,0.186,15.1
3740000,0.187,12.2
3760000,0.188,16.5
3780000,0.189,7.9
3800000,0.190,12.2
3820000,0.191,13.7
3840000,0.192,18.0
3860000,0.193,21.0
3880000,0.194,18.0
3900000,0.195,12.2
3920000,0.196,15.1
3940000,0.197,10.8
3960000,0.198,15.1
3980000,0.199,5.0
4000000,0.200,6.5
4020000,0.201,13.7
4040000,0.202,17.9
4060000,0.203,10.8
4080000,0.204,5.0
4100000,0.205,10.8
4120000,0.206,6.5
4140000,0.207,2.2
4160000,0.208,7.9
4180000,0.209,10.8
4200000,0.210,-0.7
4220000,0.211,2.4
4240000,0.212,5.0
4260000,0.213,0.7
4280000,0.214,25.2
4300000,0.215,23.7
4320000,0.216,29.5
4340000,0.217,28.1
4360000,0.218,28.1
4380000,0.219,22.3
4400000,0.220,25.6
4420000,0.221,25.2
4440000,0.222,29.5
4460000,0.223,29.5
4480000,0.224,30.9
4500000,0.225,25.2
4520000,0.226,26.6
4540000,0.227,18.0
4560000,0.228,35.3
4580000,0.229,25.6
4600000,0.230,28.1
4620000,0.231,28.1
4640000,0.232,29.5
4660000,0.233,22.3
4680000,0.234,29.5
4700000,0.235,28.1
4720000,0.236,20.9
4740000,0.237,33.8
4760000,0.238,25.6
4780000,0.239,22.3
4800000,0.240,32.4
4820000,0.241,32.4
4840000,0.242,26.6
4860000,0.243,19.4
4880000,0.244,30.9
4900000,0.245,26.6
4920000,0.246,29.5
4940000,0.247,19.4
4960000,0.248,23.7
4980000,0.249,25.2
5000000,0.250,22.3
5020000,0.251,30.9
5040000,0.252,25.2
5060000,0.253,32.4
5080000,0.254,23.7
5100000,0.255,30.9
5120000,0.256,16.3
5140000,0.257,25.2
5160000,0.258,29.5
5180000,0.259,19.4
5200000,0.260,30.9
5220000,0.261,35.3
5240000,0.262,25.2
5260000,0.263,19.4
5280000,0.264,25.2
5300000,0.265,31.8
5320000,0.266,23.7
5340000,0.267,25.2
5360000,0.268,30.9
5380000,0.269,29.5
5400000,0.270,23.7
5420000,0.271,32.4
5440000,0.272,30.9
5460000,0.273,25.2
5480000,0.274,34.9
