FPGA idle power [mW]:,3799.4

Program energy [mJ]:,11.59

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,21.7
20000,0.001,43.3
40000,0.002,36.1
60000,0.003,37.5
80000,0.004,30.3
100000,0.005,27.5
120000,0.006,30.6
140000,0.007,27.5
160000,0.008,23.2
180000,0.009,26.0
200000,0.010,21.7
220000,0.011,26.0
240000,0.012,44.7
260000,0.013,43.3
280000,0.014,47.6
300000,0.015,36.8
320000,0.016,43.3
340000,0.017,43.3
360000,0.018,24.6
380000,0.019,21.7
400000,0.020,34.7
420000,0.021,24.6
440000,0.022,30.3
460000,0.023,21.7
480000,0.024,27.5
500000,0.025,16.0
520000,0.026,18.8
540000,0.027,36.1
560000,0.028,27.5
580000,0.029,21.7
600000,0.030,27.5
620000,0.031,23.2
640000,0.032,36.1
660000,0.033,41.4
680000,0.034,30.3
700000,0.035,23.2
720000,0.036,30.3
740000,0.037,30.3
760000,0.038,24.6
780000,0.039,27.5
800000,0.040,36.1
820000,0.041,36.1
840000,0.042,22.8
860000,0.043,37.5
880000,0.044,33.2
900000,0.045,31.8
920000,0.046,20.3
940000,0.047,28.9
960000,0.048,33.2
980000,0.049,24.6
1000000,0.050,33.2
1020000,0.051,38.3
1040000,0.052,34.7
1060000,0.053,37.5
1080000,0.054,27.5
1100000,0.055,27.5
1120000,0.056,31.8
1140000,0.057,39.0
1160000,0.058,17.4
1180000,0.059,23.2
1200000,0.060,29.0
1220000,0.061,33.2
1240000,0.062,21.7
1260000,0.063,39.0
1280000,0.064,33.2
1300000,0.065,21.7
1320000,0.066,31.8
1340000,0.067,39.0
1360000,0.068,28.9
1380000,0.069,38.3
1400000,0.070,39.0
1420000,0.071,34.7
1440000,0.072,36.1
1460000,0.073,41.9
1480000,0.074,34.7
1500000,0.075,28.9
1520000,0.076,39.0
1540000,0.077,43.3
1560000,0.078,32.1
1580000,0.079,36.1
1600000,0.080,39.0
1620000,0.081,17.4
1640000,0.082,20.3
1660000,0.083,37.5
1680000,0.084,28.9
1700000,0.085,33.2
1720000,0.086,31.8
1740000,0.087,33.7
1760000,0.088,27.5
1780000,0.089,21.7
1800000,0.090,21.7
1820000,0.091,21.7
1840000,0.092,20.3
1860000,0.093,23.2
1880000,0.094,21.7
1900000,0.095,20.3
1920000,0.096,29.0
1940000,0.097,21.7
1960000,0.098,13.1
1980000,0.099,23.2
2000000,0.100,23.2
2020000,0.101,18.8
2040000,0.102,18.8
2060000,0.103,20.3
2080000,0.104,14.5
2100000,0.105,8.9
2120000,0.106,18.8
2140000,0.107,26.0
2160000,0.108,18.8
2180000,0.109,20.3
2200000,0.110,30.3
2220000,0.111,17.4
2240000,0.112,20.3
2260000,0.113,30.3
2280000,0.114,18.2
2300000,0.115,17.4
2320000,0.116,26.0
2340000,0.117,24.6
2360000,0.118,24.6
2380000,0.119,36.1
2400000,0.120,41.9
2420000,0.121,21.7
2440000,0.122,24.6
2460000,0.123,29.0
2480000,0.124,24.6
2500000,0.125,24.6
2520000,0.126,31.8
2540000,0.127,30.3
2560000,0.128,27.5
2580000,0.129,34.7
2600000,0.130,31.8
2620000,0.131,37.5
2640000,0.132,38.3
2660000,0.133,34.7
2680000,0.134,28.9
2700000,0.135,30.3
2720000,0.136,30.3
2740000,0.137,37.5
2760000,0.138,30.3
2780000,0.139,37.5
2800000,0.140,31.8
2820000,0.141,36.8
2840000,0.142,30.3
2860000,0.143,34.7
2880000,0.144,39.0
2900000,0.145,37.5
2920000,0.146,33.2
2940000,0.147,39.0
2960000,0.148,36.1
2980000,0.149,28.9
3000000,0.150,41.4
3020000,0.151,28.9
3040000,0.152,31.8
3060000,0.153,33.2
3080000,0.154,30.3
3100000,0.155,33.2
3120000,0.156,43.3
3140000,0.157,39.0
3160000,0.158,23.2
3180000,0.159,44.5
3200000,0.160,41.9
3220000,0.161,17.4
3240000,0.162,33.2
3260000,0.163,43.3
3280000,0.164,34.7
3300000,0.165,36.1
3320000,0.166,39.0
3340000,0.167,39.0
3360000,0.168,30.6
3380000,0.169,44.7
3400000,0.170,33.2
3420000,0.171,30.3
3440000,0.172,34.7
3460000,0.173,33.2
3480000,0.174,30.3
3500000,0.175,30.3
3520000,0.176,36.1
3540000,0.177,21.3
3560000,0.178,36.1
3580000,0.179,28.9
3600000,0.180,33.2
3620000,0.181,31.8
3640000,0.182,16.0
3660000,0.183,23.2
3680000,0.184,17.4
3700000,0.185,17.4
3720000,0.186,22.8
3740000,0.187,20.3
3760000,0.188,21.7
3780000,0.189,13.1
3800000,0.190,20.3
3820000,0.191,14.5
3840000,0.192,26.0
3860000,0.193,20.3
3880000,0.194,13.1
3900000,0.195,21.3
3920000,0.196,28.9
3940000,0.197,11.6
3960000,0.198,10.2
3980000,0.199,10.2
4000000,0.200,18.8
4020000,0.201,14.5
4040000,0.202,17.4
4060000,0.203,28.9
4080000,0.204,-0.4
4100000,0.205,5.9
4120000,0.206,5.9
4140000,0.207,7.3
4160000,0.208,0.1
4180000,0.209,4.4
4200000,0.210,-2.7
4220000,0.211,-2.7
4240000,0.212,0.1
